Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         4320        0           0           0         
1         2895.32     25400       20000       1.51014e-008
2         2773.86     25400       20000       2.42423e-008
3.15013   2681.57     25400       20000       3.10853e-008
4.85457   2592.28     25400       20000       3.76225e-008
7.42359   2504.75     25400       20000       4.39532e-008
11.3351   2418.26     25400       20000       5.01326e-008
17.3277   2351.49     25208.855   20000       5.45053e-008
26.5916   2278.17     24783.915   20000       5.89178e-008
41.7335   2177.43     24836.273   20000       6.50136e-008
66.4501   2054.76     24942.268   20000       7.26213e-008
102.895   1933.84     24428.149   20000       8.03516e-008
155.513   1792.91     24012.671   20000       8.9506e-008
215.513   1440.41     28534.196   20000       7.24922e-005
275.513   1016.39     33391.964   20000       0.000223133
334.782   1000        32492.77    18489.2     0.000276679
394.782   1000        32016.678   17303.1     0.000307043
454.782   1000        31803.261   16398.6     0.000327366
514.782   1000        31640.098   15692.3     0.000342555
574.782   1000        31529.464   15112.3     0.000354352
634.782   1000        31485.457   14600.2     0.000363913
694.782   1000        31710.051   14133.6     0.000372733
754.782   1000        32213.787   13696.4     0.000381349
814.782   1000        32803.4     13260.6     0.000389135
874.782   1000        33518.652   12808.3     0.000396365
934.782   1000        34357.417   12339.4     0.000403075
994.782   1000        35506.819   11842.2     0.00040858
1054.78   1000        36854.648   11341.2     0.000412992
1114.78   1000        38288.368   10845.8     0.000416731
1174.78   1000        39692.07    10376.2     0.000419974
1234.78   1000        41131.684   9900.27     0.000423099
1294.78   1000        42755.54    9423.03     0.000425319
1354.78   1000        44366.704   8967.01     0.000427127
1414.78   1000        45954.109   8500.46     0.000429222
1474.78   1000        47469.265   8033.19     0.000431614
1534.78   1000        49458.702   7522        0.000432719
1594.78   1000        51536.941   7015.12     0.00043334
1654.78   1000        53329.782   6543.79     0.000434518
1714.78   1000        55349.386   6140.5      0.000437428
1774.78   1000        57629.036   5793.66     0.000442002
1834.78   1000        59535.609   5457.74     0.000447013
1894.78   1000        61055.735   5136.95     0.000452278
1954.78   1000        62797.191   4799.35     0.000457125
2014.78   1000        64573.211   4456.96     0.000461678
2074.78   1000        65858.236   4127.8      0.000466503
2134.78   1000        66455.826   3831.84     0.000471457
2194.78   1000        65941.133   3607.59     0.000476358
2254.78   1000        64910.525   3420.84     0.000480718
2314.78   1000        63624.514   3255.12     0.000484378
2374.78   1000        62170.392   3107.62     0.000487263
2434.78   1000        60594.934   2973.75     0.000489387
2494.78   1000        58923.553   2851.11     0.000490755
2554.78   1000        57160.948   2735.86     0.000491372
2614.78   1000        55330.278   2627.9      0.000491217
2674.78   1000        53502.086   2528.13     0.000490315
2734.78   1000        51734.365   2434.93     0.000488743
2794.78   1000        50033.006   2349.2      0.0004866 
2854.78   1000        48408.496   2269.29     0.000483967
2914.78   1000        46898.761   2195.75     0.000480895
2974.78   1000        45478.564   2124.81     0.000477424
3034.78   1000        44181.551   2053.67     0.00047354
3094.78   1000        42898.101   1988.26     0.000469369
3154.78   1000        41658.041   1926.33     0.000464945
3214.78   1000        40475.658   1866.13     0.000460278
3274.78   1000        39335.437   1808.43     0.000455407
3334.78   1000        38226.939   1752.8      0.000450325
3394.78   1000        37141.302   1698.81     0.000445015
3454.78   1000        36070.973   1646.07     0.000439458
3514.78   1000        35021.28    1595.09     0.00043371
3574.78   1000        34004.202   1546.65     0.000427874
3634.78   1000        33019.12    1500.48     0.000421965
3694.78   1000        32066.086   1456.4      0.000416003
3754.78   1000        31149.359   1414.58     0.00041004
3814.78   1000        30268.317   1374.75     0.000404089
3874.78   1000        29420.789   1336.59     0.000398145
3934.78   1000        28605.077   1300.12     0.000392229
3994.78   1000        27819.991   1265.47     0.000386366
4054.78   1000        27056.67    1232.42     0.000380524
4114.78   1000        26313.703   1201.69     0.000374772
4174.78   1000        25594.954   1172.69     0.000369101
4234.78   1000        24899.789   1144.96     0.000363487
4294.78   1000        24231.218   1118.53     0.000357964
4354.78   1000        23587.069   1093.13     0.000352512
4414.78   1000        22968.689   1068.81     0.000347158
4474.78   1000        22370.979   1045.2      0.000341853
4534.78   1000        21797.161   1022.56     0.000336649
4594.78   1000        21239.413   1000.33     0.000331463
4654.78   1000        20702.604   978.909     0.000326367
4714.78   1000        20180.905   957.896     0.000321297
4774.78   1000        19676.999   937.506     0.000316298
4834.78   1000        19191.959   917.814     0.000311391
4894.78   1000        18726.668   898.854     0.000306594
4954.78   1000        18272.709   880.017     0.000301799
5014.78   1000        17838.143   861.899     0.000297125
5074.78   1000        17413.996   844.375     0.000292508
5134.78   1000        17002.493   827.531     0.000287977
5194.78   1000        16603.026   811.262     0.000283523
5254.78   1000        16221.786   795.955     0.000279237
5314.78   1000        15851.797   781.075     0.000275018
5374.78   1000        15492.888   766.592     0.000270866
5434.78   1000        15144.525   752.489     0.000266779
5494.78   1000        14799.245   738.28      0.000262651
5554.78   1000        14467.765   724.744     0.000258651
5614.78   1000        14141.303   711.302     0.000254652
5674.78   1000        13814.02    697.561     0.000250563
5734.78   1000        13466.22    682.251     0.000246076
