Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         600         0           0           0         
1         600         0           0           -861.857  
2         600         0           0           -518.175  
3.33021   600         0           0           -456.816  
5.30761   600         0           0           -511.796  
7.99371   600         0           0           -607.141  
10.8857   600         0           0           -713.698  
14.5041   600         0           0           -819.207  
18.2858   600         0           0           -910.072  
22.9539   600         0           0           -988.871  
27.8614   600         0           0           -1037.07  
33.99     600         0           0           -1077.42  
39.8857   600         0           0           -1100.04  
46.4433   600         0           0           -1109.26  
53.8336   600         0           0           -1112.54  
60.3282   600         0           0           -1113.58  
66.7981   600         0           0           -1112.86  
73.3157   600         0           0           -1110.91  
80.4751   600         0           0           -1107.79  
87.9141   600         0           0           -1103.44  
95.9725   600         0           0           -1099.22  
104.137   600         0           0           -1089.15  
111.46    600         0           0           -1067.64  
119.139   600         0           0           -1031.2   
126.8     600         0           0           -978.105  
135.478   600         0           0           -903.735  
144.632   600         0           0           -812.548  
154.942   600         0           0           -726.725  
169.033   600         0           0           -662.338  
186.906   600         0           0           -633.903  
206.737   600         0           0           -629.3    
226.236   600         0           0           -626.194  
242.274   600         0           0           -622.584  
257.421   600         0           0           -619.325  
272.274   600         0           0           -612.657  
287.405   600         0           0           -581.766  
305.616   600         0           0           -519.556  
325.616   600         0           0           -478.712  
345.616   600         0           0           -462.202  
365.616   600         0           0           -454.046  
385.616   600         0           0           -448.974  
405.616   600         0           0           -445.652  
425.616   600         0           0           -444.467  
445.616   600         0           0           -443.912  
465.616   600         0           0           -444.293  
485.616   600         0           0           -445.339  
505.616   600         0           0           -446.355  
525.616   600         0           0           -447.334  
545.616   600         0           0           -448.699  
565.616   600         0           0           -449.935  
585.616   600         0           0           -451.15   
605.616   600         0           0           -453.2    
625.616   600         0           0           -455.055  
645.616   600         0           0           -456.724  
665.616   600         0           0           -458.204  
685.616   600         0           0           -460.08   
705.616   600         0           0           -461.979  
725.616   600         0           0           -463.799  
745.616   600         0           0           -465.571  
765.616   600         0           0           -467.317  
785.616   600         0           0           -469.077  
805.616   600         0           0           -471.431  
825.616   600         0           0           -473.759  
845.616   600         0           0           -476.018  
865.616   600         0           0           -478.201  
885.616   600         0           0           -480.304  
905.616   600         0           0           -482.317  
925.616   600         0           0           -484.736  
945.616   600         0           0           -487.172  
965.616   600         0           0           -489.48   
985.616   600         0           0           -491.666  
1005.62   600         0           0           -493.739  
1025.62   600         0           0           -495.696  
1045.62   600         0           0           -497.531  
1065.62   600         0           0           -499.268  
1085.62   600         0           0           -501.248  
1105.62   600         0           0           -503.291  
1125.62   600         0           0           -505.232  
1145.62   600         0           0           -507.066  
1165.62   600         0           0           -508.822  
1185.62   600         0           0           -510.506  
1205.62   600         0           0           -512.112  
1225.62   600         0           0           -513.637  
1245.62   600         0           0           -515.061  
1265.62   600         0           0           -516.416  
1285.62   600         0           0           -517.722  
1305.62   600         0           0           -518.976  
1325.62   600         0           0           -520.339  
1345.62   600         0           0           -521.827  
1365.62   600         0           0           -523.29   
1385.62   600         0           0           -524.691  
1405.62   600         0           0           -526.012  
1425.62   600         0           0           -527.279  
1445.62   600         0           0           -528.503  
1465.62   600         0           0           -529.691  
1485.62   600         0           0           -530.845  
1505.62   600         0           0           -531.965  
1525.62   600         0           0           -533.048  
1545.62   600         0           0           -534.095  
1565.62   600         0           0           -535.097  
1585.62   600         0           0           -536.039  
1605.62   600         0           0           -536.923  
1625.62   600         0           0           -537.777  
1645.62   600         0           0           -538.61   
1665.62   600         0           0           -539.425  
1685.62   600         0           0           -540.221  
1705.62   600         0           0           -540.999  
1725.62   600         0           0           -541.869  
1745.62   600         0           0           -542.841  
1765.62   600         0           0           -543.82   
1785.62   600         0           0           -544.783  
1805.62   600         0           0           -545.722  
1825.62   600         0           0           -546.632  
1845.62   600         0           0           -547.504  
1865.62   600         0           0           -548.315  
1885.62   600         0           0           -549.094  
1905.62   600         0           0           -549.854  
1925.62   600         0           0           -550.602  
1945.62   600         0           0           -551.338  
1965.62   600         0           0           -552.062  
1985.62   600         0           0           -552.768  
2000      600         0           0           -553.266  
