Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         400         0           0           0         
1         400         987.67493   188.533     0.000725576
2         400         982.69569   142.833     0.000861243
3.33021   400         982.4642    102.917     0.000939491
5.30761   400         957.90129   61.9156     0.000980391
7.99371   400         887.64606   27.4035     0.000947256
10.8857   400         786.33063   7.20502     0.000849687
14.5041   400         650.24913   0           0.000699248
18.2858   400         524.42909   0           0.000551311
22.9539   400         412.07014   0           0.00041122
27.8614   400         330.27999   0           0.000308243
33.99     400         270.27484   0           0.000230445
39.8857   400         235.3551    0           0.000183401
46.4433   400         210.68015   0           0.000149413
53.8336   400         192.60315   0           0.000123566
60.3282   400         188.71992   0           0.000111262
66.7981   400         188.61564   0           0.000102986
73.3157   400         187.84758   0           9.58226e-005
80.4751   400         187.20856   0           8.94535e-005
87.9141   400         186.76393   0           8.3984e-005
95.9725   400         186.345     0           7.92161e-005
104.137   400         180.60987   0           8.40303e-005
111.46    400         174.6185    0           0.000113594
119.139   400         164.60514   19.7446     0.000155106
126.8     400         157.5734    58.1654     0.000185187
135.478   400         148.0968    124.296     0.000175476
144.632   400         133.64113   226.536     9.31488e-005
154.942   400         122.20826   348.745     0         
169.033   400         119.82407   456.167     0         
186.906   400         121.28002   516.874     0         
206.737   400         122.76508   545.016     0         
226.236   400         122.12122   554.485     0         
242.274   400         121.63817   557.166     0         
257.421   400         120.81928   556.309     0.00113001
272.274   400         119.0582    549.632     0.147424  
287.405   400         111.15237   513.402     3.88153   
305.616   400         95.182654   439.368     32.5796   
325.616   400         80.164106   369.896     76.5236   
345.616   400         70.319185   324.435     110.041   
365.616   400         63.652996   293.722     135.436   
385.616   400         58.259621   268.881     157.385   
405.616   400         53.641123   247.572     177.207   
425.616   400         49.727993   229.504     195.663   
445.616   400         46.290818   213.643     212.316   
465.616   400         43.305906   199.896     227.628   
485.616   400         40.689875   187.881     241.722   
505.616   400         38.320172   177.024     254.511   
525.616   400         36.16402    167.158     266.195   
545.616   400         33.926954   156.92      278.674   
565.616   400         31.633773   146.411     291.308   
585.616   400         29.456307   136.427     303.351   
605.616   400         27.588754   127.869     314.702   
625.616   400         25.896875   120.106     324.971   
645.616   400         24.371934   113.098     334.233   
665.616   400         23.039558   106.97      342.352   
685.616   400         21.883821   101.649     350.004   
705.616   400         20.811731   96.7062     357.26    
725.616   400         19.784263   91.9619     364.221   
745.616   400         18.781295   87.325      371.016   
765.616   400         17.81138    82.8364     377.626   
785.616   400         16.861893   78.4388     384.15    
805.616   400         15.991005   74.4035     390.889   
825.616   400         15.134633   70.4331     397.518   
845.616   400         14.320902   66.6598     403.863   
865.616   400         13.549646   63.0825     409.921   
885.616   400         12.810531   59.6532     415.737   
905.616   400         12.12656    56.4789     421.186   
925.616   400         11.508365   53.6099     426.722   
945.616   400         10.918243   50.8706     432.126   
965.616   400         10.374702   48.3474     437.164   
985.616   400         9.8644581   45.9785     441.914   
1005.62   400         9.3840986   43.748      446.401   
1025.62   400         8.9348295   41.6616     450.615   
1045.62   400         8.5247854   39.7573     454.511   
1065.62   400         8.1397765   37.9689     458.184   
1085.62   400         7.7903029   36.3456     461.927   
1105.62   400         7.4576704   34.8001     465.645   
1125.62   400         7.1474019   33.3584     469.145   
1145.62   400         6.8574841   32.011      472.438   
1165.62   400         6.5811711   30.7265     475.584   
1185.62   400         6.3167508   29.497      478.597   
1205.62   400         6.0657548   28.3296     481.467   
1225.62   400         5.8285505   27.2261     484.185   
1245.62   400         5.612331    26.2202     486.696   
1265.62   400         5.4082348   25.2705     489.079   
1285.62   400         5.2118737   24.3565     491.374   
1305.62   400         5.0243635   23.4835     493.572   
1325.62   400         4.8525062   22.6833     495.804   
1345.62   400         4.6910211   21.9313     498.109   
1365.62   400         4.5321366   21.1911     500.373   
1385.62   400         4.3810727   20.4872     502.535   
1405.62   400         4.241258    19.8356     504.561   
1425.62   400         4.1078961   19.214      506.499   
1445.62   400         3.9790914   18.6134     508.373   
1465.62   400         3.8541038   18.0305     510.192   
1485.62   400         3.7327939   17.4645     511.958   
1505.62   400         3.6152447   16.916      513.671   
1525.62   400         3.5014879   16.3851     515.328   
1545.62   400         3.3915134   15.8717     516.93    
1565.62   400         3.2868042   15.3828     518.461   
1585.62   400         3.1897384   14.9295     519.892   
1605.62   400         3.1003393   14.512      521.228   
1625.62   400         3.0143773   14.1104     522.516   
1645.62   400         2.9305376   13.7187     523.773   
1665.62   400         2.8484746   13.3352     525.002   
1685.62   400         2.7681527   12.9598     526.205   
1705.62   400         2.6896129   12.5926     527.379   
1725.62   400         2.6181535   12.2585     528.613   
1745.62   400         2.5511874   11.9454     529.927   
1765.62   400         2.4834399   11.6286     531.249   
1785.62   400         2.4166544   11.3162     532.549   
1805.62   400         2.3514737   11.0112     533.818   
1825.62   400         2.2884451   10.7163     535.046   
1845.62   400         2.2282991   10.4349     536.222   
1865.62   400         2.1736013   10.1789     537.31    
1885.62   400         2.1213617   9.93438     538.352   
1905.62   400         2.0703888   9.69578     539.371   
1925.62   400         2.0202475   9.46105     540.372   
1945.62   400         1.970816    9.22962     541.359   
1965.62   400         1.9221909   9.00194     542.329   
1985.62   400         1.8748151   8.7801      543.275   
2000      400         1.8414318   8.62376     543.942   
