Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         600         0           0           0         
1         600         0           0           -532.727  
2.19524   600         0           0           -287.493  
4.12843   600         0           0           -274.62   
5.59961   600         0           0           -294.534  
8.38291   600         0           0           -343.95   
12.2913   600         0           0           -413.64   
17.1896   600         0           0           -477.225  
23.1084   600         0           0           -527.877  
30.7469   600         0           0           -562.894  
39.2526   600         0           0           -578.124  
49.4021   600         0           0           -582.162  
61.6047   600         0           0           -578.022  
76.9664   600         0           0           -563.904  
95.5038   600         0           0           -536.158  
115.504   600         0           0           -500.97   
135.504   600         0           0           -467.804  
155.504   600         0           0           -439.383  
175.504   600         0           0           -415.931  
195.504   600         0           0           -396.963  
215.504   600         0           0           -381.998  
235.504   600         0           0           -370.356  
255.504   600         0           0           -361.364  
275.504   600         0           0           -354.5    
295.504   600         0           0           -349.318  
315.504   600         0           0           -345.47   
335.504   600         0           0           -342.648  
355.504   600         0           0           -340.481  
375.504   600         0           0           -338.696  
395.504   600         0           0           -336.952  
415.504   600         0           0           -334.493  
435.504   600         0           0           -328.038  
455.504   600         0           0           -317.446  
475.504   600         0           0           -305.43   
495.504   600         0           0           -294.233  
515.504   600         0           0           -284.639  
535.504   600         0           0           -276.821  
555.504   600         0           0           -270.46   
575.504   600         0           0           -265.49   
595.504   600         0           0           -261.582  
615.504   600         0           0           -258.604  
635.504   600         0           0           -256.467  
655.504   600         0           0           -254.988  
675.504   600         0           0           -253.989  
695.504   600         0           0           -253.356  
715.504   600         0           0           -253.086  
735.504   600         0           0           -253.151  
755.504   600         0           0           -253.418  
775.504   600         0           0           -253.802  
795.504   600         0           0           -254.241  
815.504   600         0           0           -254.71   
835.504   600         0           0           -255.259  
855.504   600         0           0           -255.911  
875.504   600         0           0           -256.632  
895.504   600         0           0           -257.401  
915.504   600         0           0           -258.192  
935.504   600         0           0           -259.007  
955.504   600         0           0           -259.829  
975.504   600         0           0           -260.652  
995.504   600         0           0           -261.466  
1015.5    600         0           0           -262.327  
1035.5    600         0           0           -263.231  
1055.5    600         0           0           -264.143  
1075.5    600         0           0           -265.153  
1095.5    600         0           0           -266.138  
1115.5    600         0           0           -267.071  
1135.5    600         0           0           -267.983  
1155.5    600         0           0           -268.901  
1175.5    600         0           0           -269.825  
1195.5    600         0           0           -270.768  
1215.5    600         0           0           -271.781  
1235.5    600         0           0           -272.845  
1255.5    600         0           0           -273.867  
1275.5    600         0           0           -274.822  
1295.5    600         0           0           -275.706  
1315.5    600         0           0           -276.528  
1335.5    600         0           0           -277.276  
1355.5    600         0           0           -277.97   
1375.5    600         0           0           -278.609  
1395.5    600         0           0           -279.213  
1415.5    600         0           0           -279.799  
1435.5    600         0           0           -280.377  
1455.5    600         0           0           -280.956  
1475.5    600         0           0           -281.541  
1495.5    600         0           0           -282.133  
1515.5    600         0           0           -282.761  
1535.5    600         0           0           -283.437  
1555.5    600         0           0           -284.145  
1575.5    600         0           0           -284.874  
1595.5    600         0           0           -285.615  
1615.5    600         0           0           -286.362  
1635.5    600         0           0           -287.109  
1655.5    600         0           0           -287.852  
1675.5    600         0           0           -288.589  
1695.5    600         0           0           -289.32   
1715.5    600         0           0           -290.042  
1735.5    600         0           0           -290.753  
1755.5    600         0           0           -291.452  
1775.5    600         0           0           -292.138  
1795.5    600         0           0           -292.811  
1815.5    600         0           0           -293.469  
1835.5    600         0           0           -294.115  
1855.5    600         0           0           -294.746  
1875.5    600         0           0           -295.363  
1895.5    600         0           0           -295.999  
1915.5    600         0           0           -296.641  
1935.5    600         0           0           -297.279  
1955.5    600         0           0           -297.907  
1975.5    600         0           0           -298.522  
1995.5    600         0           0           -299.123  
2000      600         0           0           -299.257  
