Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         400         0           0           0         
1         400         981.74561   187.283     0.000735156
2.19524   400         962.90746   133.195     0.000895407
4.12843   400         914.4926    82.3194     0.000981266
5.59961   400         845.52467   59.538      0.000984243
8.38291   400         690.68372   48.2705     0.000934058
12.2913   400         512.99053   47.0004     0.000847652
17.1896   400         388.48768   42.3603     0.000741395
23.1084   400         299.6021    35.2175     0.000623178
30.7469   400         211.74068   32.501      0.000512148
39.2526   400         149.81065   34.152      0.00044375
49.4021   400         119.66661   36.4423     0.000405846
61.6047   400         96.961262   42.3083     0.000391299
76.9664   400         72.301985   60.4008     0.000416267
95.5038   400         45.40345    103.709     0.000478302
115.504   400         35.615191   153.028     0.000482604
135.504   400         41.351447   190.249     0.000415124
155.504   400         48.659792   219.399     0.00031959
175.504   400         54.70534    242.698     0.000224456
195.504   400         59.55723    260.957     0.000144647
215.504   400         63.734703   274.738     8.67984e-005
235.504   400         66.895719   285.295     4.78119e-005
255.504   400         69.19909    293.298     2.43756e-005
275.504   400         70.924246   299.223     1.28636e-005
295.504   400         72.203617   303.576     9.52562e-006
315.504   400         73.20312    306.594     1.22208e-005
335.504   400         74.06169    308.034     2.08312e-005
355.504   400         74.315817   308.58      3.17919e-005
375.504   400         74.349341   308.281     4.38399e-005
395.504   400         74.00604    306.976     0.00315687
415.504   400         72.616733   301.912     0.14688   
435.504   400         66.137119   276.609     1.92892   
455.504   400         57.689867   240.933     11.3929   
475.504   400         51.563945   213.716     25.0736   
495.504   400         47.888974   196.87      37.9765   
515.504   400         45.39286    185.438     48.6898   
535.504   400         43.392686   176.419     58.4799   
555.504   400         41.393567   167.741     67.5713   
575.504   400         39.50974    159.677     77.0913   
595.504   400         37.565424   151.571     86.2593   
615.504   400         35.895059   144.586     93.9764   
635.504   400         34.418525   138.434     101.305   
655.504   400         32.904213   132.249     108.491   
675.504   400         31.351202   125.979     115.571   
695.504   400         29.822463   119.845     122.448   
715.504   400         28.422015   114.23      129.232   
735.504   400         27.171546   109.236     135.495   
755.504   400         26.041909   104.749     141.086   
775.504   400         25.017173   100.688     146.126   
795.504   400         24.084532   96.9976     150.706   
815.504   400         23.222212   93.587      154.945   
835.504   400         22.430191   90.4522     159.14    
855.504   400         21.684787   87.5046     163.292   
875.504   400         20.963592   84.66       167.286   
895.504   400         20.266502   81.9129     171.161   
915.504   400         19.591262   79.2501     174.922   
935.504   400         18.939596   76.6813     178.591   
955.504   400         18.308921   74.1919     182.155   
975.504   400         17.702893   71.7998     185.604   
995.504   400         17.12157    69.502      188.919   
1015.5    400         16.579079   67.3534     192.291   
1035.5    400         16.061618   65.3077     195.576   
1055.5    400         15.560577   63.3295     198.718   
1075.5    400         15.233213   61.5025     201.34    
1095.5    400         14.793732   59.5717     204.127   
1115.5    400         14.261461   57.4773     207.213   
1135.5    400         13.699351   55.2567     210.521   
1155.5    400         13.126853   52.9846     213.937   
1175.5    400         12.554235   50.7054     217.359   
1195.5    400         11.997965   48.4884     220.713   
1215.5    400         11.492937   46.456      224.034   
1235.5    400         11.042604   44.6523     226.968   
1255.5    400         10.640395   43.0576     229.55    
1275.5    400         10.278954   41.6276     231.843   
1295.5    400         9.9497363   40.3253     233.922   
1315.5    400         9.6582347   39.1709     235.74    
1335.5    400         9.3951475   38.1294     237.391   
1355.5    400         9.1515804   37.162      238.941   
1375.5    400         8.9183761   36.2336     240.451   
1395.5    400         8.6904108   35.323      241.956   
1415.5    400         8.464387    34.4158     243.477   
1435.5    400         8.2388167   33.5083     245.014   
1455.5    400         8.0146545   32.6057     246.572   
1475.5    400         7.7913065   31.7035     248.146   
1495.5    400         7.5672321   30.7982     249.735   
1515.5    400         7.3472396   29.9011     251.417   
1535.5    400         7.1288427   29.0109     253.164   
1555.5    400         6.9095028   28.1214     254.901   
1575.5    400         6.6932156   27.2463     256.625   
1595.5    400         6.4797594   26.3825     258.329   
1615.5    400         6.2694162   25.5334     260.009   
1635.5    400         6.063307    24.7012     261.661   
1655.5    400         5.8617634   23.8869     263.282   
1675.5    400         5.664992    23.0918     264.871   
1695.5    400         5.4753565   22.3272     266.422   
1715.5    400         5.292402    21.5883     267.93    
1735.5    400         5.1151193   20.8719     269.398   
1755.5    400         4.9432397   20.1768     270.829   
1775.5    400         4.7766884   19.5034     272.222   
1795.5    400         4.6159108   18.8539     273.574   
1815.5    400         4.4611985   18.2276     274.883   
1835.5    400         4.3135525   17.6303     276.152   
1855.5    400         4.1715789   17.0552     277.381   
1875.5    400         4.0344376   16.4994     278.575   
1895.5    400         3.9063733   15.9709     279.83    
1915.5    400         3.7801776   15.4593     281.042   
1935.5    400         3.6583896   14.9645     282.209   
1955.5    400         3.5406477   14.4866     283.337   
1975.5    400         3.4269186   14.0252     284.428   
1995.5    400         3.3175708   13.5819     285.483   
2000      400         3.2924065   13.4841     285.719   
