Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	2895.32   	40        	25400     	20000     	1.51014e-008	
2         	2773.86   	40        	25400     	20000     	2.42423e-008	
3         	2690.53   	40        	25400     	20000     	3.04245e-008	
4.24255   	2617.69   	40        	25400     	20000     	3.57702e-008	
6.02897   	2544.64   	40        	25400     	20000     	4.10778e-008	
8.55372   	2472.56   	40        	25400     	20000     	4.62618e-008	
11.9821   	2403.76   	40        	25400     	20000     	5.11613e-008	
16.7227   	2356.64   	40        	25239.5   	20000     	5.41939e-008	
23.3697   	2304.8    	40        	24938.9   	20000     	5.73064e-008	
32.8191   	2251.15   	40        	24628.5   	20000     	6.05529e-008	
46.215    	2204.81   	40        	24772     	20000     	6.33298e-008	
65.7356   	2193.08   	40        	24754.9   	20000     	6.40517e-008	
94.5475   	2239.69   	40        	24605.3   	20000     	6.12291e-008	
134.825   	2338.68   	40        	25140.4   	20000     	5.52464e-008	
186.078   	2480.31   	40        	25400     	20000     	4.56733e-008	
245.268   	2634.02   	40        	25400     	20000     	3.45399e-008	
305.268   	2777.19   	40        	25400     	20000     	2.39541e-008	
365.268   	2912.3    	40        	25400     	20000     	1.37702e-008	
425.268   	3041.6    	40        	25400     	20000     	3.84499e-009	
485.268   	3168.28   	40        	25400     	20000     	0         	
545.268   	3296.36   	40        	25400     	20000     	0         	
605.268   	3441.7    	40        	25400     	20000     	0         	
665.268   	3522.24   	40        	27970.2   	20000     	0         	
725.268   	3100.68   	40        	44141.4   	20000     	0         	
785.268   	2535.95   	40        	63620.2   	20000     	0         	
845.268   	2055.67   	40        	84838.5   	20000     	0         	
905.268   	1616.59   	40        	102891    	20000     	5.35663e-009	
965.268   	1190.88   	40        	118638    	20000     	3.10331e-008	
1025.27   	1000      	40        	126505    	19223.1   	4.91563e-008	
1085.27   	1000      	40        	127849    	17980.2   	5.78188e-008	
1145.27   	1000      	40        	128045    	16973.2   	6.59665e-008	
1205.27   	1000      	40        	127584    	16104.8   	7.36174e-008	
1265.27   	1000      	40        	126690    	15355.1   	8.06198e-008	
1325.27   	1000      	40        	125345    	14731.6   	8.70233e-008	
1385.27   	1000      	40        	123858    	14171.3   	9.28567e-008	
1445.27   	1000      	40        	122346    	13630.9   	9.80094e-008	
1505.27   	1000      	40        	120896    	13028.9   	1.02183e-007	
1565.27   	1000      	40        	119307    	12548.8   	1.05818e-007	
1625.27   	1000      	40        	117845    	12130.2   	1.09038e-007	
1685.27   	1000      	40        	116864    	11777.3   	1.12115e-007	
1745.27   	1000      	40        	115977    	11455.7   	1.14906e-007	
1805.27   	1000      	40        	115179    	11156.7   	1.1739e-007	
1865.27   	1000      	40        	114478    	10874.3   	1.19623e-007	
1925.27   	1000      	40        	113839    	10608     	1.21642e-007	
1985.27   	1000      	40        	112858    	10397.7   	1.23421e-007	
2045.27   	1000      	40        	111966    	10195.6   	1.25048e-007	
2105.27   	1000      	40        	111199    	9998.44   	1.26532e-007	
2165.27   	1000      	40        	111398    	9723.42   	1.27948e-007	
2225.27   	1000      	40        	111759    	9428.65   	1.29343e-007	
2285.27   	1000      	40        	111620    	9182.98   	1.30647e-007	
2345.27   	1000      	40        	111131    	8981.37   	1.31829e-007	
2405.27   	1000      	40        	110781    	8788.96   	1.32866e-007	
2465.27   	1000      	40        	110437    	8603.49   	1.33831e-007	
2525.27   	1000      	40        	110487    	8407.18   	6.10995e-006	
2585.27   	1000      	40        	110626    	8202.82   	2.25526e-005	
2645.27   	1000      	40        	110846    	8004.02   	3.77172e-005	
2705.27   	1000      	40        	110962    	7812.69   	5.27713e-005	
2765.27   	1000      	40        	111387    	7615.61   	6.59567e-005	
2795.27   	1000      	40        	111613    	7520.99   	7.208e-005	
2825.27   	1000      	40        	111851    	7429.31   	7.78406e-005	
2855.27   	1000      	40        	112093    	7338.95   	8.34386e-005	
2885.27   	1000      	40        	112341    	7250.64   	8.87991e-005	
2915.27   	1000      	40        	112595    	7165.24   	9.38561e-005	
2945.27   	1000      	40        	112854    	7083.38   	9.85761e-005	
2975.27   	1000      	40        	113111    	7005.12   	0.000102996	
3035.27   	1000      	40        	113621    	6859.28   	0.000110981	
3095.27   	1000      	40        	114244    	6716.38   	0.000117932	
3155.27   	1000      	40        	114882    	6576.28   	0.000124507	
3215.27   	1000      	40        	115519    	6441.17   	0.000130664	
3275.27   	1000      	40        	116157    	6310.44   	0.000136436	
3335.27   	1000      	40        	116830    	6181.98   	0.000141772	
3395.27   	1000      	40        	117443    	6055.88   	0.000147271	
3455.27   	1000      	40        	117976    	5934.96   	0.00015284	
3515.27   	1000      	40        	118304    	5827.42   	0.000158662	
3575.27   	1000      	40        	118621    	5720.72   	0.000164444	
3635.27   	1000      	40        	118929    	5612.26   	0.000170357	
3650      	1000      	40        	119000    	5585.67   	0.000171824	
