Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	4853.14   	40        	0         	0         	-6000.45  	
2         	4878.04   	40        	0         	0         	-6000.45  	
3.27703   	4898.62   	40        	0         	0         	-6000.45  	
5.098     	4917.96   	40        	0         	0         	-6000.45  	
7.80959   	4936.97   	40        	0         	0         	-6000.45  	
11.9227   	4959.24   	40        	0         	0         	-6000.45  	
18.2105   	4985.82   	40        	0         	0         	-6000.45  	
29.0626   	5024.76   	40        	0         	0         	-6000.45  	
47.2185   	5120.23   	40        	0         	0         	-6000.68  	
74.3068   	5206.62   	40        	0         	0         	-6000.44  	
113.006   	5138.39   	40        	0         	0         	-6000.45  	
168.105   	4980.01   	40        	0         	0         	-6000.45  	
228.105   	4816.48   	40        	0         	0         	-6000.45  	
284.601   	4749.67   	40        	0         	0         	-6000.45  	
344.601   	4779.31   	40        	0         	0         	-6000.45  	
404.601   	4852.6    	40        	0         	0         	-6000.45  	
464.601   	4849.62   	40        	0         	0         	-6000.45  	
524.601   	4831.51   	40        	0         	0         	-6000.45  	
584.601   	4808.88   	40        	0         	0         	-6000.45  	
644.601   	4785.8    	40        	0         	0         	-6000.45  	
704.601   	4748.18   	40        	0         	0         	-6000.45  	
764.601   	4712.24   	40        	0         	0         	-6000.45  	
824.601   	4688.5    	40        	0         	0         	-6000.45  	
884.601   	4679.2    	40        	0         	0         	-6000.45  	
944.601   	4682.76   	40        	0         	0         	-6000.45  	
1004.6    	4694.09   	40        	0         	0         	-6000.45  	
1064.6    	4670.23   	40        	0         	0         	-6000.45  	
1124.6    	4639.15   	40        	0         	0         	-6000.45  	
1184.6    	4604.57   	40        	0         	0         	-6000.45  	
1244.6    	4564.69   	40        	0         	0         	-6000.45  	
1304.6    	4517.32   	40        	0         	0         	-6000.45  	
1364.6    	4469.67   	40        	0         	0         	-6000.45  	
1424.6    	4422.29   	40        	0         	0         	-6000.45  	
1484.6    	4368.09   	40        	0         	0         	-6000.45  	
1544.6    	4309.95   	40        	0         	0         	-6000.45  	
1604.6    	4256.82   	40        	0         	0         	-6000.45  	
1664.6    	4207.66   	40        	0         	0         	-6000.45  	
1724.6    	4167.88   	40        	0         	0         	-6000.45  	
1784.6    	4131.16   	40        	0         	0         	-6000.45  	
1844.6    	4091.1    	40        	0         	0         	-6000.45  	
1904.6    	4050.02   	40        	0         	0         	-6000.45  	
1964.6    	4007.31   	40        	0         	0         	-6000.45  	
2024.6    	3962.87   	40        	0         	0         	-6000.45  	
2084.6    	3913.94   	40        	0         	0         	-6000.45  	
2144.6    	3837.41   	40        	0         	0         	-6000.45  	
2204.6    	3762.82   	40        	0         	0         	-6000.45  	
2264.6    	3696.96   	40        	0         	0         	-6000.45  	
2324.6    	3638.04   	40        	0         	0         	-6000.45  	
2384.6    	3582.34   	40        	0         	0         	-6000.45  	
2444.6    	3525.61   	40        	0         	0         	-6000.45  	
2504.6    	3472.57   	40        	0         	0         	-6000.45  	
2564.6    	3423.56   	40        	0         	0         	-6000.45  	
2624.6    	3377.57   	40        	0         	0         	-6000.45  	
2684.6    	3335.31   	40        	0         	0         	-6000.45  	
2744.6    	3294.89   	40        	0         	0         	-6000.45  	
2804.6    	3255.95   	40        	0         	0         	-6000.45  	
2864.6    	3219.2    	40        	0         	0         	-6000.45  	
2924.6    	3184.69   	40        	0         	0         	-6000.45  	
2984.6    	3152.05   	40        	0         	0         	-6000.45  	
3000      	3143.06   	40        	0         	0         	-6000.45  	
