Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
1         	3856.18   	40        	6000      	0         	
2         	3779.32   	40        	6000      	0         	
3.59794   	3723.15   	40        	6000      	0         	
6.36781   	3673.16   	40        	6000      	0         	
11.0357   	3630.22   	40        	6000      	0         	
18.256    	3599.91   	40        	6000      	0         	
29.8017   	3583.73   	40        	6000      	0         	
46.1893   	3580.55   	40        	6000      	0         	
69.5331   	3585.67   	40        	6000      	0         	
100.006   	3595.56   	40        	6000      	0         	
141.656   	3610.02   	40        	6000      	0         	
191.656   	3627.54   	40        	6000      	0         	
241.656   	3645.15   	40        	6000      	0         	
291.656   	3662.83   	40        	6000      	0         	
341.656   	3680.57   	40        	6000      	0         	
391.656   	3698.39   	40        	6000      	0         	
441.656   	3716.26   	40        	6000      	0         	
491.656   	3734.22   	40        	6000      	0         	
541.656   	3752.25   	40        	6000      	0         	
591.656   	3770.34   	40        	6000      	0         	
641.656   	3788.5    	40        	6000      	0         	
691.656   	3806.7    	40        	6000      	0         	
741.656   	3824.96   	40        	6000      	0         	
791.656   	3843.29   	40        	6000      	0         	
841.656   	3861.67   	40        	6000      	0         	
891.656   	3880.14   	40        	6000      	0         	
941.656   	3898.69   	40        	6000      	0         	
991.656   	3917.33   	40        	6000      	0         	
1041.66   	3936.06   	40        	6000      	0         	
1091.66   	3954.9    	40        	6000      	0         	
1141.66   	3973.82   	40        	6000      	0         	
1191.66   	3992.86   	40        	6000      	0         	
1241.66   	4012.02   	40        	6000      	0         	
1291.66   	4031.26   	40        	6000      	0         	
1341.66   	4050.62   	40        	6000      	0         	
1391.66   	4070.09   	40        	6000      	0         	
1441.66   	4089.7    	40        	6000      	0         	
1491.66   	4109.4    	40        	6000      	0         	
1541.66   	4129.21   	40        	6000      	0         	
1591.66   	4149.17   	40        	6000      	0         	
1641.66   	4169.24   	40        	6000      	0         	
1691.66   	4189.42   	40        	6000      	0         	
1741.66   	4209.72   	40        	6000      	0         	
1791.66   	4230.16   	40        	6000      	0         	
1841.66   	4250.75   	40        	6000      	0         	
1891.66   	4271.44   	40        	6000      	0         	
1941.66   	4292.25   	40        	6000      	0         	
1991.66   	4313.2    	40        	6000      	0         	
2041.66   	4334.3    	40        	6000      	0         	
2091.66   	4355.53   	40        	6000      	0         	
2141.66   	4376.88   	40        	6000      	0         	
2191.66   	4398.37   	40        	6000      	0         	
2241.66   	4420.01   	40        	6000      	0         	
2291.66   	4441.81   	40        	6000      	0         	
2341.66   	4463.72   	40        	6000      	0         	
2391.66   	4485.76   	40        	6000      	0         	
2441.66   	4507.95   	40        	6000      	0         	
2491.66   	4530.31   	40        	6000      	0         	
2541.66   	4552.81   	40        	6000      	0         	
2591.66   	4575.45   	40        	6000      	0         	
2641.66   	4598.2    	40        	6000      	0         	
2691.66   	4621.14   	40        	6000      	0         	
2741.66   	4644.24   	40        	6000      	0         	
2791.66   	4667.49   	40        	6000      	0         	
2841.66   	4690.84   	40        	6000      	0         	
2891.66   	4714.36   	40        	6000      	0         	
2941.66   	4738.06   	40        	6000      	0         	
2991.66   	4761.91   	40        	6000      	0         	
3041.66   	4785.89   	40        	6000      	0         	
3091.66   	4810.03   	40        	6000      	0         	
3141.66   	4834.27   	40        	6000      	0         	
3191.66   	4858.65   	40        	6000      	0         	
3241.66   	4883.19   	40        	6000      	0         	
3291.66   	4907.87   	40        	6000      	0         	
3341.66   	4932.63   	40        	6000      	0         	
3391.66   	4957.59   	40        	6000      	0         	
3441.66   	4982.72   	40        	6000      	0         	
3491.66   	5008.04   	40        	6000      	0         	
3541.66   	5033.48   	40        	6000      	0         	
3591.66   	5059.1    	40        	6000      	0         	
3641.66   	5084.9    	40        	6000      	0         	
3691.66   	5110.89   	40        	6000      	0         	
3741.66   	5137.05   	40        	6000      	0         	
3791.66   	5163.42   	40        	6000      	0         	
3841.66   	5189.92   	40        	6000      	0         	
3891.66   	5216.61   	40        	6000      	0         	
3941.66   	5243.52   	40        	6000      	0         	
3991.66   	5270.65   	40        	6000      	0         	
4041.66   	5297.9    	40        	6000      	0         	
4091.66   	5325.34   	40        	6000      	0         	
4141.66   	5353.02   	40        	6000      	0         	
4191.66   	5380.9    	40        	6000      	0         	
4241.66   	5408.98   	40        	6000      	0         	
4291.66   	5437.24   	40        	6000      	0         	
4341.66   	5465.71   	40        	6000      	0         	
4391.66   	5494.4    	40        	6000      	0         	
4441.66   	5523.38   	40        	6000      	0         	
4491.66   	5552.57   	40        	6000      	0         	
4541.66   	5582.01   	40        	6000      	0         	
4591.66   	5611.76   	40        	6000      	0         	
4641.66   	5642.03   	40        	6000      	0         	
4691.66   	5672.77   	40        	6000      	0         	
4741.66   	5704.22   	40        	6000      	0         	
4791.66   	5736.66   	40        	6000      	0         	
4841.66   	5770.59   	40        	6000      	0         	
4891.66   	5807.14   	40        	6000      	0         	
4941.66   	5850.65   	40        	6000      	0         	
4991.66   	5903.78   	40        	6000      	0         	
5041.66   	5967.68   	40        	6000      	0         	
5091.66   	6043.83   	40        	6000      	0         	
5141.66   	6130.7    	40        	6000      	0         	
5191.66   	6221.17   	40        	6000      	0         	
5241.66   	6312.39   	40        	6000      	0         	
5291.66   	6402.15   	40        	6000      	0         	
5341.66   	6491.12   	40        	6000      	0         	
5391.66   	6579.14   	40        	6000      	0         	
5441.66   	6666.81   	40        	6000      	0         	
5491.66   	6753.7    	40        	6000      	0         	
5541.66   	6840.01   	40        	6000      	0         	
5591.66   	6925.57   	40        	6000      	0         	
5641.66   	7010.75   	40        	6000      	0         	
5691.66   	7095.25   	40        	6000      	0         	
5741.66   	7178.93   	40        	6000      	0         	
5791.66   	7261.78   	40        	6000      	0         	
5841.66   	7343.31   	40        	6000      	0         	
5891.66   	7423.92   	40        	6000      	0         	
5941.66   	7503.66   	40        	6000      	0         	
5991.66   	7582.72   	40        	6000      	0         	
6000      	7595.84   	40        	6000      	0         	
