Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	5473.12   	40        	-100000   	0         	0         	
1.58449   	5616.51   	40        	-100000   	0         	0         	
2.27494   	5736.08   	40        	-100000   	0         	0         	
3.18236   	5818.85   	40        	-100000   	0         	0         	
4.46686   	5888.39   	40        	-100000   	0         	0         	
6.37665   	5960.16   	40        	-100000   	0         	0         	
9.05603   	6002.47   	40        	-100000   	0         	0         	
12.6848   	6052.42   	40        	-100000   	0         	0         	
17.7103   	6091.95   	40        	-100000   	0         	0         	
24.7588   	6132.45   	40        	-100000   	0         	0         	
34.7344   	6139.5    	40        	-100000   	0         	0         	
44.7344   	6140.25   	40        	-100000   	0         	0         	
54.7344   	6137.75   	40        	-100000   	0         	0         	
73.1075   	6127.51   	40        	-100000   	0         	0         	
93.1075   	6120.41   	40        	-100000   	0         	0         	
113.108   	6116.97   	40        	-100000   	0         	0         	
133.108   	6112.43   	40        	-100000   	0         	0         	
169.106   	6121.42   	40        	-100000   	0         	0         	
219.106   	6160.12   	40        	-100000   	0         	0         	
269.106   	6211.28   	40        	-100000   	0         	0         	
319.106   	6272.07   	40        	-100000   	0         	0         	
369.106   	6335.92   	40        	-100000   	0         	0         	
419.106   	6402.11   	40        	-100000   	0         	0         	
469.106   	6469.68   	40        	-100000   	0         	0         	
519.106   	6537.29   	40        	-100000   	0         	0         	
569.106   	6604.76   	40        	-100000   	0         	0         	
619.106   	6671.81   	40        	-100000   	0         	0         	
669.106   	6737.67   	40        	-100000   	0         	0         	
719.106   	6787.24   	40        	-100000   	0         	0         	
769.106   	6809.11   	40        	-100000   	0         	0         	
819.106   	6797.53   	40        	-100000   	0         	0         	
869.106   	6753.57   	40        	-100000   	0         	0         	
919.106   	6681.3    	40        	-100000   	0         	0         	
969.106   	6584.1    	40        	-100000   	0         	0         	
1019.11   	6471.97   	40        	-100000   	0         	0         	
1069.11   	6356.1    	40        	-100000   	0         	0         	
1119.11   	6241.53   	40        	-100000   	0         	0         	
1169.11   	6130.26   	40        	-100000   	0         	0         	
1219.11   	6022.87   	40        	-100000   	0         	0         	
1269.11   	5919.72   	40        	-100000   	0         	0         	
1319.11   	5821.16   	40        	-100000   	0         	0         	
1369.11   	5727.37   	40        	-100000   	0         	0         	
1419.11   	5638.34   	40        	-100000   	0         	0         	
1469.11   	5554.22   	40        	-100000   	0         	0         	
1519.11   	5475      	40        	-100000   	0         	0         	
1569.11   	5400.62   	40        	-100000   	0         	0         	
1619.11   	5331.16   	40        	-100000   	0         	0         	
1669.11   	5266.25   	40        	-100000   	0         	0         	
1719.11   	5205.07   	40        	-100000   	0         	0         	
1769.11   	5147.25   	40        	-100000   	0         	0         	
1819.11   	5092.48   	40        	-100000   	0         	0         	
1869.11   	5040.09   	40        	-100000   	0         	0         	
1919.11   	4990.14   	40        	-100000   	0         	0         	
1969.11   	4942.77   	40        	-100000   	0         	0         	
2019.11   	4897.93   	40        	-100000   	0         	0         	
2069.11   	4855.38   	40        	-100000   	0         	0         	
2119.11   	4814.81   	40        	-100000   	0         	0         	
2169.11   	4775.25   	40        	-100000   	0         	0         	
2219.11   	4736.28   	40        	-100000   	0         	0         	
2269.11   	4698.37   	40        	-100000   	0         	0         	
2319.11   	4661.89   	40        	-100000   	0         	0         	
2369.11   	4627.14   	40        	-100000   	0         	0         	
2419.11   	4593.8    	40        	-100000   	0         	0         	
2469.11   	4561.95   	40        	-100000   	0         	0         	
2519.11   	4531.5    	40        	-100000   	0         	0         	
2569.11   	4502.11   	40        	-100000   	0         	0         	
2619.11   	4473.74   	40        	-100000   	0         	0         	
2669.11   	4446.5    	40        	-100000   	0         	0         	
2719.11   	4420.36   	40        	-100000   	0         	0         	
2744.11   	4407.66   	40        	-100000   	0         	0         	
2794.11   	4383.12   	40        	-100000   	0         	0         	
2819.11   	4371.22   	40        	-100000   	0         	0         	
2844.11   	4359.67   	40        	-100000   	0         	0         	
2869.11   	4348.45   	40        	-100000   	0         	0         	
2894.11   	4337.55   	40        	-100000   	0         	0         	
2919.11   	4327.05   	40        	-100000   	0         	0         	
2969.11   	4307.2    	40        	-100000   	0         	0         	
3019.11   	4288.55   	40        	-100000   	0         	0         	
3069.11   	4270.6    	40        	-100000   	0         	0         	
3119.11   	4253.07   	40        	-100000   	0         	0         	
3169.11   	4235.77   	40        	-100000   	0         	0         	
3219.11   	4218.54   	40        	-100000   	0         	0         	
3269.11   	4201.19   	40        	-100000   	0         	0         	
3319.11   	4183.68   	40        	-100000   	0         	0         	
3369.11   	4165.89   	40        	-100000   	0         	0         	
3419.11   	4147.94   	40        	-100000   	0         	0         	
3469.11   	4129.78   	40        	-100000   	0         	0         	
3519.11   	4111.46   	40        	-100000   	0         	0         	
3569.11   	4093.3    	40        	-100000   	0         	0         	
3619.11   	4075.13   	40        	-100000   	0         	0         	
3650      	4063.93   	40        	-100000   	0         	0         	
