Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	2895.32   	40        	25400     	20000     	0         	
1.58449   	2812.95   	40        	25400     	20000     	0         	
2.27494   	2741.63   	40        	25400     	20000     	0         	
3.18236   	2673.32   	40        	25400     	20000     	0         	
4.46686   	2603.97   	40        	25400     	20000     	0         	
6.37665   	2531.49   	40        	25400     	20000     	0         	
9.05603   	2460.05   	40        	25400     	20000     	0         	
12.6848   	2392.27   	40        	25400     	20000     	0         	
17.7103   	2348.78   	40        	25193.9   	20000     	0         	
24.7588   	2295.45   	40        	24884.7   	20000     	0         	
34.7344   	2243.09   	40        	24582     	20000     	0         	
44.7344   	2205.21   	40        	24800.6   	20000     	0         	
54.7344   	2185.98   	40        	24857.8   	20000     	0         	
73.1075   	2193.59   	40        	24702.3   	20000     	0         	
93.1075   	2230.47   	40        	24559.8   	20000     	0         	
113.108   	2277.71   	40        	24785.1   	20000     	0         	
133.108   	2330.41   	40        	25092.4   	20000     	0         	
169.106   	2433.31   	40        	25400     	20000     	0         	
219.106   	2569.92   	40        	25400     	20000     	0         	
269.106   	2693.41   	40        	25400     	20000     	0         	
319.106   	2810.28   	40        	25400     	20000     	0         	
369.106   	2921.86   	40        	25400     	20000     	0         	
419.106   	3029.22   	40        	25400     	20000     	0         	
469.106   	3134.17   	40        	25400     	20000     	0         	
519.106   	3238.77   	40        	25400     	20000     	0         	
569.106   	3347.9    	40        	25400     	20000     	0         	
619.106   	3471.69   	40        	25400     	20000     	0         	
669.106   	3560.39   	40        	26480     	20000     	0         	
719.106   	3265.51   	40        	39682.6   	20000     	0         	
769.106   	2729.54   	40        	56899.4   	20000     	0         	
819.106   	2287.25   	40        	75940.4   	20000     	0         	
869.106   	1895.24   	40        	92927.4   	20000     	0         	
919.106   	1525.32   	40        	107782    	20000     	0         	
969.106   	1159.38   	40        	121278    	20000     	0         	
1019.11   	1000      	40        	127830    	19326.2   	0         	
1069.11   	1000      	40        	129054    	18239.6   	0         	
1119.11   	1000      	40        	129424    	17339.6   	0         	
1169.11   	1000      	40        	129082    	16567.8   	0         	
1219.11   	1000      	40        	128551    	15859.1   	0         	
1269.11   	1000      	40        	127539    	15267.6   	0         	
1319.11   	1000      	40        	126278    	14752     	0         	
1369.11   	1000      	40        	124926    	14279.8   	0         	
1419.11   	1000      	40        	123546    	13844.1   	0         	
1469.11   	1000      	40        	122253    	13352.5   	0         	
1519.11   	1000      	40        	120930    	12884     	0         	
1569.11   	1000      	40        	119528    	12492     	0         	
1619.11   	1000      	40        	118253    	12147.2   	0         	
1669.11   	1000      	40        	117367    	11849.4   	0         	
1719.11   	1000      	40        	116544    	11575.6   	0         	
1769.11   	1000      	40        	115771    	11319     	0         	
1819.11   	1000      	40        	115099    	11075.8   	0         	
1869.11   	1000      	40        	114493    	10842.7   	0         	
1919.11   	1000      	40        	113940    	10620.5   	0         	
1969.11   	1000      	40        	113115    	10442.7   	0         	
2019.11   	1000      	40        	112301    	10273.9   	0         	
2069.11   	1000      	40        	111602    	10108     	0         	
2119.11   	1000      	40        	110999    	9943.48   	0         	
2169.11   	1000      	40        	111450    	9693.67   	0         	
2219.11   	1000      	40        	111819    	9439.09   	0         	
2269.11   	1000      	40        	111772    	9225.14   	0         	
2319.11   	1000      	40        	111375    	9049.06   	0         	
2369.11   	1000      	40        	110973    	8891.35   	0         	
2419.11   	1000      	40        	110667    	8733.82   	0         	
2469.11   	1000      	40        	110403    	8580.87   	0         	
2519.11   	1000      	40        	110455    	8418.28   	0         	
2569.11   	1000      	40        	110549    	8247.82   	0         	
2619.11   	1000      	40        	110748    	8080.65   	0         	
2669.11   	1000      	40        	110930    	7916.59   	0         	
2719.11   	1000      	40        	111179    	7749.23   	0         	
2744.11   	1000      	40        	111367    	7665.41   	0         	
2794.11   	1000      	40        	111740    	7505.01   	0         	
2819.11   	1000      	40        	111927    	7428.08   	0         	
2844.11   	1000      	40        	112113    	7352.78   	0         	
2869.11   	1000      	40        	112300    	7279.28   	0         	
2894.11   	1000      	40        	112493    	7207.87   	0         	
2919.11   	1000      	40        	112689    	7138.82   	0         	
2969.11   	1000      	40        	113086    	7008.59   	0         	
3019.11   	1000      	40        	113493    	6887.21   	0         	
3069.11   	1000      	40        	113962    	6769.63   	0         	
3119.11   	1000      	40        	114475    	6653.65   	0         	
3169.11   	1000      	40        	114995    	6540.07   	0         	
3219.11   	1000      	40        	115519    	6429.66   	0         	
3269.11   	1000      	40        	116044    	6321.93   	0         	
3319.11   	1000      	40        	116605    	6215.88   	0         	
3369.11   	1000      	40        	117151    	6110.06   	0         	
3419.11   	1000      	40        	117641    	6005.79   	0         	
3469.11   	1000      	40        	118032    	5908.96   	0         	
3519.11   	1000      	40        	118306    	5819.7    	0         	
3569.11   	1000      	40        	118572    	5730.83   	0         	
3619.11   	1000      	40        	118836    	5640.55   	0         	
3650      	1000      	40        	118990    	5584.56   	0         	
