Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
1801      	5118.1    	40        	-100007   	0         	0         	
1803.97   	5114.86   	40        	-100000   	0         	0         	
1812.59   	5105.48   	40        	-100000   	0         	0         	
1836.24   	5080.11   	40        	-100000   	0         	0         	
1892.82   	5022.35   	40        	-100000   	0         	0         	
1952.82   	4965      	40        	-100000   	0         	0         	
2012.82   	4911.25   	40        	-100000   	0         	0         	
2072.82   	4860.62   	40        	-100000   	0         	0         	
2132.82   	4812.71   	40        	-100000   	0         	0         	
2192.82   	4765.84   	40        	-100000   	0         	0         	
2252.82   	4719.94   	40        	-100000   	0         	0         	
2312.82   	4676.01   	40        	-100000   	0         	0         	
2372.82   	4634.25   	40        	-100000   	0         	0         	
2432.82   	4594.53   	40        	-100000   	0         	0         	
2492.82   	4556.8    	40        	-100000   	0         	0         	
2552.82   	4520.93   	40        	-100000   	0         	0         	
2612.82   	4486.41   	40        	-100000   	0         	0         	
2672.82   	4453.52   	40        	-100000   	0         	0         	
2732.82   	4422.12   	40        	-100000   	0         	0         	
2792.82   	4392.25   	40        	-100000   	0         	0         	
2822.82   	4377.82   	40        	-100000   	0         	0         	
2852.82   	4363.87   	40        	-100000   	0         	0         	
2882.82   	4350.4    	40        	-100000   	0         	0         	
2912.82   	4337.37   	40        	-100000   	0         	0         	
2942.82   	4324.9    	40        	-100000   	0         	0         	
2972.82   	4313      	40        	-100000   	0         	0         	
3032.82   	4290.47   	40        	-100000   	0         	0         	
3092.82   	4268.92   	40        	-100000   	0         	0         	
3152.82   	4247.88   	40        	-100000   	0         	0         	
3212.82   	4227.08   	40        	-100000   	0         	0         	
3272.82   	4206.15   	40        	-100000   	0         	0         	
3332.82   	4185.03   	40        	-100000   	0         	0         	
3392.82   	4163.5    	40        	-100000   	0         	0         	
3452.82   	4141.74   	40        	-100000   	0         	0         	
3512.82   	4119.75   	40        	-100000   	0         	0         	
3572.82   	4097.79   	40        	-100000   	0         	0         	
3632.82   	4075.91   	40        	-100000   	0         	0         	
3650      	4069.67   	40        	-100000   	0         	0         	
