Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
1801      	1000      	40        	114987    	11119.7   	0         	
1803.97   	1000      	40        	114849    	11120.6   	0         	
1812.59   	1000      	40        	114641    	11100.5   	0         	
1836.24   	1000      	40        	114333    	11004.6   	0         	
1892.82   	1000      	40        	113707    	10759.4   	0         	
1952.82   	1000      	40        	112963    	10527.4   	0         	
2012.82   	1000      	40        	112030    	10328.3   	0         	
2072.82   	1000      	40        	111256    	10131.8   	0         	
2132.82   	1000      	40        	110642    	9933.88   	0         	
2192.82   	1000      	40        	111398    	9617.97   	0         	
2252.82   	1000      	40        	111643    	9334.3    	0         	
2312.82   	1000      	40        	111285    	9113.96   	0         	
2372.82   	1000      	40        	110839    	8922.71   	0         	
2432.82   	1000      	40        	110514    	8734.29   	0         	
2492.82   	1000      	40        	110326    	8546.91   	0         	
2552.82   	1000      	40        	110411    	8349.16   	0         	
2612.82   	1000      	40        	110604    	8146.57   	0         	
2672.82   	1000      	40        	110827    	7950.38   	0         	
2732.82   	1000      	40        	111071    	7754.8    	0         	
2792.82   	1000      	40        	111524    	7559.38   	0         	
2822.82   	1000      	40        	111761    	7465.78   	0         	
2852.82   	1000      	40        	111997    	7374.65   	0         	
2882.82   	1000      	40        	112235    	7285.98   	0         	
2912.82   	1000      	40        	112479    	7200.25   	0         	
2942.82   	1000      	40        	112729    	7117.9    	0         	
2972.82   	1000      	40        	112982    	7038.98   	0         	
3032.82   	1000      	40        	113497    	6891.15   	0         	
3092.82   	1000      	40        	114100    	6747.59   	0         	
3152.82   	1000      	40        	114745    	6606.86   	0         	
3212.82   	1000      	40        	115390    	6470.45   	0         	
3272.82   	1000      	40        	116031    	6338.44   	0         	
3332.82   	1000      	40        	116713    	6209.47   	0         	
3392.82   	1000      	40        	117352    	6082.16   	0         	
3452.82   	1000      	40        	117927    	5958.05   	0         	
3512.82   	1000      	40        	118274    	5849.2    	0         	
3572.82   	1000      	40        	118594    	5742.38   	0         	
3632.82   	1000      	40        	118909    	5633.86   	0         	
3650      	1000      	40        	118994    	5602.81   	0         	
