Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	5473.12   	40        	-100000   	0         	0         	
2         	5683.73   	40        	-100000   	0         	0         	
3.25898   	5815.91   	40        	-100000   	0         	0         	
5.19443   	5913.35   	40        	-100000   	0         	0         	
8.24688   	5985.14   	40        	-100000   	0         	0         	
12.7321   	6041.34   	40        	-100000   	0         	0         	
19.1169   	6058.37   	40        	-100000   	0         	0         	
28.0691   	6030.88   	40        	-100000   	0         	0         	
40.1579   	5926.87   	40        	-100000   	0         	0         	
55.9343   	5774.85   	40        	-100000   	0         	0         	
76.7232   	5574.46   	40        	-100000   	0         	0         	
105.036   	5331.33   	40        	-100000   	0         	0         	
143.584   	5042.83   	40        	-100000   	0         	0         	
191.409   	4745.4    	40        	-100000   	0         	0         	
249.558   	4434.24   	40        	-100000   	0         	0         	
318.149   	4095.82   	40        	-100000   	0         	0         	
394.679   	3736.05   	40        	-100000   	0         	0         	
476.788   	3391.77   	40        	-100000   	0         	0         	
567.252   	3079.65   	40        	-100000   	0         	0         	
673.047   	2804.34   	40        	-100000   	0         	0         	
806.276   	2560.99   	40        	-100000   	0         	0         	
986.086   	2352.69   	40        	-100000   	0         	0         	
1166.09   	2217.77   	40        	-100000   	0         	0         	
1346.09   	2129.37   	40        	-100000   	0         	0         	
1526.09   	2070.28   	40        	-100000   	0         	0         	
1706.09   	2029.39   	40        	-100000   	0         	0         	
1886.09   	2000.53   	40        	-100000   	0         	0         	
2066.09   	1979.62   	40        	-100000   	0         	0         	
2246.09   	1963.81   	40        	-100000   	0         	0         	
2426.09   	1951.52   	40        	-100000   	0         	0         	
2606.09   	1941.67   	40        	-100000   	0         	0         	
2786.09   	1933.47   	40        	-100000   	0         	0         	
2966.09   	1926.39   	40        	-100000   	0         	0         	
3146.09   	1920.12   	40        	-100000   	0         	0         	
3326.09   	1914.42   	40        	-100000   	0         	0         	
3506.09   	1909.17   	40        	-100000   	0         	0         	
3650      	1905.22   	40        	-100000   	0         	0         	
