Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	1000      	40        	448498    	353148    	0         	
2         	1000      	40        	411028    	327545    	0         	
3.25898   	1000      	40        	389189    	311506    	0         	
5.19443   	1000      	40        	380301    	289308    	0         	
8.24688   	1000      	40        	369854    	253697    	0         	
12.7321   	1000      	40        	349325    	219361    	0         	
19.1169   	1000      	40        	324037    	189094    	0         	
28.0691   	1000      	40        	304974    	160288    	0         	
40.1579   	1000      	40        	293683    	133039    	0         	
55.9343   	1000      	40        	281594    	109342    	0         	
76.7232   	1000      	40        	266773    	89492.6   	0         	
105.036   	1000      	40        	248229    	73988.1   	0         	
143.584   	1000      	40        	227389    	62014.9   	0         	
191.409   	1000      	40        	214670    	54075.3   	0         	
249.558   	1000      	40        	221732    	48655.7   	0         	
318.149   	1000      	40        	257530    	43206.2   	0         	
394.679   	1000      	40        	294425    	35717.8   	0         	
476.788   	1000      	40        	308184    	27913.7   	0         	
567.252   	1000      	40        	297400    	21177.3   	0         	
673.047   	1000      	40        	263675    	15990.2   	0         	
806.276   	1000      	40        	220683    	12281.3   	0         	
986.086   	1000      	40        	179331    	9607.18   	0         	
1166.09   	1000      	40        	151946    	8040.82   	0         	
1346.09   	1000      	40        	134198    	7088      	0         	
1526.09   	1000      	40        	122702    	6484.84   	0         	
1706.09   	1000      	40        	115190    	6089.26   	0         	
1886.09   	1000      	40        	110220    	5823.85   	0         	
2066.09   	1000      	40        	106913    	5643.07   	0         	
2246.09   	1000      	40        	104720    	5514.46   	0         	
2426.09   	1000      	40        	103284    	5414.51   	0         	
2606.09   	1000      	40        	102354    	5331.95   	0         	
2786.09   	1000      	40        	101741    	5261.49   	0         	
2966.09   	1000      	40        	101335    	5198.52   	0         	
3146.09   	1000      	40        	101065    	5140.33   	0         	
3326.09   	1000      	40        	100884    	5085.46   	0         	
3506.09   	1000      	40        	100760    	5033      	0         	
3650      	1000      	40        	100681    	4992.68   	0         	
