Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.025     	1500      	250       	-3554.52  	0         	
0.035     	1500      	250       	-3041.37  	0         	
0.0462799 	1500      	250       	-2675.64  	0         	
0.0572387 	1500      	250       	-2643.38  	0         	
0.0675261 	1500      	250       	-2802.06  	0         	
0.0777286 	1500      	250       	-3087.85  	0         	
0.0883    	1500      	250       	-3471.47  	0         	
0.0995538 	1500      	250       	-3942.05  	0         	
0.111712  	1500      	250       	-4473.91  	0         	
0.124928  	1500      	250       	-4859.77  	0         	
0.1401    	1500      	250       	-5032.61  	0         	
0.158192  	1500      	250       	-5214.7   	0         	
0.17621   	1500      	250       	-5362.2   	0         	
0.194226  	1500      	250       	-5572.96  	0         	
0.212827  	1500      	250       	-5856.83  	0         	
0.232673  	1500      	250       	-6204.1   	0         	
0.253865  	1500      	250       	-6522.89  	0         	
0.276978  	1500      	250       	-6698.27  	0         	
0.302208  	1500      	250       	-6719.57  	0         	
0.328429  	1500      	250       	-6644.43  	0         	
0.356616  	1500      	250       	-6529.46  	0         	
0.387191  	1500      	250       	-6493.09  	0         	
0.420141  	1500      	250       	-6546.26  	0         	
0.455046  	1500      	250       	-6689.31  	0         	
0.492859  	1500      	250       	-6719.23  	0         	
0.536295  	1500      	250       	-6784.35  	0         	
0.577205  	1500      	250       	-6693.17  	0         	
0.621284  	1500      	250       	-6542.67  	0         	
0.669729  	1500      	250       	-6421.41  	0         	
0.720957  	1500      	250       	-6408.02  	0         	
0.774918  	1500      	250       	-6393.48  	0         	
0.832279  	1500      	250       	-6324.07  	0         	
0.88769   	1500      	250       	-6271.58  	0         	
0.944079  	1500      	250       	-6204.85  	0         	
1.00237   	1500      	250       	-6125.37  	0         	
1.06478   	1500      	250       	-6011.52  	0         	
1.13309   	1500      	250       	-5921.61  	0         	
1.20444   	1500      	250       	-5889.53  	0         	
1.28006   	1500      	250       	-5900.12  	0         	
1.35181   	1500      	250       	-5912.09  	0         	
1.42606   	1500      	250       	-5907.38  	0         	
1.50254   	1500      	250       	-5890.08  	0         	
1.58255   	1500      	250       	-5906.94  	0         	
1.66684   	1500      	250       	-5896.85  	0         	
1.76147   	1500      	250       	-5832.78  	0         	
1.85126   	1500      	250       	-5807.26  	0         	
1.94047   	1500      	250       	-5798.2   	0         	
2.03462   	1500      	250       	-5807.6   	0         	
2.13242   	1500      	250       	-5805.4   	0         	
2.23229   	1500      	250       	-5797.54  	0         	
2.33934   	1500      	250       	-5825.43  	0         	
2.43862   	1500      	250       	-5830.75  	0         	
2.54456   	1500      	250       	-5799.05  	0         	
2.6532    	1500      	250       	-5763.26  	0         	
2.76973   	1500      	250       	-5771.51  	0         	
2.89003   	1500      	250       	-5758.34  	0         	
3.0025    	1500      	250       	-5722.43  	0         	
3.11519   	1500      	250       	-5716.57  	0         	
3.23394   	1500      	250       	-5724.01  	0         	
3.35774   	1500      	250       	-5743.94  	0         	
3.48383   	1500      	250       	-5743.77  	0         	
