Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.025     	500       	160       	1816.45   	3983.7    	
0.035     	500       	160       	1685.43   	3625.93   	
0.0462799 	500       	160       	1599.93   	3416.83   	
0.0572387 	500       	160       	1553.62   	3303.92   	
0.0675261 	500       	160       	1521.25   	3241.62   	
0.0777286 	500       	160       	1496.58   	3203.22   	
0.0883    	500       	160       	1476.47   	3176.47   	
0.0995538 	500       	160       	1459.26   	3155.42   	
0.111712  	500       	160       	1444.19   	3137.41   	
0.124928  	500       	160       	1431.65   	3124.08   	
0.1401    	500       	160       	1423.15   	3121.46   	
0.158192  	500       	160       	1422.84   	3136.55   	
0.17621   	500       	160       	1430.76   	3166.64   	
0.194226  	500       	160       	1443.69   	3206.68   	
0.212827  	500       	160       	1460.03   	3252.52   	
0.232673  	500       	160       	1478.63   	3301.23   	
0.253865  	500       	160       	1498.97   	3351.73   	
0.276978  	500       	160       	1523.01   	3409.67   	
0.302208  	500       	160       	1552.91   	3480.79   	
0.328429  	500       	160       	1587.18   	3561.21   	
0.356616  	500       	160       	1625.27   	3648.9    	
0.387191  	500       	160       	1664.04   	3735.52   	
0.420141  	500       	160       	1699.83   	3812.51   	
0.455046  	500       	160       	1730.16   	3875.26   	
0.492859  	500       	160       	1760.03   	3937.91   	
0.536295  	500       	160       	1789.72   	4000.21   	
0.577205  	500       	160       	1819.07   	4064.3    	
0.621284  	500       	160       	1851.89   	4137.04   	
0.669729  	500       	160       	1885.21   	4210.01   	
0.720957  	500       	160       	1913.29   	4269.54   	
0.774918  	500       	160       	1934.66   	4313.26   	
0.832279  	500       	160       	1952.33   	4349.54   	
0.88769   	500       	160       	1966.7    	4379.62   	
0.944079  	500       	160       	1979.18   	4406      	
1.00237   	500       	160       	1990.31   	4429.73   	
1.06478   	500       	160       	2004.55   	4461.68   	
1.13309   	500       	160       	2018.52   	4492.39   	
1.20444   	500       	160       	2030.05   	4517.1    	
1.28006   	500       	160       	2038.3    	4534.23   	
1.35181   	500       	160       	2045.06   	4548.56   	
1.42606   	500       	160       	2051.87   	4563.5    	
1.50254   	500       	160       	2057.69   	4576.12   	
1.58255   	500       	160       	2060.52   	4581.53   	
1.66684   	500       	160       	2067.16   	4596.77   	
1.76147   	500       	160       	2080.56   	4627.45   	
1.85126   	500       	160       	2089.6    	4645.85   	
1.94047   	500       	160       	2095.5    	4658.27   	
2.03462   	500       	160       	2101.01   	4670.18   	
2.13242   	500       	160       	2106.22   	4681.62   	
2.23229   	500       	160       	2112.31   	4695.08   	
2.33934   	500       	160       	2114.63   	4700.37   	
2.43862   	500       	160       	2119.94   	4712.09   	
2.54456   	500       	160       	2130.46   	4735.23   	
2.6532    	500       	160       	2138.31   	4752.72   	
2.76973   	500       	160       	2141.09   	4759.13   	
2.89003   	500       	160       	2149.28   	4777.15   	
3.0025    	500       	160       	2157.03   	4794.36   	
3.11519   	500       	160       	2159.4    	4799.84   	
3.23394   	500       	160       	2162.34   	4806.42   	
3.35774   	500       	160       	2164.89   	4812.14   	
3.48383   	500       	160       	2170.68   	4824.92   	
3.60134   	500       	160       	2174.46   	4833.29   	
3.72223   	500       	160       	2181.11   	4847.96   	
3.84856   	500       	160       	2184.17   	4854.85   	
3.97735   	500       	160       	2191.93   	4871.84   	
4.11385   	500       	160       	2201.08   	4892.02   	
4.24151   	500       	160       	2205.74   	4902.41   	
4.36734   	500       	160       	2207.25   	4905.75   	
4.50092   	500       	160       	2208.07   	4907.38   	
4.65141   	500       	160       	2217.28   	4927.17   	
4.78287   	500       	160       	2221.44   	4935.94   	
4.91223   	500       	160       	2222.48   	4937.68   	
5.0562    	500       	160       	2227.44   	4947.45   	
5.20683   	500       	160       	2233.33   	4958.88   	
5.33489   	500       	160       	2238.82   	4969.19   	
5.46898   	500       	160       	2245.16   	4980.73   	
5.60402   	500       	160       	2248.38   	4984.67   	
5.74768   	500       	160       	2256.6    	4998.01   	
5.89684   	500       	160       	2266.19   	5012.7    	
6.03382   	500       	160       	2270.25   	5014.2    	
6.18203   	500       	160       	2278.93   	5022.41   	
6.34352   	500       	160       	2290.75   	5032.65   	
6.48064   	500       	160       	2301.57   	5039.58   	
6.62512   	500       	160       	2314.88   	5046.15   	
6.78537   	500       	160       	2329.7    	5046.19   	
6.95752   	500       	160       	2350.43   	5045.83   	
7.10977   	500       	160       	2360.88   	5019.24   	
7.26818   	500       	160       	2383.03   	4997.27   	
7.41292   	500       	160       	2406      	4968.28   	
7.54815   	500       	160       	2435.08   	4946.87   	
7.70093   	500       	160       	2479.46   	4927.24   	
7.85903   	500       	160       	2534.18   	4898.8    	
8.00633   	500       	160       	2597.27   	4867.9    	
8.16531   	500       	160       	2671.19   	4809.84   	
8.34598   	500       	160       	2778.99   	4746.72   	
8.51997   	500       	160       	2872.55   	4645.79   	
8.70603   	500       	160       	2944.99   	4461.18   	
8.90744   	500       	160       	3059.48   	4230      	
9.12148   	500       	160       	3197.12   	4034.77   	
9.37207   	500       	160       	3353.64   	3863.41   	
9.65827   	500       	160       	3532.92   	3703.97   	
9.96989   	500       	160       	3732.39   	3545.67   	
10.3047   	500       	160       	3942.35   	3380      	
10.6753   	500       	160       	4201.96   	3200.1    	
11.1095   	500       	160       	4521.77   	2985.68   	
11.5809   	500       	160       	4893.12   	2764.62   	
12.1563   	500       	160       	5340.71   	2518.58   	
12.7119   	500       	160       	5768.92   	2301.25   	
13.3267   	500       	160       	6234.37   	2080.39   	
14.0581   	500       	160       	6744.07   	1853.8    	
14.7904   	500       	160       	7207.93   	1663.77   	
15.6211   	500       	160       	7668.51   	1485.98   	
16.4748   	500       	160       	8084.15   	1329.65   	
17.3257   	500       	160       	8454.93   	1197.24   	
18.2304   	500       	160       	8790.94   	1077.25   	
19.2416   	500       	160       	9120.82   	965.329   	
20.3818   	500       	160       	9448.44   	857.225   	
21.6362   	500       	160       	9780.28   	756.315   	
22.9336   	500       	160       	10100.6   	666.058   	
24.2805   	500       	160       	10410.2   	584.3     	
25.7402   	500       	160       	10702.1   	507.62    	
27.3552   	500       	160       	10983.8   	437.857   	
28.9586   	500       	160       	11206.6   	381.068   	
30.5112   	500       	160       	11383.9   	336.697   	
32.191    	500       	160       	11544.5   	298.409   	
33.8642   	500       	160       	11665.7   	268.025   	
35.6806   	500       	160       	11773.1   	241.878   	
37.5099   	500       	160       	11877.1   	220.867   	
39.3177   	500       	160       	11959.8   	203.496   	
41.1247   	500       	160       	12028     	189.192   	
42.8721   	500       	160       	12086.4   	177.899   	
44.8279   	500       	160       	12140.1   	167.448   	
46.7828   	500       	160       	12184.9   	158.719   	
48.6752   	500       	160       	12229.2   	151.769   	
