Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.025     	1500      	160       	-4525.47  	0         	
0.125     	1500      	160       	-4761.29  	0         	
0.225     	1500      	160       	-6181.13  	0         	
0.325     	1500      	160       	-6709.19  	0         	
0.425     	1500      	160       	-7000.78  	0         	
0.525     	1500      	160       	-7114.03  	0         	
0.625     	1500      	160       	-6835.55  	0         	
0.725     	1500      	160       	-6792.15  	0         	
0.825     	1500      	160       	-6847.97  	0         	
0.925     	1500      	160       	-6848.74  	0         	
1.025     	1500      	160       	-6589.88  	0         	
1.125     	1500      	160       	-6400.07  	0         	
1.225     	1500      	160       	-6309.07  	0         	
1.325     	1500      	160       	-6305.6   	0         	
1.425     	1500      	160       	-6285.07  	0         	
1.525     	1500      	160       	-6313.53  	0         	
1.625     	1500      	160       	-6330.31  	0         	
1.725     	1500      	160       	-6255.48  	0         	
1.825     	1500      	160       	-6223.92  	0         	
1.925     	1500      	160       	-6220.14  	0         	
2.025     	1500      	160       	-6240.52  	0         	
2.12508   	1500      	160       	-6230.95  	0         	
2.22518   	1500      	160       	-6227.78  	0         	
2.32518   	1500      	160       	-6261.96  	0         	
2.42518   	1500      	160       	-6272.64  	0         	
2.52763   	1500      	160       	-6233.97  	0         	
2.63394   	1500      	160       	-6213.07  	0         	
2.74693   	1500      	160       	-6237.7   	0         	
2.86492   	1500      	160       	-6218.4   	0         	
2.9754    	1500      	160       	-6176.25  	0         	
3.08538   	1500      	160       	-6172.76  	0         	
3.20187   	1500      	160       	-6192.03  	0         	
3.32141   	1500      	160       	-6216.35  	0         	
3.44359   	1500      	160       	-6220.5   	0         	
3.55699   	1500      	160       	-6234.93  	0         	
3.67355   	1500      	160       	-6216.27  	0         	
3.79563   	1500      	160       	-6215.35  	0         	
3.91933   	1500      	160       	-6200.6   	0         	
4.05185   	1500      	160       	-6146.76  	0         	
4.1743    	1500      	160       	-6135.86  	0         	
4.29489   	1500      	160       	-6155.42  	0         	
4.42128   	1500      	160       	-6188.62  	0         	
4.56514   	1500      	160       	-6205.31  	0         	
4.70641   	1500      	160       	-6197.65  	0         	
4.8349    	1500      	160       	-6203.79  	0         	
4.97369   	1500      	160       	-6224     	0         	
5.12586   	1500      	160       	-6244.91  	0         	
5.2499    	1500      	160       	-6252.52  	0         	
5.37739   	1500      	160       	-6250.67  	0         	
5.50658   	1500      	160       	-6241.03  	0         	
5.642     	1500      	160       	-6241.56  	0         	
5.80114   	1500      	160       	-6232.32  	0         	
5.93603   	1500      	160       	-6229.07  	0         	
6.07871   	1500      	160       	-6227.43  	0         	
6.24336   	1500      	160       	-6222.84  	0         	
6.37646   	1500      	160       	-6212.11  	0         	
6.51625   	1500      	160       	-6200.18  	0         	
6.67289   	1500      	160       	-6183.34  	0         	
6.83738   	1500      	160       	-6168.09  	0         	
6.98259   	1500      	160       	-6174.13  	0         	
7.13231   	1500      	160       	-6197.11  	0         	
7.26904   	1500      	160       	-6231.09  	0         	
7.39546   	1500      	160       	-6269.21  	0         	
7.5333    	1500      	160       	-6305.07  	0         	
7.6784    	1500      	160       	-6324.85  	0         	
7.82077   	1500      	160       	-6331.8   	0         	
7.96472   	1500      	160       	-6329.98  	0         	
8.13575   	1500      	160       	-6316.56  	0         	
8.32679   	1500      	160       	-6297.47  	0         	
8.51682   	1500      	160       	-6253.18  	0         	
