Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.025     	500       	160       	1820.96   	3995.79   	
0.125     	500       	160       	1523.74   	3313.64   	
0.225     	500       	160       	1531.99   	3387.32   	
0.325     	500       	160       	1622.41   	3621.01   	
0.425     	500       	160       	1714.48   	3834.47   	
0.525     	500       	160       	1795.55   	4014.19   	
0.625     	500       	160       	1874.49   	4188.67   	
0.725     	500       	160       	1931.82   	4311.14   	
0.825     	500       	160       	1975.14   	4403.24   	
0.925     	500       	160       	2010.11   	4478.21   	
1.025     	500       	160       	2039.97   	4542.87   	
1.125     	500       	160       	2065.56   	4598.46   	
1.225     	500       	160       	2085.98   	4640.3    	
1.325     	500       	160       	2099.41   	4667.78   	
1.425     	500       	160       	2112.92   	4696.74   	
1.525     	500       	160       	2121.63   	4715.81   	
1.625     	500       	160       	2130.09   	4734.49   	
1.725     	500       	160       	2148.06   	4773.97   	
1.825     	500       	160       	2160.37   	4801.37   	
1.925     	500       	160       	2168.4    	4819.41   	
2.025     	500       	160       	2175.69   	4835.72   	
2.12508   	500       	160       	2182.63   	4851.22   	
2.22518   	500       	160       	2190.53   	4868.76   	
2.32518   	500       	160       	2193.71   	4876.03   	
2.42518   	500       	160       	2200.59   	4891.23   	
2.52763   	500       	160       	2212.46   	4917.35   	
2.63394   	500       	160       	2220.4    	4935.09   	
2.74693   	500       	160       	2224.36   	4944.12   	
2.86492   	500       	160       	2234.33   	4966.12   	
2.9754    	500       	160       	2242.67   	4984.63   	
3.08538   	500       	160       	2246.14   	4992.56   	
3.20187   	500       	160       	2249.4    	4999.9    	
3.32141   	500       	160       	2253.61   	5009.26   	
3.44359   	500       	160       	2260.01   	5023.36   	
3.55699   	500       	160       	2263.32   	5030.79   	
3.67355   	500       	160       	2271.3    	5048.31   	
3.79563   	500       	160       	2275.36   	5057.4    	
3.91933   	500       	160       	2283.3    	5074.83   	
4.05185   	500       	160       	2293.22   	5096.62   	
4.1743    	500       	160       	2298.91   	5109.21   	
4.29489   	500       	160       	2301.21   	5114.26   	
4.42128   	500       	160       	2303.1    	5118.22   	
4.56514   	500       	160       	2311.58   	5136.24   	
4.70641   	500       	160       	2318.25   	5150.24   	
4.8349    	500       	160       	2320.42   	5154.24   	
4.97369   	500       	160       	2324.9    	5162.67   	
5.12586   	500       	160       	2331.85   	5175.73   	
5.2499    	500       	160       	2338.03   	5187      	
5.37739   	500       	160       	2345.45   	5200.17   	
5.50658   	500       	160       	2350.1    	5206.39   	
5.642     	500       	160       	2357.65   	5217.33   	
5.80114   	500       	160       	2370      	5235.32   	
5.93603   	500       	160       	2375.28   	5237.29   	
6.07871   	500       	160       	2384.5    	5244.07   	
6.24336   	500       	160       	2399.4    	5255.86   	
6.37646   	500       	160       	2412.18   	5262.85   	
6.51625   	500       	160       	2429.1    	5271.95   	
6.67289   	500       	160       	2446.71   	5270.59   	
6.83738   	500       	160       	2471.93   	5271.35   	
6.98259   	500       	160       	2485.99   	5244.4    	
7.13231   	500       	160       	2505.44   	5213.67   	
7.26904   	500       	160       	2527.62   	5177.39   	
7.39546   	500       	160       	2558.37   	5146.54   	
7.5333    	500       	160       	2605.74   	5129.31   	
7.6784    	500       	160       	2660.88   	5099.68   	
7.82077   	500       	160       	2724.68   	5061.92   	
7.96472   	500       	160       	2803.02   	5018      	
8.13575   	500       	160       	2906.32   	4948.59   	
8.32679   	500       	160       	3033.05   	4846.01   	
8.51682   	500       	160       	3133.34   	4677.06   	
8.71052   	500       	160       	3242.18   	4444.61   	
8.91098   	500       	160       	3383.49   	4233.24   	
9.1333    	500       	160       	3543.89   	4052.16   	
9.39412   	500       	160       	3730.12   	3886.31   	
9.6831    	500       	160       	3935.26   	3721.44   	
9.99028   	500       	160       	4161.73   	3553.61   	
10.3412   	500       	160       	4429.62   	3368.88   	
10.7384   	500       	160       	4758.15   	3151.65   	
11.1595   	500       	160       	5128.63   	2928.44   	
11.6624   	500       	160       	5567.08   	2685.22   	
12.2235   	500       	160       	6058.78   	2443.29   	
12.7891   	500       	160       	6544.83   	2218.4    	
13.4031   	500       	160       	7047.61   	2003.04   	
14.0365   	500       	160       	7532.26   	1812.2    	
14.7588   	500       	160       	8022.05   	1629.92   	
15.4718   	500       	160       	8466.7    	1480.31   	
16.2185   	500       	160       	8885.4    	1342.68   	
16.9989   	500       	160       	9280.11   	1218.55   	
17.8434   	500       	160       	9655.35   	1104.08   	
18.7894   	500       	160       	10039.6   	995.62    	
19.8386   	500       	160       	10422.3   	890.946   	
21.0389   	500       	160       	10846.9   	787.793   	
22.2114   	500       	160       	11229.9   	699.174   	
23.442    	500       	160       	11625.1   	617.776   	
24.7429   	500       	160       	11983.6   	542.042   	
26.1687   	500       	160       	12345.8   	473.47    	
27.6795   	500       	160       	12652     	413.634   	
29.2038   	500       	160       	12916.4   	366.166   	
30.8671   	500       	160       	13155.1   	324.835   	
32.6079   	500       	160       	13354.4   	291.13    	
34.3747   	500       	160       	13527.8   	263.954   	
36.1599   	500       	160       	13687.8   	242.047   	
37.9467   	500       	160       	13819.2   	224.041   	
39.8733   	500       	160       	13940     	208.546   	
41.8172   	500       	160       	14042.2   	195.967   	
43.7694   	500       	160       	14131     	185.413   	
45.7987   	500       	160       	14211.2   	176.515   	
47.8142   	500       	160       	14287.7   	169.526   	
49.9228   	500       	160       	14357     	163.275   	
52.0801   	500       	160       	14419.9   	157.793   	
54.2545   	500       	160       	14479.8   	153.111   	
56.4497   	500       	160       	14534.6   	149.038   	
58.6993   	500       	160       	14589.1   	145.254   	
60.9502   	500       	160       	14640.7   	141.754   	
63.2375   	500       	160       	14690.7   	138.453   	
65.5227   	500       	160       	14737.8   	135.334   	
67.8002   	500       	160       	14784.5   	132.433   	
70.1242   	500       	160       	14830.2   	129.594   	
72.4825   	500       	160       	14877.2   	126.813   	
74.8945   	500       	160       	14921.6   	124.038   	
77.2005   	500       	160       	14964.4   	121.488   	
79.4717   	500       	160       	15006.5   	119.055   	
81.7408   	500       	160       	15045.5   	116.705   	
83.9351   	500       	160       	15081.1   	114.524   	
86.2449   	500       	160       	15120     	112.344   	
88.475    	500       	160       	15163.2   	110.417   	
91.1905   	500       	160       	15213.4   	107.989   	
