Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	4000      	190       	-81008.1  	0         	
0.157737  	4000      	190       	-78028.2  	0         	
0.177143  	4000      	190       	-77186.1  	0         	
0.187143  	4000      	190       	-76792.8  	0         	
0.206185  	4000      	190       	-76176    	0         	
0.241075  	4000      	190       	-75359.8  	0         	
0.305379  	4000      	190       	-74482.6  	0         	
0.430589  	4000      	190       	-73850.4  	0         	
0.605291  	4000      	190       	-73764.3  	0         	
0.778958  	4000      	190       	-73969    	0         	
0.987418  	4000      	190       	-74359.9  	0         	
1.182     	4000      	190       	-74720.9  	0         	
1.4989    	4000      	190       	-75222.6  	0         	
1.77494   	4000      	190       	-75512.8  	0         	
2.06769   	4000      	190       	-75699    	0         	
2.53507   	4000      	190       	-75795.7  	0         	
3.39301   	4000      	190       	-75639.7  	0         	
4.29382   	4000      	190       	-75292    	0         	
6.28423   	4000      	190       	-74637.4  	0         	
8.77528   	4000      	190       	-73855.3  	0         	
12.3527   	4000      	190       	-72756.9  	0         	
14.941    	4000      	190       	-71879.4  	0         	
17.0668   	4000      	190       	-71130    	0         	
20.2429   	4000      	190       	-70011.8  	0         	
23.0193   	4000      	190       	-69023.8  	0         	
25.9293   	4000      	190       	-68026.5  	0         	
29.6552   	4000      	190       	-66839.3  	0         	
33.0039   	4000      	190       	-65834.4  	0         	
39.6355   	4000      	190       	-64184.3  	0         	
49.6355   	4000      	190       	-62399.2  	0         	
54.6355   	4000      	190       	-61685.4  	0         	
61.3957   	4000      	190       	-61098.6  	0         	
70.3576   	4000      	190       	-60595.2  	0         	
80.3576   	4000      	190       	-60197.3  	0         	
90.3576   	4000      	190       	-59906.5  	0         	
100.358   	4000      	190       	-59695.7  	0         	
110.358   	4000      	190       	-59545.1  	0         	
120.358   	4000      	190       	-59439.5  	0         	
130.358   	4000      	190       	-59367.6  	0         	
140.358   	4000      	190       	-59321    	0         	
150.358   	4000      	190       	-59293.3  	0         	
160.358   	4000      	190       	-59279.7  	0         	
170.358   	4000      	190       	-59276.9  	0         	
180.358   	4000      	190       	-59282.3  	0         	
190.358   	4000      	190       	-59293.7  	0         	
200.358   	4000      	190       	-59309.8  	0         	
210.358   	4000      	190       	-59329.1  	0         	
220.358   	4000      	190       	-59350.7  	0         	
230.358   	4000      	190       	-59373.3  	0         	
240.358   	4000      	190       	-59395.9  	0         	
250.358   	4000      	190       	-59417.3  	0         	
260.358   	4000      	190       	-59436    	0         	
270.358   	4000      	190       	-59490.5  	0         	
280.358   	4000      	190       	-59594.2  	0         	
290.358   	4000      	190       	-59747.5  	0         	
300       	4000      	190       	-59940.1  	0         	
