Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	2000      	70        	62754.7   	2831.89   	
0.157737  	2000      	70        	61126.2   	2763.29   	
0.177143  	2000      	70        	60514.2   	2733.61   	
0.187143  	2000      	70        	60194.4   	2717.58   	
0.206185  	2000      	70        	59602.6   	2687.13   	
0.241075  	2000      	70        	58611.4   	2634.33   	
0.305379  	2000      	70        	57066.4   	2548.8    	
0.430589  	2000      	70        	54799     	2419.32   	
0.605291  	2000      	70        	52548.1   	2289.2    	
0.778958  	2000      	70        	50894.1   	2194      	
0.987418  	2000      	70        	49396.4   	2109.31   	
1.182     	2000      	70        	48283.1   	2047.65   	
1.4989    	2000      	70        	46910.3   	1974.22   	
1.77494   	2000      	70        	45949.1   	1924.42   	
2.06769   	2000      	70        	45115.8   	1882.7    	
2.53507   	2000      	70        	44101.4   	1834.59   	
3.39301   	2000      	70        	42849.8   	1780.62   	
4.29382   	2000      	70        	41973.9   	1747.62   	
6.28423   	2000      	70        	41221.9   	1736.38   	
8.77528   	2000      	70        	41215.4   	1767.57   	
12.3527   	2000      	70        	42108.9   	1849.71   	
14.941    	2000      	70        	43068.7   	1919.73   	
17.0668   	2000      	70        	43866.3   	1971.21   	
20.2429   	2000      	70        	45205.7   	2043.42   	
23.0193   	2000      	70        	46429.9   	2099.56   	
25.9293   	2000      	70        	47683.5   	2149.55   	
29.6552   	2000      	70        	48966     	2188.71   	
33.0039   	2000      	70        	49867.6   	2210.02   	
39.6355   	2000      	70        	51273.4   	2244.24   	
49.6355   	2000      	70        	53177.5   	2304.11   	
54.6355   	2000      	70        	54638.3   	2370.58   	
61.3957   	2000      	70        	56383.5   	2464.6    	
70.3576   	2000      	70        	56848.5   	2484      	
80.3576   	2000      	70        	57235.7   	2500.04   	
90.3576   	2000      	70        	57550.5   	2513.46   	
100.358   	2000      	70        	57810.8   	2524.84   	
110.358   	2000      	70        	58029.9   	2534.59   	
120.358   	2000      	70        	58217.8   	2543.01   	
130.358   	2000      	70        	58381.9   	2550.33   	
140.358   	2000      	70        	58527.8   	2556.74   	
150.358   	2000      	70        	58659.6   	2562.36   	
160.358   	2000      	70        	58780.5   	2567.28   	
170.358   	2000      	70        	58892.9   	2571.51   	
180.358   	2000      	70        	58998.6   	2575.04   	
190.358   	2000      	70        	59099     	2577.79   	
200.358   	2000      	70        	59194.9   	2579.65   	
210.358   	2000      	70        	59287     	2580.44   	
220.358   	2000      	70        	59375.2   	2579.95   	
230.358   	2000      	70        	59459.3   	2577.92   	
240.358   	2000      	70        	59538.2   	2573.95   	
250.358   	2000      	70        	59611.3   	2567.45   	
260.358   	2000      	70        	59677.2   	2558.31   	
270.358   	2000      	70        	60055.7   	2560.09   	
280.358   	2000      	70        	60485.9   	2561.3    	
290.358   	2000      	70        	60960.2   	2560.94   	
300       	2000      	70        	61471.2   	2559.17   	
