Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.01      	2000      	70        	-2343.21  	0         	
0.0206051 	2000      	70        	-2327.39  	0         	
0.0433136 	2000      	70        	-2289.94  	0         	
0.094595  	2000      	70        	-1891.54  	0         	
0.175683  	2000      	70        	-2112.66  	0         	
0.279318  	2000      	70        	-3072.35  	0         	
0.416342  	2000      	70        	-3692.14  	0         	
0.57312   	2000      	70        	-4152.45  	0         	
0.789313  	2000      	70        	-4528.1   	0         	
1.03741   	2000      	70        	-5040     	0         	
1.34699   	2000      	70        	-4998.56  	0         	
1.75288   	2000      	70        	-4976.77  	0         	
2.25736   	2000      	70        	-4905.07  	0         	
2.89346   	2000      	70        	-4803.75  	0         	
3.65211   	2000      	70        	-4705.84  	0         	
4.67159   	2000      	70        	-4630.71  	0         	
5.83906   	2000      	70        	-4682.09  	0         	
7.20475   	2000      	70        	-4618.31  	0         	
8.72644   	2000      	70        	-4668.6   	0         	
10.3219   	2000      	70        	-4653.54  	0         	
12.1447   	2000      	70        	-4668.14  	0         	
13.9893   	2000      	70        	-4664.25  	0         	
15.873    	2000      	70        	-4601.72  	0         	
17.775    	2000      	70        	-4685.37  	0         	
19.8937   	2000      	70        	-4644.3   	0         	
22.0598   	2000      	70        	-4656.9   	0         	
24.1889   	2000      	70        	-4638.65  	0         	
26.2745   	2000      	70        	-4648.57  	0         	
28.2378   	2000      	70        	-4657.2   	0         	
30.5278   	2000      	70        	-4659.31  	0         	
32.7976   	2000      	70        	-4652.65  	0         	
35.0028   	2000      	70        	-4648.28  	0         	
37.0534   	2000      	70        	-4666.82  	0         	
39.0477   	2000      	70        	-4764.12  	0         	
40.7025   	2000      	70        	-4799.92  	0         	
42.5379   	2000      	70        	-4854.81  	0         	
44.5312   	2000      	70        	-5015.89  	0         	
47.4103   	2000      	70        	-5306.58  	0         	
50.8151   	2000      	70        	-5625.63  	0         	
54.1568   	2000      	70        	-5891.13  	0         	
58.0112   	2000      	70        	-6210.42  	0         	
61.7885   	2000      	70        	-6482.77  	0         	
66.0301   	2000      	70        	-6829.48  	0         	
71.0301   	2000      	70        	-7209.92  	0         	
76.0301   	2000      	70        	-7558.21  	0         	
81.0301   	2000      	70        	-7870.32  	0         	
86.0301   	2000      	70        	-8157.09  	0         	
91.0301   	2000      	70        	-8426.17  	0         	
96.0301   	2000      	70        	-8669.44  	0         	
101.03    	2000      	70        	-8903.94  	0         	
106.03    	2000      	70        	-9148.01  	0         	
111.03    	2000      	70        	-9379.86  	0         	
116.03    	2000      	70        	-9597.86  	0         	
121.03    	2000      	70        	-9796.73  	0         	
126.03    	2000      	70        	-9976.16  	0         	
131.03    	2000      	70        	-10140.8  	0         	
136.03    	2000      	70        	-10310.2  	0         	
141.03    	2000      	70        	-10492.8  	0         	
146.03    	2000      	70        	-10675.2  	0         	
151.03    	2000      	70        	-10851.5  	0         	
156.03    	2000      	70        	-11029.8  	0         	
161.03    	2000      	70        	-11207.2  	0         	
166.03    	2000      	70        	-11377.8  	0         	
171.03    	2000      	70        	-11556.7  	0         	
176.03    	2000      	70        	-11741    	0         	
181.03    	2000      	70        	-11929.8  	0         	
186.03    	2000      	70        	-12109.7  	0         	
191.03    	2000      	70        	-12279.1  	0         	
196.03    	2000      	70        	-12436.5  	0         	
200       	2000      	70        	-12553.1  	0         	
