Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.01      	500       	70        	1073.56   	4991.44   	
0.0206051 	500       	70        	1023.44   	4758.42   	
0.0433136 	500       	70        	986.251   	4585.49   	
0.094595  	500       	70        	954.205   	4436.5    	
0.175683  	500       	70        	931.153   	4329.32   	
0.279318  	500       	70        	914.522   	4251.99   	
0.416342  	500       	70        	908.317   	4223.14   	
0.57312   	500       	70        	914.877   	4253.64   	
0.789313  	500       	70        	934.405   	4344.44   	
1.03741   	500       	70        	959.247   	4459.94   	
1.34699   	500       	70        	995.295   	4627.54   	
1.75288   	500       	70        	1031.15   	4794.25   	
2.25736   	500       	70        	1059.97   	4928.24   	
2.89346   	500       	70        	1085.36   	5046.27   	
3.65211   	500       	70        	1107.12   	5147.46   	
4.67159   	500       	70        	1123.82   	5225.09   	
5.83906   	500       	70        	1134.52   	5274.86   	
7.20475   	500       	70        	1149.6    	5344.98   	
8.72644   	500       	70        	1159.16   	5389.41   	
10.3219   	500       	70        	1169.89   	5439.3    	
12.1447   	500       	70        	1178.72   	5480.34   	
13.9893   	500       	70        	1187.29   	5520.2    	
15.873    	500       	70        	1196.94   	5565.07   	
17.775    	500       	70        	1200.45   	5581.38   	
19.8937   	500       	70        	1209.33   	5622.62   	
22.0598   	500       	70        	1215.05   	5649.14   	
24.1889   	500       	70        	1222.1    	5681.64   	
26.2745   	500       	70        	1227.49   	5705.97   	
28.2378   	500       	70        	1232.83   	5729.12   	
30.5278   	500       	70        	1240.24   	5757.48   	
32.7976   	500       	70        	1251.13   	5788.43   	
35.0028   	500       	70        	1273.37   	5820.83   	
37.0534   	500       	70        	1320.42   	5853.34   	
39.0477   	500       	70        	1479.7    	5865.65   	
40.7025   	500       	70        	1754.27   	5824.62   	
42.5379   	500       	70        	2276.22   	5416.6    	
44.5312   	500       	70        	2842.6    	5117.22   	
47.4103   	500       	70        	3364.52   	4846.14   	
50.8151   	500       	70        	3864.06   	4592.59   	
54.1568   	500       	70        	4225.36   	4404.89   	
58.0112   	500       	70        	4657.75   	4184.47   	
61.7885   	500       	70        	5035.99   	3993.44   	
66.0301   	500       	70        	5620.33   	3693.93   	
71.0301   	500       	70        	6160.51   	3434.33   	
76.0301   	500       	70        	6607.67   	3230.23   	
81.0301   	500       	70        	6975.95   	3061.93   	
86.0301   	500       	70        	7299.82   	2912.24   	
91.0301   	500       	70        	7612.43   	2768.34   	
96.0301   	500       	70        	7896.33   	2638.53   	
101.03    	500       	70        	8178.21   	2518.32   	
106.03    	500       	70        	8512.59   	2378.89   	
111.03    	500       	70        	8802.86   	2254.21   	
116.03    	500       	70        	9055.15   	2141.97   	
121.03    	500       	70        	9281.69   	2043.16   	
126.03    	500       	70        	9470.84   	1960.74   	
131.03    	500       	70        	9646.32   	1885.62   	
136.03    	500       	70        	9852.93   	1821.59   	
141.03    	500       	70        	10081.3   	1768.58   	
146.03    	500       	70        	10284.9   	1718.56   	
151.03    	500       	70        	10476.9   	1670.83   	
156.03    	500       	70        	10685.7   	1618.81   	
161.03    	500       	70        	10887.2   	1566.78   	
166.03    	500       	70        	11074.5   	1516.97   	
171.03    	500       	70        	11302.5   	1457.97   	
176.03    	500       	70        	11524     	1398.45   	
181.03    	500       	70        	11753.4   	1336.33   	
186.03    	500       	70        	11944.9   	1282.11   	
191.03    	500       	70        	12114.8   	1234.24   	
196.03    	500       	70        	12268.3   	1190.89   	
200       	500       	70        	12377.9   	1159.55   	
