Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.001     	5000      	160       	0         	0         	-635638   	
0.101     	5000      	160       	0         	0         	-533986   	
0.229559  	5000      	160       	0         	0         	-471900   	
0.446055  	5000      	160       	0         	0         	-412520   	
0.843037  	5000      	160       	0         	0         	-353727   	
1.61866   	5000      	160       	0         	0         	-293898   	
3.19669   	5000      	160       	0         	0         	-230437   	
5.98433   	5000      	160       	0         	0         	-189115   	
10.7283   	5000      	160       	0         	0         	-192530   	
19.1586   	5000      	160       	0         	0         	-221418   	
29.1586   	5000      	160       	0         	0         	-245988   	
39.1586   	5000      	160       	0         	0         	-255262   	
49.1586   	5000      	160       	0         	0         	-267772   	
59.1586   	5000      	160       	0         	0         	-276968   	
69.1586   	5000      	160       	0         	0         	-284337   	
79.1586   	5000      	160       	0         	0         	-288510   	
89.1586   	5000      	160       	0         	0         	-290408   	
99.1586   	5000      	160       	0         	0         	-292094   	
109.159   	5000      	160       	0         	0         	-292783   	
119.159   	5000      	160       	0         	0         	-292792   	
129.159   	5000      	160       	0         	0         	-292876   	
139.159   	5000      	160       	0         	0         	-293284   	
149.159   	5000      	160       	0         	0         	-293143   	
159.159   	5000      	160       	0         	0         	-292715   	
169.159   	5000      	160       	0         	0         	-292782   	
179.159   	5000      	160       	0         	0         	-293008   	
189.159   	5000      	160       	0         	0         	-292897   	
199.159   	5000      	160       	0         	0         	-292686   	
209.159   	5000      	160       	0         	0         	-292647   	
219.159   	5000      	160       	0         	0         	-292364   	
229.159   	5000      	160       	0         	0         	-292381   	
239.159   	5000      	160       	0         	0         	-292346   	
249.159   	5000      	160       	0         	0         	-292401   	
259.159   	5000      	160       	0         	0         	-292288   	
269.159   	5000      	160       	0         	0         	-292262   	
279.159   	5000      	160       	0         	0         	-292509   	
289.159   	5000      	160       	0         	0         	-292676   	
299.159   	5000      	160       	0         	0         	-292756   	
309.159   	5000      	160       	0         	0         	-293134   	
319.159   	5000      	160       	0         	0         	-293408   	
329.159   	5000      	160       	0         	0         	-293561   	
339.159   	5000      	160       	0         	0         	-293532   	
349.159   	5000      	160       	0         	0         	-293504   	
359.159   	5000      	160       	0         	0         	-293640   	
369.159   	5000      	160       	0         	0         	-293822   	
379.159   	5000      	160       	0         	0         	-293978   	
389.159   	5000      	160       	0         	0         	-294113   	
399.159   	5000      	160       	0         	0         	-294180   	
409.159   	5000      	160       	0         	0         	-294192   	
419.159   	5000      	160       	0         	0         	-294340   	
429.159   	5000      	160       	0         	0         	-294536   	
439.159   	5000      	160       	0         	0         	-294644   	
449.159   	5000      	160       	0         	0         	-294704   	
459.159   	5000      	160       	0         	0         	-294823   	
469.159   	5000      	160       	0         	0         	-294947   	
479.159   	5000      	160       	0         	0         	-295088   	
489.159   	5000      	160       	0         	0         	-295128   	
499.159   	5000      	160       	0         	0         	-295111   	
509.159   	5000      	160       	0         	0         	-295233   	
519.159   	5000      	160       	0         	0         	-295393   	
529.159   	5000      	160       	0         	0         	-295570   	
539.159   	5000      	160       	0         	0         	-295723   	
549.159   	5000      	160       	0         	0         	-295834   	
559.159   	5000      	160       	0         	0         	-295926   	
