Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.001     	3000      	60        	16639.8   	30043.7   	0.00526453	
0.101     	3000      	60        	14721.7   	26580.5   	0.149383  	
0.229559  	3000      	60        	13505.5   	24384.6   	0.219417  	
0.446055  	3000      	60        	12500.4   	22569.8   	0.265126  	
0.843037  	3000      	60        	11651.6   	21037.2   	0.295322  	
1.61866   	3000      	60        	10951.8   	19773.8   	0.314525  	
3.19669   	3000      	60        	10419     	18811.8   	0.325745  	
5.98433   	3000      	60        	9977.46   	18014.6   	0.332857  	
10.7283   	3000      	60        	9452.59   	17066.9   	0.338786  	
19.1586   	3000      	60.0001   	8837.43   	15956.2   	0.34232   	
29.1586   	3000      	60.0002   	8406.37   	15177.9   	0.342685  	
39.1586   	3000      	60.0004   	8132.43   	14683.3   	0.342078  	
49.1586   	3000      	60.0005   	7987.35   	14421.4   	0.341598  	
59.1586   	3000      	60.0007   	7933.43   	14324     	0.341552  	
69.1586   	3000      	60.0009   	7933.6    	14324.3   	0.341848  	
79.1586   	3000      	60.001    	7962.65   	14376.8   	0.342329  	
89.1586   	3000      	60.0012   	7995.39   	14435.9   	0.342824  	
99.1586   	3000      	60.0013   	8027.02   	14493     	0.343301  	
109.159   	3000      	60.0015   	8056.22   	14545.7   	0.343753  	
119.159   	3000      	60.0017   	8082.31   	14592.8   	0.34418   	
129.159   	3000      	60.0018   	8104.58   	14633.1   	0.344579  	
139.159   	3000      	60.002    	8130.73   	14680.3   	0.344991  	
149.159   	3000      	60.0021   	8151.21   	14717.2   	0.345369  	
159.159   	3000      	60.0022   	8161.3    	14735.4   	0.345694  	
169.159   	3000      	60.0024   	8165.61   	14743.2   	0.345991  	
179.159   	3000      	60.0025   	8165.84   	14743.6   	0.346268  	
189.159   	3000      	60.0027   	8159.79   	14732.7   	0.346516  	
199.159   	3000      	60.0028   	8150.85   	14716.6   	0.346749  	
209.159   	3000      	60.003    	8142.56   	14701.6   	0.346985  	
219.159   	3000      	60.0031   	8139.73   	14696.5   	0.347248  	
229.159   	3000      	60.0033   	8143.63   	14703.6   	0.347544  	
239.159   	3000      	60.0034   	8146.69   	14709.1   	0.347835  	
249.159   	3000      	60.0035   	8153.15   	14720.8   	0.348143  	
259.159   	3000      	60.0037   	8155.68   	14725.3   	0.348429  	
269.159   	3000      	60.0038   	8151.33   	14717.5   	0.348679  	
279.159   	3000      	60.0039   	8147.06   	14709.7   	0.348928  	
289.159   	3000      	60.0041   	8142.43   	14701.4   	0.349175  	
299.159   	3000      	60.0042   	8135.28   	14688.5   	0.349407  	
309.159   	3000      	60.0043   	8129.79   	14678.6   	0.349648  	
319.159   	3000      	60.0045   	8127.59   	14674.6   	0.349905  	
329.159   	3000      	60.0046   	8129.15   	14677.4   	0.350181  	
339.159   	3000      	60.0047   	8133.27   	14684.9   	0.350471  	
349.159   	3000      	60.0048   	8137.1    	14691.8   	0.350757  	
359.159   	3000      	60.005    	8142.26   	14701.1   	0.351048  	
369.159   	3000      	60.0051   	8146.48   	14708.7   	0.351332  	
379.159   	3000      	60.0052   	8147.69   	14710.9   	0.351597  	
389.159   	3000      	60.0053   	8147.54   	14710.6   	0.351854  	
399.159   	3000      	60.0054   	8145.19   	14706.4   	0.352096  	
409.159   	3000      	60.0055   	8141.61   	14699.9   	0.35233   	
419.159   	3000      	60.0056   	8139.62   	14696.3   	0.352571  	
429.159   	3000      	60.0057   	8138.15   	14693.7   	0.352814  	
439.159   	3000      	60.0058   	8137.21   	14692     	0.353057  	
449.159   	3000      	60.0059   	8141.82   	14700.3   	0.353331  	
459.159   	3000      	60.006    	8147.5    	14710.5   	0.353609  	
469.159   	3000      	60.0061   	8153.09   	14720.6   	0.353883  	
479.159   	3000      	60.0062   	8156.4    	14726.6   	0.354141  	
489.159   	3000      	60.0063   	8161.07   	14735     	0.354405  	
499.159   	3000      	60.0064   	8165.54   	14743.1   	0.354665  	
509.159   	3000      	60.0065   	8169.24   	14749.8   	0.354918  	
519.159   	3000      	60.0065   	8169.59   	14750.4   	0.355149  	
529.159   	3000      	60.0066   	8169.28   	14749.9   	0.355374  	
539.159   	3000      	60.0067   	8168.16   	14747.8   	0.355592  	
549.159   	3000      	60.0068   	8165.98   	14743.9   	0.355801  	
559.159   	3000      	60.0068   	8163.11   	14738.7   	0.356005  	
569.159   	3000      	60.0069   	8161.77   	14736.3   	0.356215  	
579.159   	3000      	60.0069   	8161.11   	14735.1   	0.356426  	
589.159   	3000      	60.007    	8162.5    	14737.6   	0.356648  	
599.159   	3000      	60.0071   	8163.95   	14740.2   	0.356867  	
609.159   	3000      	60.0071   	8168.69   	14748.8   	0.357103  	
619.159   	3000      	60.0072   	8172.81   	14756.2   	0.357333  	
629.159   	3000      	60.0072   	8178.4    	14766.3   	0.357567  	
639.159   	3000      	60.0073   	8183.22   	14775     	0.357794  	
649.159   	3000      	60.0073   	8187.27   	14782.3   	0.358013  	
659.159   	3000      	60.0073   	8188.86   	14785.2   	0.358215  	
669.159   	3000      	60.0074   	8188.6    	14784.7   	0.358402  	
679.159   	3000      	60.0074   	8187.4    	14782.6   	0.358581  	
689.159   	3000      	60.0074   	8184.19   	14776.8   	0.358746  	
699.159   	3000      	60.0075   	8180.94   	14770.9   	0.358908  	
709.159   	3000      	60.0075   	8178.96   	14767.3   	0.359075  	
719.159   	3000      	60.0075   	8178.18   	14765.9   	0.359246  	
729.159   	3000      	60.0075   	8177.11   	14764     	0.359413  	
730       	3000      	60.0075   	8176.9    	14763.6   	0.359427  	
731       	3000      	60.0075   	8173.64   	14757.7   	0.359423  	
732       	3000      	60.0075   	8164.5    	14741.2   	0.359383  	
733       	3000      	60.0075   	8149.05   	14713.3   	0.3593    	
734       	3000      	60.0075   	8130.35   	14679.6   	0.359193  	
735       	3000      	60.0075   	8114.76   	14651.4   	0.359105  	
736       	3000      	60.0075   	8109.75   	14642.4   	0.359088  	
737       	3000      	60.0075   	8121.48   	14663.6   	0.359187  	
738       	3000      	60.0075   	8153.51   	14721.4   	0.359418  	
739       	3000      	60.0075   	8206.99   	14817.9   	0.359771  	
740       	3000      	60.0075   	8281.87   	14953.2   	0.36021   	
741       	3000      	60.0075   	8377.47   	15125.8   	0.360685  	
742       	3000      	60.0075   	8492      	15332.5   	0.361133  	
743       	3000      	60.0075   	8620.05   	15563.7   	0.361478  	
743.448   	3000      	60.0075   	8679.58   	15671.2   	0.361582  	
744.448   	3000      	60.0075   	8818.77   	15922.5   	0.361689  	
745.448   	3000      	60.0075   	8962.11   	16181.3   	0.361595  	
746.448   	3000      	60.0075   	9108.18   	16445.1   	0.361288  	
747.448   	3000      	60.0075   	9255.98   	16711.9   	0.360759  	
