Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	3000      	160       	21927.6   	39590.9   	0.018797  	
0.11      	3000      	160       	19615.2   	35415.7   	0.0817145 	
0.252976  	3000      	160       	17976.7   	32457.5   	0.115844  	
0.494007  	3000      	160       	16651.7   	30065.1   	0.137329  	
0.937882  	3000      	160       	15546.2   	28069.2   	0.151186  	
1.81271   	3000      	160       	14632.4   	26419.2   	0.159912  	
3.48083   	3000      	160       	13894.4   	25086.8   	0.165191  	
6.37154   	3000      	160       	13108.4   	23667.7   	0.169113  	
10.8172   	3000      	160       	12038.3   	21735.5   	0.171685  	
17.1062   	3000      	160       	10704.7   	19327.7   	0.170519  	
26.3511   	3000      	160       	9135.52   	16494.4   	0.163109  	
36.3511   	3000      	160       	7861.83   	14194.8   	0.152437  	
46.3511   	3000      	160       	6926.03   	12505.2   	0.142013  	
56.3511   	3000      	160       	6236.01   	11259.3   	0.132961  	
66.3511   	3000      	160       	5715.68   	10319.8   	0.125386  	
76.3511   	3000      	160       	5312.89   	9592.57   	0.11909   	
86.3511   	3000      	160       	4999.8    	9027.28   	0.113943  	
96.3511   	3000      	160       	4751.75   	8579.41   	0.109713  	
106.351   	3000      	160       	4563.28   	8239.13   	0.106419  	
116.351   	3000      	160       	4419.81   	7980.08   	0.103873  	
126.351   	3000      	160       	4308.77   	7779.61   	0.101885  	
136.351   	3000      	160       	4221.52   	7622.08   	0.100319  	
146.351   	3000      	160       	4151.62   	7495.86   	0.0990653 	
156.351   	3000      	160       	4093.66   	7391.21   	0.0980298 	
166.351   	3000      	160       	4044.01   	7301.58   	0.097147  	
176.351   	3000      	160       	4002.89   	7227.33   	0.096424  	
186.351   	3000      	160       	3965.68   	7160.15   	0.0957731 	
196.351   	3000      	160       	3929.97   	7095.67   	0.0951473 	
206.351   	3000      	160       	3898.29   	7038.47   	0.0945977 	
216.351   	3000      	160       	3868.2    	6984.15   	0.0940767 	
226.351   	3000      	160       	3838.6    	6930.7    	0.0935623 	
236.351   	3000      	160       	3812.49   	6883.57   	0.0931153 	
246.351   	3000      	160       	3792.03   	6846.62   	0.0927802 	
256.351   	3000      	160       	3775.22   	6816.27   	0.0925177 	
266.351   	3000      	160       	3760.73   	6790.11   	0.0923012 	
276.351   	3000      	160       	3747.97   	6767.06   	0.0921189 	
286.351   	3000      	160       	3736.36   	6746.1    	0.0919594 	
296.351   	3000      	160       	3725.34   	6726.2    	0.0918114 	
306.351   	3000      	160       	3714.65   	6706.91   	0.0916695 	
316.351   	3000      	160       	3704.62   	6688.79   	0.0915405 	
326.351   	3000      	160       	3694.93   	6671.3    	0.0914179 	
336.351   	3000      	160       	3686.12   	6655.39   	0.091313  	
346.351   	3000      	160       	3677.89   	6640.54   	0.0912199 	
356.351   	3000      	160       	3670.42   	6627.06   	0.0911419 	
366.351   	3000      	160       	3663.15   	6613.93   	0.0910677 	
376.351   	3000      	160       	3655.35   	6599.84   	0.090982  	
386.351   	3000      	160       	3646.95   	6584.66   	0.0908833 	
396.351   	3000      	160       	3639.96   	6572.05   	0.0908139 	
406.351   	3000      	160       	3633.34   	6560.09   	0.0907517 	
416.351   	3000      	160       	3627.63   	6549.8    	0.0907085 	
426.351   	3000      	160       	3621.85   	6539.35   	0.0906634 	
436.351   	3000      	160       	3615.66   	6528.17   	0.0906093 	
446.351   	3000      	160       	3609.23   	6516.57   	0.09055   	
456.351   	3000      	160       	3602.34   	6504.12   	0.0904805 	
466.351   	3000      	160       	3596.53   	6493.63   	0.0904336 	
476.351   	3000      	160       	3592.18   	6485.79   	0.0904174 	
486.351   	3000      	160       	3588.18   	6478.56   	0.0904083 	
496.351   	3000      	160       	3584.12   	6471.23   	0.0903978 	
506.351   	3000      	160       	3580.28   	6464.3    	0.0903919 	
516.351   	3000      	160       	3576.25   	6457.02   	0.0903817 	
526.351   	3000      	160       	3571.93   	6449.22   	0.090365  	
536.351   	3000      	160       	3567.83   	6441.81   	0.090353  	
546.351   	3000      	160       	3563.48   	6433.96   	0.0903353 	
556.351   	3000      	160       	3558.68   	6425.29   	0.0903079 	
