COMPOSITIONS
Results of phase equilibria of two-component system at temperature = 563.4

P(psia)  X[0]   Y[0]

     100  0.002424386   0.9895482  
     200  0.004784367   0.9942137  
     300  0.007047079   0.9957072  
     400  0.009202825   0.9963957  
     500  0.01124147   0.9967491  
     600  0.01315242   0.9969191  
     700  0.01492454   0.9969635  
     800  0.01654593   0.9969003  
     900  0.01800339   0.9967191  
    1000  0.01928105   0.9963708  
    1100  0.02035679   0.9956997  
    1200  0.02118809   0.9939329  
    1300  0.02167439   0.9868676  
    1400  0.02198014   0.9823919  
    1500  0.02223885   0.9793278  
    1600   0.0224721   0.9768405  
    1700  0.02268811    0.974686  
    1800  0.02289115   0.9727554  
    1900   0.0230839    0.970989  
    2000  0.02326813   0.9693501  
    2100  0.02344514    0.967814  
    2200  0.02361588   0.9663633  
    2300  0.02378113   0.9649853  
    2400  0.02394147     0.96367  
    2500   0.0240974   0.9624098  
    2600  0.02424932   0.9611985  
    2700  0.02439757    0.960031  
    2800  0.02454244   0.9589031  
    2900  0.02468419   0.9578114  
    3000  0.02482302   0.9567527  
    3100  0.02495914   0.9557245  
    3200  0.02509271   0.9547246  
    3300  0.02522389   0.9537509  
    3400   0.0253528   0.9528018  
    3500  0.02547958   0.9518756  
    3600  0.02560432    0.950971  
    3700  0.02572713   0.9500868  
    3800   0.0258481   0.9492219  
    3900  0.02596732   0.9483751  
    4000  0.02608483   0.9475458  
    4100  0.02620076   0.9467328  
    4200  0.02631514   0.9459356  
    4300  0.02642803   0.9451534  
    4400   0.0265395   0.9443855  
    4500  0.02664959   0.9436313  
    4600  0.02675835   0.9428904  
    4700  0.02686584    0.942162  
    4800  0.02697208   0.9414459  
    4900  0.02707712   0.9407414  
    5000    0.027181   0.9400483  
    5100  0.02728376    0.939366  
    5200  0.02738542   0.9386943  
    5300  0.02748602   0.9380327  
    5400  0.02758559    0.937381  
    5500  0.02768416   0.9367388  
    5600  0.02778176   0.9361058  
    5700   0.0278784   0.9354817  
    5800  0.02797412   0.9348664  
    5900  0.02806893   0.9342594  
    6000  0.02816286   0.9336607  
    6100  0.02825594   0.9330699  
    6200  0.02834815   0.9324869  
    6300  0.02843956   0.9319114  
    6400  0.02853017   0.9313432  
    6500     0.02862   0.9307822  
    6600  0.02870906   0.9302282  
    6700  0.02879737   0.9296809  
    6800  0.02888494   0.9291403  
    6900   0.0289718   0.9286062  
    7000  0.02905795   0.9280784  
    7100  0.02914341   0.9275567  
    7200  0.02922818   0.9270411  
    7300   0.0293123   0.9265314  
    7400  0.02939576   0.9260275  
    7500  0.02947857   0.9255292  
    7600  0.02956076   0.9250365  
    7700  0.02964233   0.9245491  
    7800  0.02972329   0.9240671  
    7900  0.02980366   0.9235902  
    8000  0.02988344   0.9231184  
    8100  0.02996264   0.9226516  
    8200  0.03004127   0.9221897  
    8300  0.03011934   0.9217326  
    8400  0.03019686   0.9212801  
    8500  0.03027384   0.9208323  
    8600  0.03035029    0.920389  
    8700  0.03042622   0.9199502  
    8800  0.03050162   0.9195157  
    8900  0.03057649   0.9190856  
    9000  0.03065089   0.9186596  
