Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.01      	400       	103.4     	0         	7864.54   	
0.11      	400       	103.4     	0         	6682.48   	
0.21      	400       	103.4     	0         	6183      	
0.31      	400       	103.4     	0         	5881.46   	
0.41      	400       	103.4     	0         	5689.36   	
0.523859  	400       	103.4     	0         	5568.33   	
0.666326  	400       	103.4     	0         	5522.06   	
0.851823  	400       	103.4     	0         	5573.69   	
1.08232   	400       	103.4     	0         	5739.22   	
1.32481   	400       	103.4     	0         	5983.76   	
1.55287   	400       	103.4     	0         	6255.69   	
1.79555   	400       	103.4     	0         	6572.69   	
2.07808   	400       	103.4     	0         	6955.55   	
2.39586   	400       	103.4     	0         	7383.34   	
2.74192   	400       	103.4     	0         	7823.21   	
3.17232   	400       	103.4     	0         	8311.24   	
3.69419   	400       	103.4     	0         	8811.02   	
4.33367   	400       	103.4     	0         	9293.38   	
5.15122   	400       	103.4     	0         	9751.35   	
6.22225   	400       	103.4     	0         	10170.3   	
7.68263   	400       	103.4     	0         	10560.8   	
9.62611   	400       	103.4     	0         	10920.9   	
12.1398   	400       	103.4     	0         	11211.7   	
15.8047   	400       	103.4     	0         	11485.2   	
20.33     	400       	103.4     	0         	11765.6   	
25.33     	400       	103.4     	0         	12008.8   	
30.33     	400       	103.4     	0         	12296.4   	
35.33     	400       	103.4     	0         	12495.8   	
40.33     	400       	103.4     	0         	12730.6   	
45.33     	400       	103.4     	0         	12963.6   	
50.33     	400       	103.4     	0         	13167.9   	
55.33     	400       	103.4     	0         	13368.2   	
60.33     	400       	103.4     	0         	13579.5   	
65.33     	400       	103.4     	0         	13789.2   	
70.33     	400       	103.4     	0         	13998.3   	
75.33     	400       	103.4     	0         	14244.8   	
80.33     	400       	103.4     	0         	14467.1   	
85.33     	400       	103.4     	9.85986   	14692.9   	
90.33     	400       	103.4     	59.5805   	14914.6   	
95.33     	400       	103.4     	152.965   	15137.1   	
100.33    	400       	103.4     	322.258   	15329.4   	
105.33    	400       	103.4     	613.535   	15502.2   	
110.33    	400       	103.4     	1139.22   	15648.5   	
115.33    	400       	103.4     	2206.99   	15721.7   	
120.33    	400       	103.4     	4856.26   	15503     	
125.33    	400       	103.4     	14938.1   	14057.2   	
130.33    	400       	103.4     	25999.7   	12716     	
135.33    	400       	103.4     	31530.8   	12049.7   	
140.33    	400       	103.4     	36072.7   	11579     	
145.33    	400       	103.4     	40493.1   	11184.9   	
150       	400       	103.4     	44320.7   	10850.7   	
