KVALUES
Results of phase equilibrium constant Ki at temperature = 563.4

P(psia)  K[1]	K[2]	
     100    408.1645  0.01047721  
     200    207.8046  0.005814105  
     300    141.2936  0.004323312  
     400    108.2706  0.003637763  
     500    88.66717  0.003287843  
     600    75.79736  0.00312201  
     700    66.80028  0.003082511  
     800    60.25048  0.003151886  
     900    55.36286  0.003341005  
    1000    51.67617  0.003700581  
    1100     48.9124  0.004389643  
    1200    46.90998  0.006198474  
    1300    45.53152  0.01342331  
    1400    44.69452  0.01800382  
    1500    44.03681  0.02114235  
    1600    43.46903  0.02369194  
    1700    42.96021  0.02590167  
    1800    42.49482  0.02788286  
    1900    42.06348  0.02969646  
    2000    41.65999  0.03138006  
    2100    41.27994  0.03295874  
    2200    40.92007  0.03445023  
    2300    40.57778   0.0358677  
    2400    40.25108  0.03722114  
    2500    39.93832  0.03851842  
    2600    39.63816  0.03976584  
    2700    39.34945  0.04096856  
    2800    39.07122  0.04213087  
    2900    38.80263  0.04325638  
    3000    38.54296  0.04434815  
    3100    38.29156  0.04540884  
    3200    38.04788  0.04644074  
    3300    37.81141  0.04744587  
    3400    37.58171  0.04842598  
    3500    37.35838  0.04938267  
    3600    37.14104  0.05031733  
    3700    36.92937  0.05123122  
    3800    36.72307  0.05212549  
    3900    36.52187  0.05300116  
    4000    36.32555  0.05385913  
    4100     36.1338  0.05470035  
    4200    35.94645  0.05552554  
    4300    35.76329  0.05633545  
    4400    35.58415  0.05713072  
    4500    35.40885  0.05791199  
    4600    35.23723  0.05867981  
    4700    35.06915  0.05943472  
    4800    34.90446  0.06017722  
    4900    34.74304  0.06090776  
    5000    34.58475  0.06162678  
    5100    34.42949  0.06233469  
    5200    34.27715  0.06303186  
    5300    34.12763  0.06371865  
    5400    33.98081  0.06439541  
    5500    33.83663  0.06506244  
    5600    33.69498  0.06572005  
    5700    33.55579  0.06636852  
    5800    33.41898  0.06700814  
    5900    33.28447  0.06763914  
    6000    33.15219  0.06826177  
    6100    33.02208  0.06887628  
    6200    32.89411  0.06948281  
    6300    32.76814   0.0700817  
    6400    32.64415  0.07067308  
    6500    32.52209  0.07125716  
    6600     32.4019  0.07183411  
    6700    32.28354  0.07240411  
    6800    32.16694  0.07296733  
    6900    32.05207  0.07352393  
    7000    31.93888  0.07407406  
    7100    31.82733  0.07461788  
    7200    31.71737  0.07515552  
    7300    31.60897  0.07568712  
    7400    31.50208  0.07621282  
    7500    31.39668  0.07673275  
    7600    31.29271  0.07724702  
    7700    31.19016  0.07775575  
    7800    31.08899  0.07825906  
    7900    30.98916  0.07875706  
    8000    30.89064  0.07924985  
    8100    30.79341  0.07973754  
    8200    30.69743  0.08022023  
    8300    30.60268  0.08069801  
    8400    30.50913  0.08117097  
    8500    30.41676  0.08163921  
    8600    30.32554  0.08210281  
    8700    30.23544  0.08256186  
    8800    30.14645  0.08301644  
    8900    30.05857  0.08346655  
    9000    29.97171  0.08391242  
