Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.01      	6000      	103.4     	-61183.5  	0         	
0.11      	6000      	103.4     	-54300.4  	0         	
0.21      	6000      	103.4     	-48925.4  	0         	
0.31      	6000      	103.4     	-45188.3  	0         	
0.41      	6000      	103.4     	-43112.6  	0         	
0.523859  	6000      	103.4     	-41430.4  	0         	
0.666326  	6000      	103.4     	-39883.2  	0         	
0.851823  	6000      	103.4     	-41424.4  	0         	
1.08232   	6000      	103.4     	-46777    	0         	
1.32481   	6000      	103.4     	-48739.8  	0         	
1.55287   	6000      	103.4     	-49465.4  	0         	
1.79555   	6000      	103.4     	-49444.5  	0         	
2.07808   	6000      	103.4     	-48802.2  	0         	
2.39586   	6000      	103.4     	-47500.2  	0         	
2.74192   	6000      	103.4     	-46929.4  	0         	
3.17232   	6000      	103.4     	-45260.5  	0         	
3.69419   	6000      	103.4     	-43252.6  	0         	
4.33367   	6000      	103.4     	-41626.1  	0         	
5.15122   	6000      	103.4     	-39697.6  	0         	
6.22225   	6000      	103.4     	-39798.2  	0         	
7.68263   	6000      	103.4     	-39327    	0         	
9.62611   	6000      	103.4     	-38579.9  	0         	
12.1398   	6000      	103.4     	-38666.7  	0         	
15.8047   	6000      	103.4     	-38946.1  	0         	
20.33     	6000      	103.4     	-39420.5  	0         	
25.33     	6000      	103.4     	-39985.3  	0         	
30.33     	6000      	103.4     	-40924.6  	0         	
35.33     	6000      	103.4     	-40751.5  	0         	
40.33     	6000      	103.4     	-41532    	0         	
45.33     	6000      	103.4     	-41878.7  	0         	
50.33     	6000      	103.4     	-42560.5  	0         	
55.33     	6000      	103.4     	-43284.1  	0         	
60.33     	6000      	103.4     	-43765.3  	0         	
65.33     	6000      	103.4     	-44305    	0         	
70.33     	6000      	103.4     	-44680.8  	0         	
75.33     	6000      	103.4     	-44999.7  	0         	
80.33     	6000      	103.4     	-45727    	0         	
85.33     	6000      	103.4     	-46553.9  	0         	
90.33     	6000      	103.4     	-47232.5  	0         	
95.33     	6000      	103.4     	-47823.1  	0         	
100.33    	6000      	103.4     	-48365.7  	0         	
105.33    	6000      	103.4     	-48943.2  	0         	
110.33    	6000      	103.4     	-49295.9  	0         	
115.33    	6000      	103.4     	-50247.5  	0         	
120.33    	6000      	103.4     	-51492.8  	0         	
125.33    	6000      	103.4     	-54807.9  	0         	
130.33    	6000      	103.4     	-60111.7  	0         	
135.33    	6000      	103.4     	-64821.7  	0         	
140.33    	6000      	103.4     	-68743.4  	0         	
145.33    	6000      	103.4     	-72030.2  	0         	
150       	6000      	103.4     	-74702.4  	0         	
