Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
1         	300       	70        	847.296   	321.18    	
3.3356    	300       	70        	1007.85   	247.921   	
7.62722   	300       	70        	1200.31   	157.482   	
14.6388   	300       	70        	1502.45   	69.1171   	
25.3447   	300       	70        	1751.2    	0         	
42.2051   	300       	70        	1864.15   	0         	
67.0188   	300       	70        	1919.59   	0         	
97.0188   	300       	70        	1924.2    	0         	
127.019   	300       	70        	1932.9    	0         	
157.019   	300       	70        	1896.31   	0         	
187.019   	300       	70        	1840.69   	0         	
217.019   	300       	70        	1772.86   	0         	
247.019   	300       	70        	1697.54   	0         	
277.019   	300       	70        	1616.26   	0         	
307.019   	300       	70        	1462.94   	0         	
337.019   	300       	70        	1279.4    	0         	
367.019   	300       	70        	1168.15   	0         	
397.019   	300       	70        	1070.89   	0         	
427.019   	300       	70        	996.054   	0         	
457.019   	300       	70        	940.87    	0         	
487.019   	300       	70        	892.8     	0         	
517.019   	300       	70        	846.672   	3.93806   	
547.019   	300       	70        	805.247   	7.5336    	
577.019   	300       	70        	768.079   	10.4737   	
607.019   	300       	70        	734.505   	12.882    	
637.019   	300       	70        	704.005   	14.8502   	
667.019   	300       	70        	676.162   	16.4494   	
697.019   	300       	70        	650.631   	17.7362   	
727.019   	300       	70        	627.126   	18.7572   	
757.019   	300       	70        	605.404   	19.5511   	
787.019   	300       	70        	585.254   	20.1507   	
817.019   	300       	70        	566.497   	20.5837   	
847.019   	300       	70        	548.978   	20.8744   	
877.019   	300       	70        	532.56    	21.0435   	
907.019   	300       	70        	517.125   	21.1094   	
937.019   	300       	70        	502.569   	21.0877   	
967.019   	300       	70        	488.8     	20.9926   	
997.019   	300       	70        	475.737   	20.8363   	
1000      	300       	70        	474.451   	20.8197   	
