Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
1         	600       	70        	-435.28   	0         	
3.32733   	600       	70        	-528.334  	0         	
7.57143   	600       	70        	-645.686  	0         	
14.4421   	600       	70        	-836.444  	0         	
24.9048   	600       	70        	-992.07   	0         	
41.2145   	600       	70        	-1102.62  	0         	
64.7503   	600       	70        	-1192.33  	0         	
94.7503   	600       	70        	-1296.54  	0         	
124.75    	600       	70        	-1403.31  	0         	
154.75    	600       	70        	-1486.26  	0         	
184.75    	600       	70        	-1554.76  	0         	
214.75    	600       	70        	-1610.64  	0         	
244.75    	600       	70        	-1656.06  	0         	
274.75    	600       	70        	-1685.45  	0         	
304.75    	600       	70        	-1705.38  	0         	
334.75    	600       	70        	-1715.12  	0         	
364.75    	600       	70        	-1712.47  	0         	
394.75    	600       	70        	-1698.81  	0         	
424.75    	600       	70        	-1678.27  	0         	
454.75    	600       	70        	-1653.49  	0         	
484.75    	600       	70        	-1625.69  	0         	
514.75    	600       	70        	-1595.88  	0         	
544.75    	600       	70        	-1568.49  	0         	
574.75    	600       	70        	-1538.58  	0         	
604.75    	600       	70        	-1509.48  	0         	
634.75    	600       	70        	-1481.36  	0         	
664.75    	600       	70        	-1454.51  	0         	
694.75    	600       	70        	-1428.73  	0         	
724.75    	600       	70        	-1404.51  	0         	
754.75    	600       	70        	-1382.15  	0         	
784.75    	600       	70        	-1361.74  	0         	
814.75    	600       	70        	-1343.15  	0         	
844.75    	600       	70        	-1326.31  	0         	
874.75    	600       	70        	-1311.13  	0         	
904.75    	600       	70        	-1297.96  	0         	
934.75    	600       	70        	-1286.59  	0         	
964.75    	600       	70        	-1276.63  	0         	
994.75    	600       	70        	-1267.95  	0         	
1000      	600       	70        	-1266.47  	0         	
