Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
1         	300       	70        	847.296   	321.18    	
3.32733   	300       	70        	1007.4    	248.139   	
7.57143   	300       	70        	1198.6    	158.361   	
14.4421   	300       	70        	1495.74   	70.8081   	
24.9048   	300       	70        	1747.15   	1.61038   	
41.2145   	300       	70        	1867.38   	0         	
64.7503   	300       	70        	1952.39   	0         	
94.7503   	300       	70        	2005.82   	0         	
124.75    	300       	70        	2084.94   	0         	
154.75    	300       	70        	2120.91   	0         	
184.75    	300       	70        	2138.49   	0         	
214.75    	300       	70        	2140.48   	0         	
244.75    	300       	70        	2126.32   	0         	
274.75    	300       	70        	1942.99   	0         	
304.75    	300       	70        	1759.56   	0         	
334.75    	300       	70        	1633.15   	0         	
364.75    	300       	70        	1549.78   	0         	
394.75    	300       	70        	1466.5    	19.7148   	
424.75    	300       	70        	1398.14   	38.9547   	
454.75    	300       	70        	1344.54   	55.3799   	
484.75    	300       	70        	1303.4    	69.3211   	
514.75    	300       	70        	1272.57   	81.0981   	
544.75    	300       	70        	1254.6    	90.0853   	
574.75    	300       	70        	1244.41   	97.2071   	
604.75    	300       	70        	1237.16   	103.401   	
634.75    	300       	70        	1231.01   	109.046   	
664.75    	300       	70        	1224.84   	114.402   	
694.75    	300       	70        	1217.92   	119.795   	
724.75    	300       	70        	1218.51   	125.178   	
754.75    	300       	70        	1220.54   	130.079   	
784.75    	300       	70        	1222.88   	134.32    	
814.75    	300       	70        	1225.6    	137.929   	
844.75    	300       	70        	1228.6    	140.977   	
874.75    	300       	70        	1231.79   	143.54    	
904.75    	300       	70        	1235.05   	145.684   	
934.75    	300       	70        	1238.26   	147.468   	
964.75    	300       	70        	1241.37   	148.945   	
994.75    	300       	70        	1244.33   	150.166   	
1000      	300       	70        	1244.84   	150.372   	
