Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	600       	70        	-221.38   	0         	0         	
3.58773   	600       	70        	-211.571  	0         	0         	
9.0859    	600       	70        	-208.956  	0         	0         	
17.6573   	600       	70        	-220.427  	0         	0         	
29.7155   	600       	70        	-250.318  	0         	0         	
43.8635   	600       	70        	-289.966  	0         	0         	
58.8635   	600       	70        	-329.715  	0         	0         	
73.8635   	600       	70        	-364.959  	0         	0         	
88.8635   	600       	70        	-391.533  	0         	0         	
103.863   	600       	70        	-412.469  	0         	0         	
118.863   	600       	70        	-426.494  	0         	0         	
133.863   	600       	70        	-422.764  	0         	0         	
148.863   	600       	70        	-411.794  	0         	0         	
163.863   	600       	70        	-398.791  	0         	0         	
178.863   	600       	70        	-388.177  	0         	0         	
193.863   	600       	70        	-381.169  	0         	0         	
208.863   	600       	70        	-377.201  	0         	0         	
223.863   	600       	70        	-375.023  	0         	0         	
238.863   	600       	70        	-374.257  	0         	0         	
253.863   	600       	70        	-374.56   	0         	0         	
268.863   	600       	70        	-375.695  	0         	0         	
283.863   	600       	70        	-377.775  	0         	0         	
298.863   	600       	70        	-380.238  	0         	0         	
313.863   	600       	70        	-382.918  	0         	0         	
328.863   	600       	70        	-385.698  	0         	0         	
343.863   	600       	70        	-388.595  	0         	0         	
358.863   	600       	70        	-391.615  	0         	0         	
373.863   	600       	70        	-394.758  	0         	0         	
388.863   	600       	70        	-398.339  	0         	0         	
403.863   	600       	70        	-401.947  	0         	0         	
418.863   	600       	70        	-405.592  	0         	0         	
433.863   	600       	70        	-409.267  	0         	0         	
448.863   	600       	70        	-412.956  	0         	0         	
463.863   	600       	70        	-416.874  	0         	0         	
478.863   	600       	70        	-421.842  	0         	0         	
493.863   	600       	70        	-426.457  	0         	0         	
508.863   	600       	70        	-430.906  	0         	0         	
523.863   	600       	70        	-435.271  	0         	0         	
538.863   	600       	70        	-439.573  	0         	0         	
553.863   	600       	70        	-444.062  	0         	0         	
568.863   	600       	70        	-448.491  	0         	0         	
583.863   	600       	70        	-452.827  	0         	0         	
598.863   	600       	70        	-457.1    	0         	0         	
613.863   	600       	70        	-461.254  	0         	0         	
628.863   	600       	70        	-465.188  	0         	0         	
643.863   	600       	70        	-469.364  	0         	0         	
658.863   	600       	70        	-473.567  	0         	0         	
673.863   	600       	70        	-477.796  	0         	0         	
688.863   	600       	70        	-481.971  	0         	0         	
703.863   	600       	70        	-486.773  	0         	0         	
718.863   	600       	70        	-491.417  	0         	0         	
733.863   	600       	70        	-495.998  	0         	0         	
748.863   	600       	70        	-500.525  	0         	0         	
763.863   	600       	70        	-505.178  	0         	0         	
778.863   	600       	70        	-510.058  	0         	0         	
793.863   	600       	70        	-514.915  	0         	0         	
808.863   	600       	70        	-519.7    	0         	0         	
823.863   	600       	70        	-524.298  	0         	0         	
838.863   	600       	70        	-528.747  	0         	0         	
853.863   	600       	70        	-533.245  	0         	0         	
868.863   	600       	70        	-537.775  	0         	0         	
883.863   	600       	70        	-542.018  	0         	0         	
898.863   	600       	70        	-546.107  	0         	0         	
913.863   	600       	70        	-550.378  	0         	0         	
928.863   	600       	70        	-554.705  	0         	0         	
943.863   	600       	70        	-558.997  	0         	0         	
958.863   	600       	70        	-563.265  	0         	0         	
973.863   	600       	70        	-567.506  	0         	0         	
988.863   	600       	70        	-571.725  	0         	0         	
1003.86   	600       	70        	-575.561  	0         	0         	
1018.86   	600       	70        	-575.442  	0         	0         	
1033.86   	600       	70        	-577.466  	0         	0         	
1048.86   	600       	70        	-579.842  	0         	0         	
1063.86   	600       	70        	-582.238  	0         	0         	
1078.86   	600       	70        	-584.577  	0         	0         	
1093.86   	600       	70        	-586.903  	0         	0         	
1108.86   	600       	70        	-589.199  	0         	0         	
1123.86   	600       	70        	-590.893  	0         	0         	
1138.86   	600       	70        	-592.775  	0         	0         	
1153.86   	600       	70        	-594.794  	0         	0         	
1168.86   	600       	70        	-596.842  	0         	0         	
1183.86   	600       	70        	-598.689  	0         	0         	
1198.86   	600       	70        	-600.312  	0         	0         	
1213.86   	600       	70        	-602.161  	0         	0         	
1228.86   	600       	70        	-604.095  	0         	0         	
1243.86   	600       	70        	-606.044  	0         	0         	
1258.86   	600       	70        	-607.963  	0         	0         	
1273.86   	600       	70        	-609.828  	0         	0         	
1288.86   	600       	70        	-611.645  	0         	0         	
1303.86   	600       	70        	-613.414  	0         	0         	
1318.86   	600       	70        	-615.135  	0         	0         	
1333.86   	600       	70        	-616.842  	0         	0         	
1348.86   	600       	70        	-618.532  	0         	0         	
1363.86   	600       	70        	-620.277  	0         	0         	
1378.86   	600       	70        	-621.771  	0         	0         	
1393.86   	600       	70        	-623.221  	0         	0         	
1408.86   	600       	70        	-624.803  	0         	0         	
1423.86   	600       	70        	-626.418  	0         	0         	
1438.86   	600       	70        	-628.016  	0         	0         	
1453.86   	600       	70        	-629.581  	0         	0         	
1468.86   	600       	70        	-631.12   	0         	0         	
1483.86   	600       	70        	-632.601  	0         	0         	
1498.86   	600       	70        	-634.062  	0         	0         	
1513.86   	600       	70        	-635.497  	0         	0         	
1528.86   	600       	70        	-636.901  	0         	0         	
1543.86   	600       	70        	-638.271  	0         	0         	
1558.86   	600       	70        	-639.61   	0         	0         	
1573.86   	600       	70        	-640.917  	0         	0         	
1588.86   	600       	70        	-642.195  	0         	0         	
1603.86   	600       	70        	-643.441  	0         	0         	
1618.86   	600       	70        	-644.675  	0         	0         	
1633.86   	600       	70        	-645.904  	0         	0         	
1648.86   	600       	70        	-647.12   	0         	0         	
1663.86   	600       	70        	-648.317  	0         	0         	
1678.86   	600       	70        	-649.453  	0         	0         	
1693.86   	600       	70        	-650.537  	0         	0         	
1708.86   	600       	70        	-651.646  	0         	0         	
1723.86   	600       	70        	-652.748  	0         	0         	
1738.86   	600       	70        	-653.835  	0         	0         	
1753.86   	600       	70        	-654.917  	0         	0         	
1768.86   	600       	70        	-656.002  	0         	0         	
1783.86   	600       	70        	-657.101  	0         	0         	
1798.86   	600       	70        	-658.185  	0         	0         	
1813.86   	600       	70        	-659.244  	0         	0         	
1828.86   	600       	70        	-660.297  	0         	0         	
1843.86   	600       	70        	-661.21   	0         	0         	
1858.86   	600       	70        	-662.193  	0         	0         	
1873.86   	600       	70        	-663.248  	0         	0         	
1888.86   	600       	70        	-664.313  	0         	0         	
1903.86   	600       	70        	-665.365  	0         	0         	
1918.86   	600       	70        	-666.399  	0         	0         	
1933.86   	600       	70        	-667.374  	0         	0         	
1948.86   	600       	70        	-668.399  	0         	0         	
1963.86   	600       	70        	-669.437  	0         	0         	
1978.86   	600       	70        	-670.475  	0         	0         	
1993.86   	600       	70        	-671.503  	0         	0         	
2000      	600       	70        	-671.925  	0         	0         	
