Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	400       	70        	304.11    	14.7711   	3.1957e-005	
3.58773   	400       	70        	324.61    	7.90777   	9.16708e-005	
9.0859    	400       	70        	354.507   	0         	0.000159073	
17.6573   	400       	70        	366.803   	0         	0.00023036	
29.7155   	400       	70        	364.238   	0         	0.000274853	
43.8635   	400       	70        	360.577   	0         	0.000277147	
58.8635   	400       	70        	366.5     	0         	0.000256072	
73.8635   	400       	70        	378.231   	0         	0.000227411	
88.8635   	400       	70        	392.971   	0         	0.000196875	
103.863   	400       	70        	407.72    	0         	0.000169186	
118.863   	400       	70        	417.759   	0         	0.000144874	
133.863   	400       	70        	396.083   	0         	7.8846e-005	
148.863   	400       	70        	384.192   	0         	0         	
163.863   	400       	70        	379.264   	0         	0         	
178.863   	400       	70        	379.196   	0         	0         	
193.863   	400       	70        	381.356   	0         	0         	
208.863   	400       	70        	383.851   	0         	0         	
223.863   	400       	70        	386.387   	0         	0         	
238.863   	400       	70        	388.592   	0.333243  	0         	
253.863   	400       	70        	390.637   	0.852694  	0         	
268.863   	400       	70        	392.858   	1.26314   	0         	
283.863   	400       	70        	395.348   	1.61238   	0         	
298.863   	400       	70        	398.186   	1.93746   	0         	
313.863   	400       	70        	401.204   	2.22832   	0         	
328.863   	400       	70        	404.362   	2.47979   	0         	
343.863   	400       	70        	407.658   	2.69035   	0         	
358.863   	400       	70        	411.086   	2.86025   	0         	
373.863   	400       	70        	414.632   	2.99213   	0         	
388.863   	400       	70        	418.394   	3.09195   	0         	
403.863   	400       	70        	422.29    	3.16336   	0         	
418.863   	400       	70        	426.272   	3.20938   	0         	
433.863   	400       	70        	430.312   	3.23168   	0         	
448.863   	400       	70        	434.376   	3.23372   	0         	
463.863   	400       	70        	438.531   	3.21874   	0         	
478.863   	400       	70        	443.055   	3.21152   	0         	
493.863   	400       	70        	447.725   	3.20115   	0         	
508.863   	400       	70        	452.471   	3.17232   	0         	
523.863   	400       	70        	457.23    	3.12362   	0         	
538.863   	400       	70        	461.946   	3.06057   	0         	
553.863   	400       	70        	466.68    	2.98808   	0         	
568.863   	400       	70        	471.411   	2.90333   	0         	
583.863   	400       	70        	476.086   	2.80964   	0         	
598.863   	400       	70        	480.709   	2.70262   	0         	
613.863   	400       	70        	485.319   	2.58406   	0         	
628.863   	400       	70        	490.021   	2.44191   	0         	
643.863   	400       	70        	494.807   	2.24696   	0         	
658.863   	400       	70        	499.516   	2.04541   	0         	
673.863   	400       	70        	504.105   	1.84685   	0         	
688.863   	400       	70        	508.773   	1.63056   	0         	
703.863   	400       	70        	513.696   	1.38714   	0         	
718.863   	400       	70        	518.576   	1.1468    	0         	
733.863   	400       	70        	523.466   	0.925862  	0         	
748.863   	400       	70        	528.295   	0.705266  	0         	
763.863   	400       	70        	533.228   	0.461076  	0         	
778.863   	400       	70        	538.402   	0.172975  	0         	
793.863   	400       	70        	543.39    	0         	0         	
808.863   	400       	70        	548.1     	0         	0         	
823.863   	400       	70        	552.722   	0         	0         	
838.863   	400       	70        	557.31    	0         	0         	
853.863   	400       	70        	561.846   	0         	0         	
868.863   	400       	70        	566.344   	0         	0         	
883.863   	400       	70        	570.795   	0         	0         	
898.863   	400       	70        	575.293   	0         	0         	
913.863   	400       	70        	579.744   	0         	0         	
928.863   	400       	70        	584.147   	0         	0         	
943.863   	400       	70        	588.478   	0         	0         	
958.863   	400       	70        	592.763   	0         	0         	
973.863   	400       	70        	596.998   	0         	0         	
988.863   	400       	70        	601.189   	0         	0         	
1003.86   	400       	70        	605.291   	0         	0         	
1018.86   	400       	70        	607.965   	0         	0         	
1033.86   	400       	70        	610.29    	0         	0         	
1048.86   	400       	70        	612.431   	0         	0         	
1063.86   	400       	70        	614.438   	0         	0         	
1078.86   	400       	70        	616.343   	0         	0         	
1093.86   	400       	70        	618.207   	0         	0         	
1108.86   	400       	70        	620.028   	0         	0         	
1123.86   	400       	70        	621.88    	0         	0         	
1138.86   	400       	70        	623.663   	0         	0         	
1153.86   	400       	70        	625.391   	0         	0         	
1168.86   	400       	70        	627.073   	0         	0         	
1183.86   	400       	70        	628.744   	0         	0         	
1198.86   	400       	70        	630.422   	0         	0         	
1213.86   	400       	70        	632.086   	0         	0         	
1228.86   	400       	70        	633.745   	0         	0         	
1243.86   	400       	70        	635.367   	0         	0         	
1258.86   	400       	70        	636.938   	0         	0         	
1273.86   	400       	70        	638.449   	0         	0         	
1288.86   	400       	70        	639.913   	0         	0         	
1303.86   	400       	70        	641.33    	0         	0         	
1318.86   	400       	70        	642.7     	0         	0         	
1333.86   	400       	70        	644.06    	0         	0         	
1348.86   	400       	70        	645.395   	0         	0         	
1363.86   	400       	70        	646.853   	0         	0         	
1378.86   	400       	70        	648.341   	0         	0         	
1393.86   	400       	70        	649.795   	0         	0         	
1408.86   	400       	70        	651.205   	0         	0         	
1423.86   	400       	70        	652.588   	0         	0         	
1438.86   	400       	70        	653.931   	0         	0         	
1453.86   	400       	70        	655.236   	0         	0         	
1468.86   	400       	70        	656.519   	0         	0         	
1483.86   	400       	70        	657.767   	0         	0         	
1498.86   	400       	70        	658.983   	0         	0         	
1513.86   	400       	70        	660.166   	0         	0         	
1528.86   	400       	70        	661.319   	0         	0         	
1543.86   	400       	70        	662.44    	0         	0         	
1558.86   	400       	70        	663.533   	0         	0         	
1573.86   	400       	70        	664.599   	0         	0         	
1588.86   	400       	70        	665.639   	0         	0         	
1603.86   	400       	70        	666.649   	0         	0         	
1618.86   	400       	70        	667.653   	0         	0         	
1633.86   	400       	70        	668.661   	0         	0         	
1648.86   	400       	70        	669.652   	0         	0         	
1663.86   	400       	70        	670.623   	0         	0         	
1678.86   	400       	70        	671.575   	0         	0         	
1693.86   	400       	70        	672.519   	0         	0         	
1708.86   	400       	70        	673.447   	0         	0         	
1723.86   	400       	70        	674.351   	0         	0         	
1738.86   	400       	70        	675.235   	0         	0         	
1753.86   	400       	70        	676.118   	0         	0         	
1768.86   	400       	70        	677.009   	0         	0         	
1783.86   	400       	70        	677.921   	0         	0         	
1798.86   	400       	70        	678.802   	0         	0         	
1813.86   	400       	70        	679.656   	0         	0         	
1828.86   	400       	70        	680.515   	0         	0         	
1843.86   	400       	70        	681.425   	0         	0         	
1858.86   	400       	70        	682.359   	0         	0         	
1873.86   	400       	70        	683.284   	0         	0         	
1888.86   	400       	70        	684.185   	0         	0         	
1903.86   	400       	70        	685.065   	0         	0         	
1918.86   	400       	70        	685.951   	0         	0         	
1933.86   	400       	70        	686.858   	0         	0         	
1948.86   	400       	70        	687.758   	0         	0         	
1963.86   	400       	70        	688.652   	0         	0         	
1978.86   	400       	70        	689.537   	0         	0         	
1993.86   	400       	70        	690.41    	0         	0         	
2000      	400       	70        	690.765   	0         	0         	
