Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	600       	70        	0         	0         	-7711     	
2.31897   	600       	70        	0         	0         	-3760.26  	
4.49891   	600       	70        	0         	0         	-1989.72  	
8.46293   	600       	70        	0         	0         	-1506.39  	
15.2119   	600       	70        	0         	0         	-1653.1   	
24.34     	600       	70        	0         	0         	-2062.48  	
36.6033   	600       	70        	0         	0         	-2572.71  	
50.8728   	600       	70        	0         	0         	-3030.35  	
69.4995   	600       	70        	0         	0         	-3468.28  	
88.721    	600       	70        	0         	0         	-3789.27  	
108.721   	600       	70        	0         	0         	-3971.16  	
128.4     	600       	70        	0         	0         	-4095.23  	
148.4     	600       	70        	0         	0         	-4163.01  	
168.4     	600       	70        	0         	0         	-4188.38  	
188.4     	600       	70        	0         	0         	-4202.69  	
208.4     	600       	70        	0         	0         	-4213.07  	
228.4     	600       	70        	0         	0         	-4215.33  	
248.4     	600       	70        	0         	0         	-4207.95  	
268.4     	600       	70        	0         	0         	-4188.36  	
288.4     	600       	70        	0         	0         	-4175.95  	
308.4     	600       	70        	0         	0         	-4166.08  	
328.4     	600       	70        	0         	0         	-4156.02  	
348.4     	600       	70        	0         	0         	-4146.31  	
368.4     	600       	70        	0         	0         	-4135.14  	
388.4     	600       	70        	0         	0         	-4122.33  	
408.4     	600       	70        	0         	0         	-4108.32  	
428.4     	600       	70        	0         	0         	-4092.15  	
448.4     	600       	70        	0         	0         	-4056.19  	
468.4     	600       	70        	0         	0         	-3969.22  	
488.4     	600       	70        	0         	0         	-3825.11  	
508.4     	600       	70        	0         	0         	-3659.89  	
528.4     	600       	70        	0         	0         	-3504.04  	
548.4     	600       	70        	0         	0         	-3371.77  	
568.4     	600       	70        	0         	0         	-3262.02  	
588.4     	600       	70        	0         	0         	-3170.76  	
608.4     	600       	70        	0         	0         	-3094.7   	
628.4     	600       	70        	0         	0         	-3029.01  	
648.4     	600       	70        	0         	0         	-2971.11  	
668.4     	600       	70        	0         	0         	-2918.77  	
688.4     	600       	70        	0         	0         	-2877.82  	
708.4     	600       	70        	0         	0         	-2845.67  	
728.4     	600       	70        	0         	0         	-2819.56  	
748.4     	600       	70        	0         	0         	-2797.49  	
768.4     	600       	70        	0         	0         	-2778.02  	
788.4     	600       	70        	0         	0         	-2761.14  	
808.4     	600       	70        	0         	0         	-2745.44  	
828.4     	600       	70        	0         	0         	-2729.99  	
848.4     	600       	70        	0         	0         	-2717.77  	
868.4     	600       	70        	0         	0         	-2707.03  	
888.4     	600       	70        	0         	0         	-2697.23  	
908.4     	600       	70        	0         	0         	-2687.29  	
928.4     	600       	70        	0         	0         	-2675.18  	
948.4     	600       	70        	0         	0         	-2622.45  	
968.4     	600       	70        	0         	0         	-2525.14  	
988.4     	600       	70        	0         	0         	-2402.56  	
1008.4    	600       	70        	0         	0         	-2274.18  	
