Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	1000      	70        	28876     	480.186   	
0.6       	1000      	70        	29211.7   	436.044   	
1.83367   	1000      	70        	29984.4   	356.044   	
4.54536   	1000      	70        	31288.8   	245.354   	
9.56325   	1000      	70        	32705.5   	133.503   	
16.5512   	1000      	70        	34230.9   	66.4799   	
25.5212   	1000      	70        	35000.3   	28.6365   	
36.5252   	1000      	70        	34902.7   	11.874    	
50.1037   	1000      	70        	35090.4   	6.273     	
65.3583   	1000      	70        	34467.4   	3.7233    	
85.3583   	1000      	70        	32667.4   	2.59537   	
104.961   	1000      	70        	27506.6   	12.3304   	
124.961   	1000      	70        	23853     	41.0407   	
144.961   	1000      	70        	21324.2   	63.9896   	
164.961   	1000      	70        	19697.7   	79.3388   	
184.961   	1000      	70        	18449.7   	85.0592   	
204.961   	1000      	70        	17420.8   	85.6089   	
224.961   	1000      	70        	16526.9   	83.482    	
244.961   	1000      	70        	15725.8   	79.8778   	
264.961   	1000      	70        	14990.6   	75.5783   	
284.961   	1000      	70        	14304.9   	71.0436   	
304.961   	1000      	70        	13659     	66.5276   	
324.961   	1000      	70        	13047.1   	62.1639   	
344.961   	1000      	70        	12465.3   	58.0175   	
364.961   	1000      	70        	11912.1   	54.0824   	
384.961   	1000      	70        	11394.1   	50.0675   	
404.961   	1000      	70        	10896.9   	46.3906   	
424.961   	1000      	70        	10419.7   	43.0392   	
444.961   	1000      	70        	9962.43   	39.9726   	
464.961   	1000      	70        	9524.87   	37.156    	
484.961   	1000      	70        	9106.53   	34.5606   	
504.961   	1000      	70        	8706.85   	32.1628   	
524.961   	1000      	70        	8325.26   	29.9438   	
544.961   	1000      	70        	7978.73   	27.2843   	
564.961   	1000      	70        	7656.18   	24.4739   	
584.961   	1000      	70        	7358.97   	22.1762   	
604.961   	1000      	70        	7072.22   	20.0397   	
624.961   	1000      	70        	6794.39   	18.0804   	
644.961   	1000      	70        	6524.99   	16.2965   	
664.961   	1000      	70        	6263.92   	14.6773   	
684.961   	1000      	70        	6011.21   	13.2093   	
704.961   	1000      	70        	5766.89   	11.8788   	
724.961   	1000      	70        	5530.96   	10.6731   	
744.961   	1000      	70        	5303.36   	9.58035   	
764.961   	1000      	70        	5084.02   	8.59004   	
784.961   	1000      	70        	4872.8    	7.69263   	
804.961   	1000      	70        	4669.55   	6.87958   	
824.961   	1000      	70        	4474.08   	6.1432    	
844.961   	1000      	70        	4286.22   	5.47651   	
864.961   	1000      	70        	4105.74   	4.87311   	
884.961   	1000      	70        	3932.43   	4.32733   	
904.961   	1000      	70        	3766.06   	3.834     	
924.961   	1000      	70        	3606.41   	3.38843   	
944.961   	1000      	70        	3453.25   	2.98636   	
964.961   	1000      	70        	3306.37   	2.62393   	
984.961   	1000      	70        	3165.53   	2.29751   	
1004.96   	1000      	70        	3030.51   	2.0038    	
1024.96   	1000      	70        	2912.71   	1.63008   	
1044.96   	1000      	70        	2803.71   	1.25157   	
1064.96   	1000      	70        	2698.96   	0.91666   	
1084.96   	1000      	70        	2606.68   	0.683107  	
1104.96   	1000      	70        	2528.47   	0.548939  	
1124.96   	1000      	70        	2446.96   	0.43553   	
1144.96   	1000      	70        	2363.86   	0.339117  	
1164.96   	1000      	70        	2279.84   	0.257485  	
1184.96   	1000      	70        	2195.05   	0.189444  	
1204.96   	1000      	70        	2109.43   	0.134277  	
1224.96   	1000      	70        	2022.9    	0.0912893 	
1244.96   	1000      	70        	1935.55   	0.0594203 	
1264.96   	1000      	70        	1847.82   	0.0370746 	
1284.96   	1000      	70        	1760.46   	0.0222554 	
1304.96   	1000      	70        	1674.36   	0.0129127 	
1324.96   	1000      	70        	1590.41   	0.00726987	
1344.96   	1000      	70        	1509.28   	0.00397759	
1364.96   	1000      	70        	1431.42   	0.00210835	
1384.96   	1000      	70        	1357.06   	0.00106935	
1404.96   	1000      	70        	1286.27   	0.000501417	
1424.96   	1000      	70        	1219.03   	0.000195268	
1444.96   	1000      	70        	1155.25   	3.24234e-005	
1464.96   	1000      	70        	1094.83   	0         	
1484.96   	1000      	70        	1037.66   	0         	
1504.96   	1000      	70        	984.109   	0         	
1524.96   	1000      	70        	933.434   	0         	
1544.96   	1000      	70        	885.439   	0         	
1564.96   	1000      	70        	839.988   	0         	
1584.96   	1000      	70        	796.952   	0         	
1604.96   	1000      	70        	756.211   	0         	
1624.96   	1000      	70        	717.647   	0         	
1644.96   	1000      	70        	681.147   	0         	
1664.96   	1000      	70        	646.596   	0         	
1684.96   	1000      	70        	613.88    	0         	
1704.96   	1000      	70        	582.882   	0         	
1724.96   	1000      	70        	553.495   	0         	
1744.96   	1000      	70        	525.61    	0         	
1764.96   	1000      	70        	499.134   	0         	
1784.96   	1000      	70        	473.986   	0         	
1804.96   	1000      	70        	450.095   	0         	
1824.96   	1000      	70        	427.394   	0         	
1844.96   	1000      	70        	405.826   	0         	
1864.96   	1000      	70        	385.336   	0         	
1884.96   	1000      	70        	365.872   	0         	
1904.96   	1000      	70        	347.904   	0         	
1924.96   	1000      	70        	331.003   	0         	
1944.96   	1000      	70        	314.94    	0         	
1964.96   	1000      	70        	299.66    	0         	
1984.96   	1000      	70        	285.122   	0         	
2000      	1000      	70        	274.595   	0         	
