Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	600       	70        	-73.5434  	0         	0         	
0.38633   	600       	70        	-80.1198  	0         	0         	
0.585327  	600       	70        	-84.6597  	0         	0         	
0.869898  	600       	70        	-59.5519  	0         	0         	
1.51017   	600       	70        	-52.0879  	0         	0         	
2.19711   	600       	70        	-51.7098  	0         	0         	
3.04413   	600       	70        	-47.2234  	0         	0         	
4.77477   	600       	70        	-48.8776  	0         	0         	
6.37591   	600       	70        	-45.474   	0         	0         	
7.09468   	600       	70        	-31.8962  	0         	0         	
8.21031   	600       	70        	-27.8867  	0         	0         	
9.91492   	600       	70        	-31.3773  	0         	0         	
12.6788   	600       	70        	-29.979   	0         	0         	
17.4038   	600       	70        	-22.101   	0         	0         	
23.1611   	600       	70        	-25.9932  	0         	0         	
31.5681   	600       	70        	-20.1327  	0         	0         	
41.9411   	600       	70        	-21.6566  	0         	0         	
50        	600       	70        	-21.2761  	0         	0         	
52.8895   	600       	70        	-158.572  	0         	0         	
55.7031   	600       	70        	-203.606  	0         	0         	
59.0367   	600       	70        	-189.41   	0         	0         	
62.5331   	600       	70        	-167.483  	0         	0         	
66.2742   	600       	70        	-157.984  	0         	0         	
71.5966   	600       	70        	-172.007  	0         	0         	
79.307    	600       	70        	-196.872  	0         	0         	
88.2049   	600       	70        	-218.558  	0         	0         	
98.6057   	600       	70        	-233.367  	0         	0         	
100       	600       	70        	-232.952  	0         	0         	
103.444   	600       	70        	-150.211  	0         	0         	
109.615   	600       	70        	-113.497  	0         	0         	
118.726   	600       	70        	-104.715  	0         	0         	
130.942   	600       	70        	-102.202  	0         	0         	
149.736   	600       	70        	-101.441  	0         	0         	
179.736   	600       	70        	-101.119  	0         	0         	
209.736   	600       	70        	-100.938  	0         	0         	
239.736   	600       	70        	-100.807  	0         	0         	
269.736   	600       	70        	-100.686  	0         	0         	
299.736   	600       	70        	-100.58   	0         	0         	
329.736   	600       	70        	-100.497  	0         	0         	
359.736   	600       	70        	-100.425  	0         	0         	
389.736   	600       	70        	-100.364  	0         	0         	
419.736   	600       	70        	-100.314  	0         	0         	
449.736   	600       	70        	-100.267  	0         	0         	
479.736   	600       	70        	-100.228  	0         	0         	
500       	600       	70        	-100.211  	0         	0         	
501.875   	600       	70        	-134.259  	0         	0         	
503.893   	600       	70        	-176.387  	0         	0         	
507.672   	600       	70        	-213.827  	0         	0         	
514.77    	600       	70        	-221.289  	0         	0         	
525.123   	600       	70        	-215.459  	0         	0         	
539.469   	600       	70        	-210.55   	0         	0         	
560.186   	600       	70        	-205.99   	0         	0         	
590.186   	600       	70        	-203.108  	0         	0         	
620.186   	600       	70        	-202.148  	0         	0         	
650.186   	600       	70        	-201.372  	0         	0         	
680.186   	600       	70        	-200.855  	0         	0         	
710.186   	600       	70        	-200.6    	0         	0         	
740.186   	600       	70        	-200.468  	0         	0         	
770.186   	600       	70        	-200.366  	0         	0         	
800.186   	600       	70        	-200.309  	0         	0         	
830.186   	600       	70        	-200.311  	0         	0         	
860.186   	600       	70        	-200.213  	0         	0         	
890.186   	600       	70        	-200.172  	0         	0         	
920.186   	600       	70        	-200.144  	0         	0         	
950.186   	600       	70        	-200.122  	0         	0         	
980.186   	600       	70        	-200.104  	0         	0         	
1000      	600       	70        	-200.097  	0         	0         	
1001.88   	600       	70        	-237.558  	0         	0         	
1004.35   	600       	70        	-282.328  	0         	0         	
1008.89   	600       	70        	-317.348  	0         	0         	
1017.68   	600       	70        	-322.125  	0         	0         	
1031.03   	600       	70        	-317.139  	0         	0         	
1050.79   	600       	70        	-310.89   	0         	0         	
1078.91   	600       	70        	-306.992  	0         	0         	
1108.91   	600       	70        	-304.568  	0         	0         	
1138.91   	600       	70        	-303.593  	0         	0         	
1153.91   	600       	70        	-303.262  	0         	0         	
1183.91   	600       	70        	-302.86   	0         	0         	
1213.91   	600       	70        	-302.087  	0         	0         	
1243.91   	600       	70        	-301.379  	0         	0         	
1273.91   	600       	70        	-301.162  	0         	0         	
1303.91   	600       	70        	-300.909  	0         	0         	
1333.91   	600       	70        	-300.727  	0         	0         	
1363.91   	600       	70        	-300.587  	0         	0         	
1393.91   	600       	70        	-300.476  	0         	0         	
1423.91   	600       	70        	-300.261  	0         	0         	
1438.91   	600       	70        	-300.274  	0         	0         	
1468.91   	600       	70        	-300.242  	0         	0         	
1498.91   	600       	70        	-300.172  	0         	0         	
1528.91   	600       	70        	-300.107  	0         	0         	
1558.91   	600       	70        	-300.065  	0         	0         	
1588.91   	600       	70        	-300.015  	0         	0         	
1618.91   	600       	70        	-299.991  	0         	0         	
1648.91   	600       	70        	-299.973  	0         	0         	
1678.91   	600       	70        	-299.957  	0         	0         	
1708.91   	600       	70        	-299.942  	0         	0         	
1738.91   	600       	70        	-299.93   	0         	0         	
1768.91   	600       	70        	-299.921  	0         	0         	
1798.91   	600       	70        	-299.914  	0         	0         	
1828.91   	600       	70        	-299.908  	0         	0         	
1858.91   	600       	70        	-299.903  	0         	0         	
1888.91   	600       	70        	-299.898  	0         	0         	
1918.91   	600       	70        	-299.894  	0         	0         	
1948.91   	600       	70        	-299.891  	0         	0         	
1978.91   	600       	70        	-299.889  	0         	0         	
2000      	600       	70        	-299.886  	0         	0         	
2000.06   	600       	70        	-303.538  	0         	0         	
2000.19   	600       	70        	-317.74   	0         	0         	
2000.44   	600       	70        	-340.114  	0         	0         	
2000.92   	600       	70        	-365.595  	0         	0         	
2001.9    	600       	70        	-394.566  	0         	0         	
2004.16   	600       	70        	-429.528  	0         	0         	
2009.08   	600       	70        	-467.119  	0         	0         	
2017.4    	600       	70        	-504.012  	0         	0         	
