Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	484.191   	70        	0         	49.9999   	9.82909e-006	
0.38633   	476.279   	70        	0         	49.9996   	2.60231e-005	
0.585327  	471.388   	70        	0         	49.9994   	3.59875e-005	
0.869898  	491.518   	70        	0         	50        	0         	
1.51017   	501.62    	70        	0         	50        	0         	
2.19711   	504.259   	70        	0         	50        	0         	
3.04413   	509.002   	70        	0         	50        	0         	
4.77477   	508.043   	70        	0         	50        	0         	
6.37591   	511.12    	70        	0         	50        	0         	
7.09468   	525.009   	70        	0         	50        	0         	
8.21031   	529.199   	70        	0         	50        	0         	
9.91492   	525.286   	70        	0         	50        	0         	
12.6788   	527.085   	70        	0         	50        	0         	
17.4038   	535.825   	70        	0         	50        	0         	
23.1611   	531.513   	70        	0         	50        	0         	
31.5681   	538.184   	70        	0         	50        	0         	
41.9411   	536.519   	70        	0         	50        	0         	
50        	537.025   	70        	0         	50        	0         	
52.8895   	300       	70        	0         	552.173   	0.00135364	
55.7031   	300       	70        	0.0668014 	550.007   	0.00129283	
59.0367   	300       	70        	8.65159   	575.261   	0.00110176	
62.5331   	300       	70        	47.2746   	516.024   	0.000927906	
66.2742   	300       	70        	84.0762   	344.175   	0.00069456	
71.5966   	300       	70        	118.719   	261.087   	0.00061771	
79.307    	300       	70        	149.648   	214.484   	0.000531563	
88.2049   	300       	70        	173.144   	189.77    	0.000426126	
98.6057   	300       	70        	193.74    	171.935   	0.00030305	
100       	300       	70        	196.568   	171.333   	0.000271208	
103.444   	428.303   	70        	100.031   	35.3034   	0         	
109.615   	448.324   	70        	100.029   	18.5279   	0         	
118.726   	457.328   	70        	100.009   	11.8896   	0         	
130.942   	461.483   	70        	100.011   	8.99087   	0         	
149.736   	463.498   	70        	100.025   	7.50525   	0         	
179.736   	465.044   	70        	100.02    	6.47665   	0         	
209.736   	466.224   	70        	100.014   	5.68804   	0         	
239.736   	467.307   	70        	100.016   	4.95321   	0         	
269.736   	468.299   	70        	100.01    	4.28293   	0         	
299.736   	469.316   	70        	100.006   	3.72154   	0         	
329.736   	470.2     	70        	100.007   	3.23571   	0         	
359.736   	470.976   	70        	100.006   	2.81124   	0         	
389.736   	471.658   	70        	100.005   	2.44015   	0         	
419.736   	472.273   	70        	100.006   	2.11918   	0         	
449.736   	472.915   	70        	100.003   	1.85071   	0         	
479.736   	473.497   	70        	100.002   	1.60639   	0         	
500       	473.843   	70        	100.008   	1.46039   	0         	
501.875   	386.753   	70        	199.98    	43.068    	0         	
503.893   	340.088   	70        	200.024   	95.7778   	0.000131969	
507.672   	327.677   	70        	200.016   	109.756   	0.000199455	
514.77    	342.581   	70        	200.023   	91.3022   	8.63463e-005	
525.123   	361.445   	70        	200.038   	67.4465   	9.26634e-006	
539.469   	378.009   	70        	200.032   	47.0008   	0         	
560.186   	394.916   	70        	200.021   	29.2848   	0         	
590.186   	407.959   	70        	200.016   	17.7244   	0         	
620.186   	415.707   	70        	200.064   	11.7469   	0         	
650.186   	420.889   	70        	200.003   	8.1543    	0         	
680.186   	424.784   	70        	200.021   	5.8716    	0         	
710.186   	427.515   	70        	200.001   	4.34567   	0         	
740.186   	429.74    	70        	200.006   	3.35645   	0         	
770.186   	431.395   	70        	200.005   	2.62432   	0         	
800.186   	432.585   	70        	200.02    	2.09741   	0         	
830.186   	433.887   	70        	200.011   	1.72329   	0         	
860.186   	435.134   	70        	200.01    	1.42765   	0         	
890.186   	436.127   	70        	200.008   	1.19057   	0         	
920.186   	436.924   	70        	200.006   	1.00035   	0         	
950.186   	437.568   	70        	200.005   	0.84691   	0         	
980.186   	438.092   	70        	200.004   	0.722184  	0         	
1000      	438.43    	70        	200.003   	0.658148  	0         	
1001.88   	377.827   	70        	300.022   	15.0419   	0.000104111	
1004.35   	346.551   	70        	299.987   	36.259    	0.00021615	
1008.89   	336.313   	70        	300.024   	49.2771   	0.000176577	
1017.68   	350.358   	70        	299.99    	45.527    	0         	
1031.03   	368.55    	70        	300.022   	36.9886   	0         	
1050.79   	384.583   	70        	300.019   	29.4791   	0         	
1078.91   	397.728   	70        	300.012   	22.9486   	0         	
1108.91   	407.284   	70        	300.008   	18.5295   	0         	
1138.91   	414.081   	70        	300.004   	15.2356   	0         	
1153.91   	416.994   	70        	300.01    	13.7986   	0         	
1183.91   	422.418   	70        	300.03    	11.2476   	0         	
1213.91   	427.059   	70        	300       	9.14818   	0         	
1243.91   	430.553   	70        	300.005   	7.50433   	0         	
1273.91   	433.399   	70        	300.064   	6.19898   	0         	
1303.91   	436.072   	70        	300.038   	5.17485   	0         	
1333.91   	438.246   	70        	300.027   	4.33625   	0         	
1363.91   	440.032   	70        	300.027   	3.64553   	0         	
1393.91   	441.59    	70        	300.026   	3.04488   	0         	
1423.91   	443.342   	70        	300.019   	2.55124   	0         	
1438.91   	444.318   	70        	300.006   	2.33266   	0         	
1468.91   	446.084   	70        	300.014   	1.94041   	0         	
1498.91   	447.628   	70        	300.011   	1.59727   	0         	
1528.91   	448.856   	70        	300.005   	1.32159   	0         	
1558.91   	449.813   	70        	300.006   	1.1042    	0         	
1588.91   	450.646   	70        	300       	0.934112  	0         	
1618.91   	451.452   	70        	300       	0.799231  	0         	
1648.91   	452.197   	70        	300       	0.674019  	0         	
1678.91   	452.804   	70        	300.003   	0.570545  	0         	
1708.91   	453.296   	70        	300.002   	0.485691  	0         	
1738.91   	453.694   	70        	300.002   	0.416037  	0         	
1768.91   	454.021   	70        	300.001   	0.358254  	0         	
1798.91   	454.29    	70        	300.001   	0.309804  	0         	
1828.91   	454.515   	70        	300.001   	0.268831  	0         	
1858.91   	454.703   	70        	300.001   	0.233977  	0         	
1888.91   	454.86    	70        	300.001   	0.204181  	0         	
1918.91   	454.992   	70        	300.001   	0.178568  	0         	
1948.91   	455.104   	70        	300.001   	0.156391  	0         	
1978.91   	455.2     	70        	300.001   	0.136868  	0         	
2000      	455.259   	70        	300       	0.124496  	0         	
2000.06   	300       	70        	1070.33   	4.20051   	0         	
2000.19   	300       	70        	864.768   	12.5612   	0         	
2000.44   	300       	70        	694.726   	28.0422   	0         	
2000.92   	300       	70        	560.913   	45.4638   	0         	
2001.9    	300       	70        	480.037   	57.0038   	0         	
2004.16   	300       	70        	444.656   	60.7624   	4.40937e-005	
2009.08   	300       	70        	449.666   	61.8694   	0         	
2017.4    	300       	70        	478.462   	62.412    	0         	
2029.95   	300       	70        	518.424   	61.7459   	0         	
2046.17   	300       	70        	559.365   	58.8302   	0         	
2065.86   	300       	70        	600.377   	54.3172   	0         	
2089.64   	300       	70        	638.299   	49.129    	0         	
2116.54   	300       	70        	671.189   	44.8266   	0         	
2146.54   	300       	70        	697.987   	40.6265   	0         	
2176.54   	300       	70        	720.759   	36.4209   	0         	
2206.54   	300       	70        	739.633   	32.4374   	0         	
2236.54   	300       	70        	759.969   	28.7267   	0         	
2266.54   	300       	70        	781.065   	24.7338   	0         	
2296.54   	300       	70        	798.276   	21.3044   	0         	
2326.54   	300       	70        	812.588   	18.4477   	0         	
2356.54   	300       	70        	827.543   	16.2004   	0         	
2386.54   	300       	70        	839.994   	14.279    	0         	
2416.54   	300       	70        	851.203   	12.5818   	0         	
2446.54   	300       	70        	860.859   	11.1648   	0         	
2476.54   	300       	70        	868.709   	9.97752   	0         	
2506.54   	300       	70        	875.119   	9.01611   	0         	
2536.54   	300       	70        	881.994   	8.37204   	0         	
2566.54   	300       	70        	888.874   	7.85011   	0         	
2596.54   	300       	70        	894.864   	7.39261   	0         	
2626.54   	300       	70        	900.147   	6.99162   	4.12651e-006	
2656.54   	300       	70        	905.159   	6.61406   	7.95273e-006	
2686.54   	300       	70        	909.75    	6.26747   	8.89141e-006	
2716.54   	300       	70        	914.174   	5.94024   	8.7995e-006	
2746.54   	300       	70        	918.49    	5.61953   	8.65215e-006	
2776.54   	300       	70        	922.848   	5.29416   	8.66243e-006	
2806.54   	300       	70        	926.917   	4.99012   	8.2983e-006	
2836.54   	300       	70        	930.631   	4.71378   	7.66968e-006	
2866.54   	300       	70        	934.192   	4.45033   	7.1777e-006	
2896.54   	300       	70        	937.444   	4.2109    	6.57234e-006	
2926.54   	300       	70        	940.569   	3.98274   	6.11346e-006	
2956.54   	300       	70        	943.535   	3.76691   	5.71874e-006	
2986.54   	300       	70        	946.308   	3.56586   	5.31141e-006	
3016.54   	300       	70        	949.035   	3.39634   	5.10298e-006	
3046.54   	300       	70        	951.772   	3.25767   	5.06314e-006	
3076.54   	300       	70        	954.419   	3.12365   	4.93065e-006	
3106.54   	300       	70        	956.958   	2.99552   	4.73003e-006	
3136.54   	300       	70        	959.431   	2.87172   	4.52565e-006	
3166.54   	300       	70        	961.863   	2.74974   	4.40083e-006	
3196.54   	300       	70        	964.22    	2.6316    	4.25727e-006	
3226.54   	300       	70        	966.492   	2.51806   	4.08699e-006	
3256.54   	300       	70        	968.662   	2.41013   	3.88107e-006	
3286.54   	300       	70        	970.825   	2.30273   	3.77504e-006	
3316.54   	300       	70        	972.972   	2.19602   	3.71055e-006	
3346.54   	300       	70        	975.01    	2.09512   	3.5472e-006	
3376.54   	300       	70        	976.974   	1.99834   	3.3793e-006	
3406.54   	300       	70        	978.883   	1.90466   	3.23403e-006	
3436.54   	300       	70        	980.755   	1.81294   	3.12414e-006	
3466.54   	300       	70        	982.582   	1.72366   	3.01848e-006	
3496.54   	300       	70        	984.384   	1.63565   	2.94079e-006	
3526.54   	300       	70        	986.145   	1.54977   	2.96134e-006	
3556.54   	300       	70        	987.845   	1.46729   	3.10041e-006	
3586.54   	300       	70        	989.569   	1.38345   	3.2524e-006	
3616.54   	300       	70        	991.317   	1.29798   	3.37374e-006	
3646.54   	300       	70        	993.027   	1.21435   	3.3806e-006	
3676.54   	300       	70        	994.71    	1.13208   	3.3405e-006	
3706.54   	300       	70        	996.285   	1.0556    	3.16913e-006	
3736.54   	300       	70        	997.774   	0.983991  	2.9595e-006	
3766.54   	300       	70        	999.201   	0.915893  	2.76904e-006	
3796.54   	300       	70        	1000.58   	0.850551  	2.6083e-006	
3826.54   	300       	70        	1001.9    	0.788167  	2.45697e-006	
3856.54   	300       	70        	1003.16   	0.729421  	2.29306e-006	
3886.54   	300       	70        	1004.33   	0.675424  	2.0962e-006	
3916.54   	300       	70        	1005.43   	0.625548  	1.90067e-006	
3946.54   	300       	70        	1006.47   	0.579021  	1.72613e-006	
3976.54   	300       	70        	1007.47   	0.534987  	1.58278e-006	
4006.54   	300       	70        	1008.43   	0.493248  	1.45942e-006	
4036.54   	300       	70        	1009.34   	0.45396   	1.34188e-006	
4066.54   	300       	70        	1010.21   	0.417073  	1.22821e-006	
4096.54   	300       	70        	1011.03   	0.382456  	1.11973e-006	
4126.54   	300       	70        	1011.82   	0.349971  	1.0173e-006	
4156.54   	300       	70        	1012.58   	0.319495  	9.21015e-007	
4186.54   	300       	70        	1013.29   	0.290976  	8.29076e-007	
4216.54   	300       	70        	1013.97   	0.264601  	7.34921e-007	
4246.54   	300       	70        	1014.61   	0.240471  	6.37555e-007	
4276.54   	300       	70        	1015.22   	0.21838   	5.43845e-007	
4306.54   	300       	70        	1015.79   	0.198265  	4.53823e-007	
4336.54   	300       	70        	1016.32   	0.180035  	3.67854e-007	
4366.54   	300       	70        	1016.83   	0.163388  	2.91093e-007	
4396.54   	300       	70        	1017.32   	0.148093  	2.24263e-007	
4426.54   	300       	70        	1017.78   	0.133981  	1.66143e-007	
4456.54   	300       	70        	1018.23   	0.120919  	1.1521e-007	
4486.54   	300       	70        	1018.66   	0.108801  	7.01313e-008	
4516.54   	300       	70        	1019.07   	0.097538  	2.98502e-008	
4546.54   	300       	70        	1019.47   	0.0870556 	0         	
4576.54   	300       	70        	1019.86   	0.0772905 	0         	
4606.54   	300       	70        	1020.23   	0.0681881 	0         	
4636.54   	300       	70        	1020.6    	0.0597011 	0         	
4666.54   	300       	70        	1020.95   	0.0517878 	0         	
4696.54   	300       	70        	1021.3    	0.0444112 	0         	
4726.54   	300       	70        	1021.63   	0.0375377 	0         	
4756.54   	300       	70        	1021.96   	0.031137  	0         	
4786.54   	300       	70        	1022.28   	0.0251813 	0         	
4816.54   	300       	70        	1022.59   	0.0196448 	0         	
4846.54   	300       	70        	1022.89   	0.0145038 	0         	
4876.54   	300       	70        	1023.19   	0.00973602	0         	
4906.54   	300       	70        	1023.48   	0.00532059	0         	
4936.54   	300       	70        	1023.76   	0.00123782	0         	
4966.54   	300       	70        	1024.04   	0         	0         	
4996.54   	300       	70        	1024.31   	0         	0         	
5000      	300       	70        	1024.35   	0         	0         	
5005.18   	362.835   	70        	800.001   	0.00691029	0         	
5015.07   	373.83    	70        	800       	0.00259526	0         	
