Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	5000      	160       	-85712.8  	0         	0         	
0.0329912 	5000      	160       	-83186.4  	0         	0         	
0.0819232 	5000      	160       	-80299.5  	0         	0         	
0.176161  	5000      	160       	-77684.7  	0         	0         	
0.34812   	5000      	160       	-76525.9  	0         	0         	
0.665748  	5000      	160       	-78368.1  	0         	0         	
1.23468   	5000      	160       	-85658.6  	0         	0         	
2.18563   	5000      	160       	-101029   	0         	0         	
3.18563   	5000      	160       	-115533   	0         	0         	
3.51862   	5000      	160       	-119153   	0         	0         	
4.2882    	5000      	160       	-126673   	0         	0         	
4.7882    	5000      	160       	-129994   	0         	0         	
5.7882    	5000      	160       	-134559   	0         	0         	
6.7882    	5000      	160       	-136427   	0         	0         	
7.7882    	5000      	160       	-136642   	0         	0         	
8.7882    	5000      	160       	-135503   	0         	0         	
9.12114   	5000      	160       	-134718   	0         	0         	
10.0101   	5000      	160       	-132779   	0         	0         	
11.0101   	5000      	160       	-130102   	0         	0         	
12.0101   	5000      	160       	-127149   	0         	0         	
13.0101   	5000      	160       	-124228   	0         	0         	
14.0101   	5000      	160       	-121232   	0         	0         	
15.0101   	5000      	160       	-118333   	0         	0         	
16.0101   	5000      	160       	-115596   	0         	0         	
17.0101   	5000      	160       	-113050   	0         	0         	
18.0101   	5000      	160       	-110739   	0         	0         	
18.3429   	5000      	160       	-109888   	0         	0         	
19.2869   	5000      	160       	-107918   	0         	0         	
19.6011   	5000      	160       	-107230   	0         	0         	
20.5005   	5000      	160       	-105591   	0         	0         	
21.5005   	5000      	160       	-103944   	0         	0         	
22.5005   	5000      	160       	-102465   	0         	0         	
23.5005   	5000      	160       	-101127   	0         	0         	
24.5005   	5000      	160       	-99940    	0         	0         	
25.5005   	5000      	160       	-98910.4  	0         	0         	
26.5005   	5000      	160       	-98013.7  	0         	0         	
27.5005   	5000      	160       	-97226    	0         	0         	
28.5005   	5000      	160       	-96533.5  	0         	0         	
29.5005   	5000      	160       	-95925.5  	0         	0         	
30.5005   	5000      	160       	-95393.1  	0         	0         	
31.5005   	5000      	160       	-94928.1  	0         	0         	
32.5005   	5000      	160       	-94523.3  	0         	0         	
33.5005   	5000      	160       	-94172.1  	0         	0         	
34.5005   	5000      	160       	-93868.5  	0         	0         	
35.5005   	5000      	160       	-93598.2  	0         	0         	
35.8334   	5000      	160       	-93493.1  	0         	0         	
36.8196   	5000      	160       	-93295.8  	0         	0         	
37.8196   	5000      	160       	-93122.4  	0         	0         	
38.8196   	5000      	160       	-92973.9  	0         	0         	
39.8196   	5000      	160       	-92841.5  	0         	0         	
40.1525   	5000      	160       	-92782.4  	0         	0         	
41.1416   	5000      	160       	-92695.9  	0         	0         	
42.1416   	5000      	160       	-92622.7  	0         	0         	
43.1416   	5000      	160       	-92562.1  	0         	0         	
44.1416   	5000      	160       	-92520.1  	0         	0         	
45.1416   	5000      	160       	-92493.2  	0         	0         	
46.1416   	5000      	160       	-92477.7  	0         	0         	
47.1416   	5000      	160       	-92473    	0         	0         	
48.1416   	5000      	160       	-92474.9  	0         	0         	
49.1416   	5000      	160       	-92483.9  	0         	0         	
50.1416   	5000      	160       	-92508.7  	0         	0         	
51.1416   	5000      	160       	-92539.9  	0         	0         	
52.1416   	5000      	160       	-92576.8  	0         	0         	
53.1416   	5000      	160       	-92618.2  	0         	0         	
54.1416   	5000      	160       	-92663.4  	0         	0         	
55.1416   	5000      	160       	-92709    	0         	0         	
55.4745   	5000      	160       	-92712.1  	0         	0         	
56.4673   	5000      	160       	-92771.8  	0         	0         	
57.4673   	5000      	160       	-92833.1  	0         	0         	
58.4673   	5000      	160       	-92895.7  	0         	0         	
59.4673   	5000      	160       	-92954.3  	0         	0         	
59.8002   	5000      	160       	-92963.2  	0         	0         	
60.7935   	5000      	160       	-93034    	0         	0         	
61.7935   	5000      	160       	-93106.4  	0         	0         	
62.7935   	5000      	160       	-93181.2  	0         	0         	
63.7935   	5000      	160       	-93258.3  	0         	0         	
64.7935   	5000      	160       	-93336.8  	0         	0         	
65.7935   	5000      	160       	-93416.4  	0         	0         	
66.7935   	5000      	160       	-93496.6  	0         	0         	
67.7935   	5000      	160       	-93720.6  	0         	0         	
68.1263   	5000      	160       	-93728    	0         	0         	
69.12     	5000      	160       	-93805.9  	0         	0         	
70.12     	5000      	160       	-93884.1  	0         	0         	
71.12     	5000      	160       	-93961.9  	0         	0         	
72.12     	5000      	160       	-94044.2  	0         	0         	
73.12     	5000      	160       	-94124.2  	0         	0         	
73.4529   	5000      	160       	-94141    	0         	0         	
74.447    	5000      	160       	-94230    	0         	0         	
75.447    	5000      	160       	-94316.7  	0         	0         	
76.447    	5000      	160       	-94402    	0         	0         	
77.447    	5000      	160       	-94486    	0         	0         	
78.447    	5000      	160       	-94568.7  	0         	0         	
79.447    	5000      	160       	-94646.1  	0         	0         	
79.7799   	5000      	160       	-94662.1  	0         	0         	
80.7741   	5000      	160       	-94746.3  	0         	0         	
81.7741   	5000      	160       	-94826.9  	0         	0         	
82.7741   	5000      	160       	-94905.1  	0         	0         	
83.7741   	5000      	160       	-94981.5  	0         	0         	
84.7741   	5000      	160       	-95056.2  	0         	0         	
85.7741   	5000      	160       	-95130.5  	0         	0         	
86.7741   	5000      	160       	-95205    	0         	0         	
87.7741   	5000      	160       	-95278.7  	0         	0         	
88.7741   	5000      	160       	-95351.5  	0         	0         	
89.7741   	5000      	160       	-95423.2  	0         	0         	
90.7741   	5000      	160       	-95493.8  	0         	0         	
91.7741   	5000      	160       	-95563.2  	0         	0         	
92.7741   	5000      	160       	-95628.3  	0         	0         	
93.107    	5000      	160       	-95640.8  	0         	0         	
94.1014   	5000      	160       	-95712.5  	0         	0         	
95.1014   	5000      	160       	-95780.7  	0         	0         	
96.1014   	5000      	160       	-95848.1  	0         	0         	
97.1014   	5000      	160       	-95915.2  	0         	0         	
98.1014   	5000      	160       	-95982.1  	0         	0         	
99.1014   	5000      	160       	-96050.2  	0         	0         	
100.101   	5000      	160       	-96120.9  	0         	0         	
101.101   	5000      	160       	-96190.2  	0         	0         	
102.101   	5000      	160       	-96256.5  	0         	0         	
102.434   	5000      	160       	-96270.1  	0         	0         	
103.429   	5000      	160       	-96342.8  	0         	0         	
104.429   	5000      	160       	-96412.8  	0         	0         	
105.429   	5000      	160       	-96483.2  	0         	0         	
106.429   	5000      	160       	-96555.2  	0         	0         	
107.429   	5000      	160       	-96628.1  	0         	0         	
108.429   	5000      	160       	-96701.4  	0         	0         	
109.429   	5000      	160       	-96775.2  	0         	0         	
110.429   	5000      	160       	-96849.6  	0         	0         	
111.429   	5000      	160       	-96922.6  	0         	0         	
111.762   	5000      	160       	-96939.6  	0         	0         	
112.756   	5000      	160       	-97019.3  	0         	0         	
113.756   	5000      	160       	-97098.8  	0         	0         	
114.756   	5000      	160       	-97178.6  	0         	0         	
115.756   	5000      	160       	-97258.8  	0         	0         	
116.756   	5000      	160       	-97339.5  	0         	0         	
117.756   	5000      	160       	-97420.6  	0         	0         	
118.756   	5000      	160       	-97502.2  	0         	0         	
119.756   	5000      	160       	-97584.4  	0         	0         	
120.756   	5000      	160       	-97699.5  	0         	0         	
121.089   	5000      	160       	-97727.5  	0         	0         	
122.083   	5000      	160       	-97813.8  	0         	0         	
123.083   	5000      	160       	-97895.7  	0         	0         	
124.083   	5000      	160       	-97978.2  	0         	0         	
124.416   	5000      	160       	-97998.7  	0         	0         	
125.41    	5000      	160       	-98083.1  	0         	0         	
126.41    	5000      	160       	-98167.5  	0         	0         	
127.41    	5000      	160       	-98252.3  	0         	0         	
128.41    	5000      	160       	-98336.1  	0         	0         	
128.743   	5000      	160       	-98357.6  	0         	0         	
129.737   	5000      	160       	-98446.6  	0         	0         	
130.737   	5000      	160       	-98537.6  	0         	0         	
131.737   	5000      	160       	-98631.2  	0         	0         	
132.737   	5000      	160       	-98727.1  	0         	0         	
133.737   	5000      	160       	-98820.8  	0         	0         	
134.07    	5000      	160       	-98846.6  	0         	0         	
135.064   	5000      	160       	-98947.5  	0         	0         	
136.064   	5000      	160       	-99050.7  	0         	0         	
137.064   	5000      	160       	-99155.8  	0         	0         	
138.064   	5000      	160       	-99263    	0         	0         	
139.064   	5000      	160       	-98974.2  	0         	0         	
139.507   	5000      	160       	-98868.2  	0         	0         	
140.507   	5000      	160       	-98847.3  	0         	0         	
141.507   	5000      	160       	-98928.9  	0         	0         	
142.507   	5000      	160       	-99056    	0         	0         	
143.507   	5000      	160       	-99199.2  	0         	0         	
144.507   	5000      	160       	-99345.3  	0         	0         	
145.507   	5000      	160       	-99520.4  	0         	0         	
146.507   	5000      	160       	-99712.1  	0         	0         	
147.507   	5000      	160       	-99928.5  	0         	0         	
147.84    	5000      	160       	-99998.6  	0         	0         	
148.71    	5000      	160       	-100202   	0         	0         	
149       	5000      	160       	-100267   	0         	0         	
149.771   	5000      	160       	-100456   	0         	0         	
150.771   	5000      	160       	-100699   	0         	0         	
151.771   	5000      	160       	-100936   	0         	0         	
152.771   	5000      	160       	-101176   	0         	0         	
153.771   	5000      	160       	-101431   	0         	0         	
154.771   	5000      	160       	-101687   	0         	0         	
155.771   	5000      	160       	-101920   	0         	0         	
156.771   	5000      	160       	-101503   	0         	0         	
157.222   	5000      	160       	-101340   	0         	0         	
158.222   	5000      	160       	-101294   	0         	0         	
159.222   	5000      	160       	-101414   	0         	0         	
160.222   	5000      	160       	-101611   	0         	0         	
161.222   	5000      	160       	-101842   	0         	0         	
161.554   	5000      	160       	-101917   	0         	0         	
162.499   	5000      	160       	-102152   	0         	0         	
163.499   	5000      	160       	-102407   	0         	0         	
164.499   	5000      	160       	-102678   	0         	0         	
165.499   	5000      	160       	-102973   	0         	0         	
166.499   	5000      	160       	-103280   	0         	0         	
167.499   	5000      	160       	-103593   	0         	0         	
168.499   	5000      	160       	-103907   	0         	0         	
168.832   	5000      	160       	-104007   	0         	0         	
169.788   	5000      	160       	-104311   	0         	0         	
170.788   	5000      	160       	-104641   	0         	0         	
171.788   	5000      	160       	-104983   	0         	0         	
172.788   	5000      	160       	-105332   	0         	0         	
173.788   	5000      	160       	-105686   	0         	0         	
174.788   	5000      	160       	-106042   	0         	0         	
175.121   	5000      	160       	-106157   	0         	0         	
176.091   	5000      	160       	-106511   	0         	0         	
177.091   	5000      	160       	-106882   	0         	0         	
178.091   	5000      	160       	-106518   	0         	0         	
178.52    	5000      	160       	-106368   	0         	0         	
179.52    	5000      	160       	-106390   	0         	0         	
180.52    	5000      	160       	-106640   	0         	0         	
181.52    	5000      	160       	-107003   	0         	0         	
182.52    	5000      	160       	-107430   	0         	0         	
183.52    	5000      	160       	-107892   	0         	0         	
184.52    	5000      	160       	-108374   	0         	0         	
185.52    	5000      	160       	-108871   	0         	0         	
186.52    	5000      	160       	-109380   	0         	0         	
187.52    	5000      	160       	-109910   	0         	0         	
188.52    	5000      	160       	-110479   	0         	0         	
188.853   	5000      	160       	-110668   	0         	0         	
189.815   	5000      	160       	-111235   	0         	0         	
190.815   	5000      	160       	-111834   	0         	0         	
191.815   	5000      	160       	-112438   	0         	0         	
192.815   	5000      	160       	-113047   	0         	0         	
193.815   	5000      	160       	-113663   	0         	0         	
194.815   	5000      	160       	-114216   	0         	0         	
195.148   	5000      	160       	-114390   	0         	0         	
196.073   	5000      	160       	-114863   	0         	0         	
197.073   	5000      	160       	-115117   	0         	0         	
198.073   	5000      	160       	-115413   	0         	0         	
199.073   	5000      	160       	-115787   	0         	0         	
200.073   	5000      	160       	-115998   	0         	0         	
201.073   	5000      	160       	-116216   	0         	0         	
202.073   	5000      	160       	-116465   	0         	0         	
203.073   	5000      	160       	-116779   	0         	0         	
204.073   	5000      	160       	-117137   	0         	0         	
205.073   	5000      	160       	-117592   	0         	0         	
206.073   	5000      	160       	-118102   	0         	0         	
207.073   	5000      	160       	-118655   	0         	0         	
208.073   	5000      	160       	-119245   	0         	0         	
209.073   	5000      	160       	-118216   	0         	0         	
209.186   	5000      	160       	-118112   	0         	0         	
209.297   	5000      	160       	-118183   	0         	0         	
209.343   	5000      	160       	-118245   	0         	0         	
209.479   	5000      	160       	-118362   	0         	0         	
209.593   	5000      	160       	-118403   	0         	0         	
209.792   	5000      	160       	-118422   	0         	0         	
210.081   	5000      	160       	-118450   	0         	0         	
210.792   	5000      	160       	-119153   	0         	0         	
211.195   	5000      	160       	-119537   	0         	0         	
212.195   	5000      	160       	-120334   	0         	0         	
213.195   	5000      	160       	-120667   	0         	0         	
214.195   	5000      	160       	-120909   	0         	0         	
214.695   	5000      	160       	-121268   	0         	0         	
214.717   	5000      	160       	-121281   	0         	0         	
214.731   	5000      	160       	-121288   	0         	0         	
214.769   	5000      	160       	-121284   	0         	0         	
214.802   	5000      	160       	-121265   	0         	0         	
214.891   	5000      	160       	-121156   	0         	0         	
215.135   	5000      	160       	-120869   	0         	0         	
215.834   	5000      	160       	-120720   	0         	0         	
216.834   	5000      	160       	-121078   	0         	0         	
217.334   	5000      	160       	-121328   	0         	0         	
217.584   	5000      	160       	-121465   	0         	0         	
217.659   	5000      	160       	-121507   	0         	0         	
217.663   	5000      	160       	-121509   	0         	0         	
