Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	3000      	160       	21927.6   	39590.9   	0.018797  	
0.0329912 	3000      	160       	21069.6   	38041.8   	0.044198  	
0.0819232 	3000      	160       	19892.9   	35917.2   	0.075082  	
0.176161  	3000      	160       	18547.9   	33488.8   	0.104907  	
0.34812   	3000      	160       	17246.7   	31139.5   	0.128346  	
0.665748  	3000      	160       	16083.7   	29039.6   	0.144905  	
1.23468   	3000      	160       	15136.4   	27329.2   	0.155402  	
2.18563   	3000      	160       	14520.6   	26217.3   	0.160811  	
3.18563   	3000      	160       	14337.9   	25887.5   	0.162204  	
3.51862   	3000      	160       	14316     	25848     	0.162363  	
4.2882    	3000      	160       	14401.2   	26001.8   	0.161729  	
4.7882    	3000      	160       	14500.8   	26181.6   	0.160962  	
5.7882    	3000      	160       	14813.2   	26745.6   	0.158369  	
6.7882    	3000      	160       	15194.9   	27434.8   	0.154813  	
7.7882    	3000      	160       	15614.4   	28192.3   	0.150411  	
8.7882    	3000      	160       	16049.2   	28977.3   	0.145296  	
9.12114   	3000      	160       	16194.9   	29240.3   	0.143456  	
10.0101   	3000      	160       	16580.6   	29936.7   	0.138275  	
11.0101   	3000      	160       	17000.2   	30694.3   	0.132124  	
12.0101   	3000      	160       	17399.1   	31414.6   	0.125776  	
13.0101   	3000      	160       	17773.6   	32090.7   	0.119368  	
14.0101   	3000      	160       	18121.6   	32719     	0.113021  	
15.0101   	3000      	160       	18442.8   	33299     	0.106826  	
16.0101   	3000      	160       	18737.7   	33831.5   	0.10085   	
17.0101   	3000      	160       	19007.5   	34318.5   	0.0951438 	
18.0101   	3000      	160       	19253.4   	34762.5   	0.0897381 	
18.3429   	3000      	160       	19332.7   	34905.7   	0.0879543 	
19.2869   	3000      	160       	19538.2   	35276.8   	0.0832344 	
19.6011   	3000      	160       	19604.5   	35396.5   	0.0816818 	
20.5005   	3000      	160       	19778.5   	35710.6   	0.077542  	
21.5005   	3000      	160       	19953.9   	36027.4   	0.0732673 	
22.5005   	3000      	160       	20112.9   	36314.5   	0.0693045 	
23.5005   	3000      	160       	20257.2   	36574.9   	0.0656378 	
24.5005   	3000      	160       	20388.1   	36811.3   	0.0622492 	
25.5005   	3000      	160       	20507.1   	37026.1   	0.0591215 	
26.5005   	3000      	160       	20615.2   	37221.3   	0.0562372 	
27.5005   	3000      	160       	20713.5   	37398.9   	0.0535779 	
28.5005   	3000      	160       	20803.2   	37560.8   	0.0511248 	
29.5005   	3000      	160       	20885.2   	37708.7   	0.0488591 	
30.5005   	3000      	160       	20960.2   	37844.3   	0.0467631 	
31.5005   	3000      	160       	21029.2   	37968.8   	0.0448198 	
32.5005   	3000      	160       	21092.8   	38083.6   	0.0430137 	
33.5005   	3000      	160       	21151.6   	38189.7   	0.0413306 	
34.5005   	3000      	160       	21206.1   	38288.2   	0.0397577 	
35.5005   	3000      	160       	21256.9   	38379.9   	0.0382837 	
35.8334   	3000      	160       	21273.4   	38409.8   	0.0378023 	
36.8196   	3000      	160       	21319.3   	38492.5   	0.0364607 	
37.8196   	3000      	160       	21362.9   	38571.3   	0.0351774 	
38.8196   	3000      	160       	21404     	38645.4   	0.0339628 	
39.8196   	3000      	160       	21442.8   	38715.5   	0.0328094 	
40.1525   	3000      	160       	21455.4   	38738.4   	0.0324309 	
41.1416   	3000      	160       	21491.3   	38803.1   	0.0313589 	
42.1416   	3000      	160       	21525.8   	38865.4   	0.0303225 	
43.1416   	3000      	160       	21558.7   	38924.9   	0.0293287 	
44.1416   	3000      	160       	21590.3   	38981.8   	0.0283732 	
45.1416   	3000      	160       	21620.6   	39036.5   	0.0274522 	
46.1416   	3000      	160       	21649.7   	39089.2   	0.0265624 	
47.1416   	3000      	160       	21677.9   	39140     	0.0257008 	
48.1416   	3000      	160       	21705.1   	39189.1   	0.0248646 	
49.1416   	3000      	160       	21731.5   	39236.8   	0.0240513 	
50.1416   	3000      	160       	21757.1   	39283     	0.0232595 	
51.1416   	3000      	160       	21782     	39327.9   	0.022488  	
52.1416   	3000      	160       	21806.2   	39371.6   	0.021735  	
