Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d

0         	0         	-         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5567.48	40.33	1.12085	0	1.12085	0	0	1	0
Seg 1	5570.34	40.33	1.12085	0	1.12085	0	0	1	0
Seg 2	5573.21	40.33	1.12085	0	1.12085	0	0	1	0
Seg 3	5576.07	40.33	1.12085	0	1.12085	0	0	1	0
Seg 4	5578.94	40.33	1.12085	0	1.12085	0	0	1	0
Seg 5	5581.8	40.33	1.12085	0	1.12085	0	0	1	0
Seg 6	5584.67	40.33	1.12085	0	1.12085	0	0	1	0
Seg 7	5587.53	40.33	1.12085	0	1.12085	0	0	1	0
Seg 8	5590.4	40.33	1.12085	0	1.12085	0	0	1	0
Seg 9	5593.26	40.33	1.12085	0	1.12085	0	0	1	0
Seg 10	5596.13	40.33	1.12085	0	1.12085	0	0	1	0
Seg 11	5598.99	40.33	1.12085	0	1.12085	0	0	1	0
Seg 12	5601.86	40.33	1.12085	0	1.12085	0	0	1	0
Seg 13	5604.72	40.33	1.12085	0	1.12085	0	0	1	0
Seg 14	5607.59	40.33	1.12085	0	1.12085	0	0	1	0
Seg 15	5610.45	40.33	1.12085	0	1.12085	0	0	1	0
Seg 16	5613.32	40.33	1.12085	0	1.12085	0	0	1	0
Seg 17	5616.18	40.33	1.12085	0	1.12085	0	0	1	0
Seg 18	5619.05	40.33	1.12085	0	1.12085	0	0	1	0
Seg 19	5621.91	40.33	1.12085	0	1.12085	0	0	1	0
Seg 20	5624.78	40.33	1.12085	0	1.12085	0	0	1	0
Seg 21	5627.64	40.33	1.12085	0	1.12085	0	0	1	0
Seg 22	5630.51	40.33	1.12085	0	1.12085	0	0	1	0
Seg 23	5633.38	40.33	1.12085	0	1.12085	0	0	1	0
Seg 24	5636.24	40.33	1.12085	0	1.12085	0	0	1	0
Seg 25	5639.11	40.33	1.12085	0	1.12085	0	0	1	0
Seg 26	5641.97	40.33	1.12085	0	1.12085	0	0	1	0
Seg 27	5644.84	40.33	1.12085	0	1.12085	0	0	1	0
Seg 28	5647.7	40.33	1.12085	0	1.12085	0	0	1	0
Seg 29	5650.57	40.33	1.12085	0	1.12085	0	0	1	0
Seg 30	5653.43	40.33	1.12085	0	1.12085	0	0	1	0
Seg 31	5656.3	40.33	1.12085	0	1.12085	0	0	1	0
Seg 32	5659.16	40.33	1.12085	0	1.12085	0	0	1	0
Seg 33	5662.03	40.33	1.12085	0	1.12085	0	0	1	0
Seg 34	5664.89	40.33	1.12085	0	1.12085	0	0	1	0
Seg 35	5667.76	40.33	1.12085	0	1.12085	0	0	1	0
Seg 36	5670.62	40.33	1.12085	0	1.12085	0	0	1	0
Seg 37	5673.49	40.33	1.12085	0	1.12085	0	0	1	0
Seg 38	5676.35	40.33	1.12085	0	1.12085	0	0	1	0
Seg 39	5679.22	40.33	1.12085	0	1.12085	0	0	1	0
Seg 40	5682.08	40.33	1.12085	0	1.12085	0	0	1	0
Seg 41	5684.95	40.33	1.12085	0	1.12085	0	0	1	0
Seg 42	5687.81	40.33	1.12085	0	1.12085	0	0	1	0
Seg 43	5690.68	40.33	1.12085	0	1.12085	0	0	1	0
Seg 44	5693.54	40.33	1.12085	0	1.12085	0	0	1	0
Seg 45	5696.41	40.33	1.12085	0	1.12085	0	0	1	0
Seg 46	5699.27	40.33	1.12085	0	1.12085	0	0	1	0
Seg 47	5702.14	40.33	1.12085	0	1.12085	0	0	1	0
Seg 48	5705	40.33	1.12085	0	1.12085	0	0	1	0
Seg 49	5707.87	40.33	1.12085	0	1.12085	0	0	1	0
Seg 50	5710.73	40.33	1.12085	0	1.12085	0	0	1	0
Seg 51	5713.6	40.33	1.12085	0	1.12085	0	0	1	0
Seg 52	5716.46	40.33	1.12085	0	1.12085	0	0	1	0
Seg 53	5719.33	40.33	1.12085	0	1.12085	0	0	1	0
Seg 54	5722.2	40.33	1.12085	0	1.12085	0	0	1	0
Seg 55	5725.06	40.33	1.12085	0	1.12085	0	0	1	0
Seg 56	5727.93	40.33	1.12085	0	1.12085	0	0	1	0
Seg 57	5730.79	40.33	1.12085	0	1.12085	0	0	1	0
Seg 58	5733.66	40.33	1.12085	0	1.12085	0	0	1	0
Seg 59	5736.52	40.33	1.12085	0	1.12085	0	0	1	0
Seg 60	5739.39	40.33	1.12085	0	1.12085	0	0	1	0
Seg 61	5742.25	40.33	1.12085	0	1.12085	0	0	1	0
Seg 62	5745.12	40.33	1.12085	0	1.12085	0	0	1	0
Seg 63	5747.98	40.33	1.12085	0	1.12085	0	0	1	0
Seg 64	5750.85	40.33	1.12085	0	1.12085	0	0	1	0
Seg 65	5753.71	40.33	1.12085	0	1.12085	0	0	1	0
Seg 66	5756.58	40.33	1.12085	0	1.12085	0	0	1	0
Seg 67	5759.44	40.33	1.12085	0	1.12085	0	0	1	0
Seg 68	5762.31	40.33	1.12085	0	1.12085	0	0	1	0
Seg 69	5765.17	40.33	1.12085	0	1.12085	0	0	1	0
Seg 70	5768.04	40.33	1.12085	0	1.12085	0	0	1	0
Seg 71	5770.9	40.33	1.12085	0	1.12085	0	0	1	0
Seg 72	5773.77	40.33	1.12085	0	1.12085	0	0	1	0
Seg 73	5776.63	40.33	1.12085	0	1.12085	0	0	1	0
Seg 74	5779.5	40.33	1.12085	0	1.12085	0	0	1	0
Seg 75	5782.36	40.33	1.12085	0	1.12085	0	0	1	0
Seg 76	5785.23	40.33	1.12085	0	1.12085	0	0	1	0
Seg 77	5788.09	40.33	1.12085	0	1.12085	0	0	1	0
Seg 78	5790.96	40.33	1.12085	0	1.12085	0	0	1	0
Seg 79	5793.82	40.33	1.12085	0	1.12085	0	0	1	0
Seg 80	5796.69	40.33	1.12085	0	1.12085	0	0	1	0
Seg 81	5799.55	40.33	1.12085	0	1.12085	0	0	1	0
Seg 82	5802.42	40.33	1.12085	0	1.12085	0	0	1	0
Seg 83	5805.28	40.33	1.12085	0	1.12085	0	0	1	0
Seg 84	5808.15	40.33	1.12085	0	1.12085	0	0	1	0
Seg 85	5811.02	40.33	1.12085	0	1.12085	0	0	1	0
Seg 86	5813.88	40.33	1.12085	0	1.12085	0	0	1	0
Seg 87	5816.75	40.33	1.12085	0	1.12085	0	0	1	0
Seg 88	5819.61	40.33	1.12085	0	1.12085	0	0	1	0
Seg 89	5822.48	40.33	1.12085	0	1.12085	0	0	1	0
Seg 90	5825.34	40.33	1.12085	0	1.12085	0	0	1	0
Seg 91	5828.21	40.33	1.12085	0	1.12085	0	0	1	0
Seg 92	5831.07	40.33	1.12085	0	1.12085	0	0	1	0
Seg 93	5833.94	40.33	1.12085	0	1.12085	0	0	1	0
Seg 94	5836.8	40.33	1.12085	0	1.12085	0	0	1	0
Seg 95	5839.67	40.33	1.12085	0	1.12085	0	0	1	0
Seg 96	5842.53	40.33	1.12085	0	1.12085	0	0	1	0
Seg 97	5845.4	40.33	1.12085	0	1.12085	0	0	1	0
Seg 98	5848.26	40.33	1.12085	0	1.12085	0	0	1	0
Seg 99	5851.13	40.33	1.12085	0	1.12085	0	0	1	0
Seg 100	5853.99	40.33	1.12085	0	1.12085	0	0	1	0
Seg 101	5856.86	40.33	1.12085	0	1.12085	0	0	1	0
Seg 102	5859.72	40.33	1.12085	0	1.12085	0	0	1	0
Seg 103	5862.59	40.33	1.12085	0	1.12085	0	0	1	0
Seg 104	5865.45	40.33	1.12085	0	1.12085	0	0	1	0
Seg 105	5868.32	40.33	1.12085	0	1.12085	0	0	1	0
Seg 106	5871.18	40.33	1.12085	0	1.12085	0	0	1	0
Seg 107	5874.05	40.33	1.12085	0	1.12085	0	0	1	0
Seg 108	5876.91	40.33	1.12085	0	1.12085	0	0	1	0
Seg 109	5879.78	40.33	1.12085	0	1.12085	0	0	1	0
Seg 110	5882.64	40.33	1.12085	0	1.12085	0	0	1	0
Seg 111	5885.51	40.33	1.12085	0	1.12085	0	0	1	0
Seg 112	5888.37	40.33	1.12085	0	1.12085	0	0	1	0
Seg 113	5891.24	40.33	1.12085	0	1.12085	0	0	1	0
Seg 114	5894.1	40.33	1.12085	0	1.12085	0	0	1	0
Seg 115	5896.97	40.33	1.12085	0	1.12085	0	0	1	0
Seg 116	5899.84	40.33	1.12085	0	1.12085	0	0	1	0
Seg 117	5902.7	40.33	1.12085	0	1.12085	0	0	1	0
Seg 118	5905.57	40.33	1.12085	0	1.12085	0	0	1	0
Seg 119	5908.43	40.33	1.12085	0	1.12085	0	0	1	0
Seg 120	5911.3	40.33	1.12085	0	1.12085	0	0	1	0
Seg 121	5914.16	40.33	1.12085	0	1.12085	0	0	1	0
Seg 122	5917.03	40.33	1.12085	0	1.12085	0	0	1	0
Seg 123	5919.89	40.33	1.12085	0	1.12085	0	0	1	0
Seg 124	5922.76	40.33	1.12085	0	1.12085	0	0	1	0
Seg 125	5925.62	40.33	1.12085	0	1.12085	0	0	1	0
Seg 126	5928.49	40.33	1.12085	0	1.12085	0	0	1	0
Seg 127	5931.35	40.33	1.12085	0	1.12085	0	0	1	0
Seg 128	5934.22	40.33	1.12085	0	1.12085	0	0	1	0
Seg 129	5937.08	40.33	1.12085	0	1.12085	0	0	1	0
Seg 130	5939.95	40.33	1.12085	0	1.12085	0	0	1	0
Seg 131	5942.81	40.33	1.12085	0	1.12085	0	0	1	0
Seg 132	5945.68	40.33	1.12085	0	1.12085	0	0	1	0
Seg 133	5948.54	40.33	1.12085	0	1.12085	0	0	1	0
Seg 134	5951.41	40.33	1.12085	0	1.12085	0	0	1	0
Seg 135	5954.27	40.33	1.12085	0	1.12085	0	0	1	0
Seg 136	5957.14	40.33	1.12085	0	1.12085	0	0	1	0
Seg 137	5960	40.33	1.12085	0	1.12085	0	0	1	0
Seg 138	5962.87	40.33	1.12085	0	1.12085	0	0	1	0
Seg 139	5965.73	40.33	1.12085	0	1.12085	0	0	1	0
Seg 140	5968.6	40.33	1.12085	0	1.12085	0	0	1	0
Seg 141	5971.46	40.33	1.12085	0	1.12085	0	0	1	0
Seg 142	5974.33	40.33	1.12085	0	1.12085	0	0	1	0
Seg 143	5977.19	40.33	1.12085	0	1.12085	0	0	1	0
Seg 144	5980.06	40.33	1.12085	0	1.12085	0	0	1	0
Seg 145	5982.92	40.33	1.12085	0	1.12085	0	0	1	0
Seg 146	5985.79	40.33	1.12085	0	1.12085	0	0	1	0
Seg 147	5988.66	40.33	1.12085	0	1.12085	0	0	1	0
Seg 148	5991.52	40.33	1.12085	0	1.12085	0	0	1	0
Seg 149	5994.39	40.33	1.12085	0	1.12085	0	0	1	0
Seg 150	5997.25	40.33	1.12085	0	1.12085	0	0	1	0
Seg 151	6000.12	40.33	1.12085	0	1.12085	0	0	1	0
