Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4700	40.33	94.1404	0	94.1404	0	0	1	0
Seg 1	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 2	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 3	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 4	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 5	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 6	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 7	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 8	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 9	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 10	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 11	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 12	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 13	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 14	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 15	4700	40.33	17.1718	0	17.1718	0	0	1	0
Seg 16	4712.64	40.33	76.9686	0	76.9686	0	0	1	0
Seg 17	4725.27	40.33	76.9686	0	76.9686	0	0	1	0
Seg 18	4737.91	40.33	38.434	0	38.434	0	0	1	0
Seg 19	4750.54	40.33	38.434	0	38.434	0	0	1	0
Seg 20	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 21	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 22	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 23	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 24	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 25	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 26	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 27	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 28	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 29	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 30	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 31	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 32	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 33	4725.27	40.33	38.5346	0	38.5346	0	0	1	0
Seg 34	4725.27	40.33	38.5346	0	38.5346	0	0	1	0


0.01      	4700      	-         	3643.59   	3168.34   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4700	40.33	2.26877	0.106671	2.1621	0	0.0470171	0.952983	0
Seg 1	4700	40.33	2.26517	0.0913133	2.17386	0	0.040307	0.959693	0
Seg 2	4745.12	40.33	2.25202	0.0778453	2.17417	0	0.0345627	0.965437	0
Seg 3	4789.93	40.33	2.23952	0.069574	2.16995	0	0.0310626	0.968937	0
Seg 4	4834.47	40.33	2.22767	0.061111	2.16656	0	0.0274293	0.972571	0
Seg 5	4878.77	40.33	2.21643	0.0524202	2.16401	0	0.0236478	0.976352	0
Seg 6	4922.84	40.33	2.20579	0.0434645	2.16232	0	0.0197023	0.980298	0
Seg 7	4966.71	40.33	2.19572	0.0342056	2.16152	0	0.0155763	0.984424	0
Seg 8	5010.42	40.33	2.18622	0.024604	2.16162	0	0.0112527	0.988747	0
Seg 9	5053.97	40.33	2.17729	0.0146351	2.16265	0	0.00672084	0.993279	0
Seg 10	5097.39	40.33	2.16886	0.00421598	2.16464	0	0.00194362	0.998056	0
Seg 11	5140.83	40.33	2.16644	1.6665e-009	2.16644	0	7.6914e-010	1	0
Seg 12	5184.36	40.33	2.1679	1.38004e-009	2.1679	0	6.36498e-010	1	0
Seg 13	5227.98	40.33	2.16947	1.07784e-009	2.16947	0	4.96758e-010	1	0
Seg 14	5271.7	40.33	2.17113	7.58845e-010	2.17113	0	3.49471e-010	1	0
Seg 15	5316.33	40.33	2.17287	3.74195e-010	2.17287	0	1.72191e-010	1	0
Seg 16	4876.54	40.33	8.88103	0.255247	8.62578	0	0.0276217	0.972378	0
Seg 17	5049.85	40.33	8.69693	0.066654	8.63027	0	0.00735769	0.992642	0
Seg 18	5180.55	40.33	7.42094	0	7.42094	0	0	1	0
Seg 19	5320.26	40.33	7.4029	0	7.4029	0	0	1	0
Seg 20	5049.86	40.33	1.21099	0.00864401	1.20235	0	0.00713633	0.992864	0
Seg 21	5074.83	40.33	1.20745	0.00499927	1.20245	0	0.00413942	0.995861	0
Seg 22	5099.82	40.33	1.20651	0.00193793	1.20457	0	0.00160587	0.998394	0
Seg 23	5124.89	40.33	1.20697	0	1.20697	0	0	1	0
Seg 24	5150.06	40.33	1.20934	0	1.20934	0	0	1	0
Seg 25	5175.35	40.33	1.21177	0	1.21177	0	0	1	0
Seg 26	5200.75	40.33	1.21427	0	1.21427	0	0	1	0
Seg 27	5226.27	40.33	1.21681	0	1.21681	0	0	1	0
Seg 28	5251.91	40.33	1.21942	0	1.21942	0	0	1	0
Seg 29	5277.67	40.33	1.22209	0	1.22209	0	0	1	0
Seg 30	5303.56	40.33	1.22482	0	1.22482	0	0	1	0
Seg 31	5329.58	40.33	1.2276	0	1.2276	0	0	1	0
Seg 32	5355.74	40.33	1.23045	3.83973e-009	1.23045	0	3.1199e-009	1	0
Seg 33	5382.03	40.33	1.23335	1.23288e-008	1.23335	0	9.99396e-009	1	0
Seg 34	5408.72	40.33	1.23631	8.78365e-009	1.23631	0	7.10315e-009	1	0


0.11      	4700      	-         	3616.77   	3145.02   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4700	40.33	2.2717	0.115765	2.15594	0	0.0509597	0.94904	0
Seg 1	4700	40.33	2.27613	0.115646	2.16048	0	0.0508024	0.949198	0
Seg 2	4745.28	40.33	2.26277	0.101975	2.16079	0	0.045061	0.954939	0
Seg 3	4790.29	40.33	2.24975	0.088787	2.16096	0	0.0394606	0.960539	0
Seg 4	4835.04	40.33	2.23704	0.0758917	2.16115	0	0.0339208	0.966079	0
Seg 5	4879.55	40.33	2.22465	0.063279	2.16137	0	0.028441	0.971559	0
Seg 6	4923.81	40.33	2.21255	0.05094	2.16161	0	0.0230204	0.97698	0
