Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.01      	4700      	-         	3643.59   	3168.34   	
0.11      	4700      	-         	3616.77   	3145.02   	
0.402091  	4700      	-         	3610.46   	3139.53   	
1.25793   	4700      	-         	3600.27   	3130.67   	
3.73106   	4700      	-         	3579.45   	3112.56   	
10.5983   	4700      	-         	3532.12   	3071.41   	
20.5983   	4700      	-         	3466.58   	3014.42   	
30.5983   	4700      	-         	3401.64   	2957.94   	
40.5983   	4700      	-         	3336.91   	2901.66   	
50        	4700      	-         	3275.96   	2848.66   	
