Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4800	40.33	85.7679	0	72.2485	13.5194	0	0.842372	0.157628
Seg 1	4800	40.33	19.6797	0	16.5777	3.10208	0	0.842372	0.157628
Seg 2	4800	40.33	19.6797	0	16.5777	3.10208	0	0.842372	0.157628
Seg 3	4800	40.33	19.6797	0	16.5777	3.10208	0	0.842372	0.157628
Seg 4	4800	40.33	19.6797	0	16.5777	3.10208	0	0.842372	0.157628
Seg 5	4800	40.33	19.6797	0	16.5777	3.10208	0	0.842372	0.157628
Seg 6	4800	40.33	19.6797	0	16.5777	3.10208	0	0.842372	0.157628
Seg 7	4800	40.33	19.6797	0	16.5777	3.10208	0	0.842372	0.157628
Seg 8	4800	40.33	9.83987	0	8.28883	1.55104	0	0.842372	0.157628
Seg 9	4800	40.33	9.83987	0	8.28883	1.55104	0	0.842372	0.157628
Seg 10	4800	40.33	9.83987	0	8.28883	1.55104	0	0.842372	0.157628
Seg 11	4800	40.33	9.83987	0	8.28883	1.55104	0	0.842372	0.157628
Seg 12	4800	40.33	9.83987	0	8.28883	1.55104	0	0.842372	0.157628
Seg 13	4800	40.33	9.83987	0	8.28883	1.55104	0	0.842372	0.157628
Seg 14	4800	40.33	9.83987	0	8.28883	1.55104	0	0.842372	0.157628
Seg 15	4800	40.33	9.83987	0	8.28883	1.55104	0	0.842372	0.157628
Seg 16	4813.1	40.33	66.0881	0	55.6708	10.4173	0	0.842372	0.157628
Seg 17	4826.2	40.33	66.0881	0	55.6708	10.4173	0	0.842372	0.157628
Seg 18	4839.3	40.33	21.9747	0	18.5109	3.46384	0	0.842372	0.157628
Seg 19	4852.4	40.33	21.9747	0	18.5109	3.46384	0	0.842372	0.157628
Seg 20	4826.2	40.33	44.1134	0	37.1599	6.95351	0	0.842372	0.157628
Seg 21	4826.2	40.33	44.1134	0	37.1599	6.95351	0	0.842372	0.157628
Seg 22	4826.2	40.33	44.1134	0	37.1599	6.95351	0	0.842372	0.157628
Seg 23	4826.2	40.33	44.1134	0	37.1599	6.95351	0	0.842372	0.157628
Seg 24	4826.2	40.33	44.1134	0	37.1599	6.95351	0	0.842372	0.157628
Seg 25	4826.2	40.33	44.1134	0	37.1599	6.95351	0	0.842372	0.157628
Seg 26	4826.2	40.33	44.1134	0	37.1599	6.95351	0	0.842372	0.157628
Seg 27	4826.2	40.33	22.0567	0	18.5799	3.47676	0	0.842372	0.157628
Seg 28	4826.2	40.33	22.0567	0	18.5799	3.47676	0	0.842372	0.157628
Seg 29	4826.2	40.33	22.0567	0	18.5799	3.47676	0	0.842372	0.157628
Seg 30	4826.2	40.33	22.0567	0	18.5799	3.47676	0	0.842372	0.157628
Seg 31	4826.2	40.33	22.0567	0	18.5799	3.47676	0	0.842372	0.157628
Seg 32	4826.2	40.33	22.0567	0	18.5799	3.47676	0	0.842372	0.157628
Seg 33	4826.2	40.33	22.0567	0	18.5799	3.47676	0	0.842372	0.157628
Seg 34	4826.2	40.33	22.0567	0	18.5799	3.47676	0	0.842372	0.157628


0.01      	4800      	-         	3125.76   	2718.05   	850.65    	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4800	40.33	2.26962	0.0715294	1.85089	0.347201	0.031516	0.815506	0.152978
Seg 1	4800.01	40.33	2.87867	0.0876137	2.34983	0.441227	0.0304324	0.816293	0.153275
Seg 2	4882.28	40.33	2.85358	0.0620051	2.35045	0.441118	0.0217267	0.823689	0.154584
Seg 3	4963.83	40.33	2.83003	0.0404943	2.34895	0.440586	0.0143073	0.83001	0.155682
Seg 4	5044.74	40.33	2.80798	0.0189076	2.34885	0.440215	0.00673285	0.836494	0.156773
Seg 5	5125.15	40.33	2.78966	0	2.34965	0.440004	0	0.842273	0.157727
Seg 6	5205.57	40.33	2.7882	0	2.34827	0.439933	0	0.842216	0.157784
Seg 7	5287.02	40.33	2.78688	3.88918e-015	2.347	0.439875	1.39539e-015	0.842162	0.157838
Seg 8	5294.85	40.33	0.867809	4.49071e-016	0.729685	0.138124	5.17306e-016	0.840836	0.159164
Seg 9	5302.72	40.33	0.870077	5.25655e-016	0.731707	0.138371	6.03949e-016	0.840967	0.159033
Seg 10	5310.64	40.33	0.872362	6.7391e-016	0.733762	0.138599	7.72258e-016	0.841122	0.158878
Seg 11	5318.6	40.33	0.874662	7.83705e-016	0.735856	0.138806	8.95715e-016	0.841303	0.158697
Seg 12	5326.6	40.33	0.876979	9.71011e-016	0.73799	0.138988	1.10686e-015	0.841514	0.158486
Seg 13	5334.64	40.33	0.879311	1.06607e-015	0.74017	0.139141	1.21199e-015	0.841761	0.158239
Seg 14	5342.72	40.33	0.88166	1.24613e-015	0.7424	0.13926	1.41293e-015	0.842048	0.157952
Seg 15	5351	40.33	0.884024	1.51778e-015	0.744685	0.139338	1.71635e-015	0.842382	0.157618
Seg 16	4949.46	40.33	7.58745	0.127458	6.28337	1.17662	0.0160012	0.828619	0.15538
Seg 17	5097.33	40.33	7.47533	0.0130424	6.28623	1.17605	0.00166039	0.838159	0.160181
Seg 18	5193.57	40.33	5.84583	7.85174e-010	4.92493	0.920897	1.26135e-010	0.838339	0.161661
Seg 19	5296.14	40.33	5.83681	5.03836e-010	4.91612	0.920688	8.10708e-011	0.838095	0.161905
Seg 20	5097.34	40.33	1.61255	0.00281515	1.3548	0.254937	0.00174547	0.840159	0.158096
Seg 21	5147.08	40.33	1.60899	2.4116e-010	1.35409	0.254899	1.49856e-010	0.841578	0.158422
Seg 22	5196.9	40.33	1.60963	2.00405e-010	1.35464	0.254994	1.24481e-010	0.841582	0.158418
Seg 23	5246.8	40.33	1.61038	1.57061e-010	1.35528	0.255092	9.7513e-011	0.841595	0.158405
Seg 24	5296.78	40.33	1.61123	1.10886e-010	1.35603	0.255191	6.88089e-011	0.841617	0.158383
Seg 25	5346.86	40.33	1.61218	6.16238e-011	1.35689	0.255291	3.82171e-011	0.841649	0.158351
Seg 26	5397.42	40.33	1.61323	1.66737e-011	1.35784	0.255389	1.03338e-011	0.841691	0.158309
Seg 27	5400.19	40.33	0.37734	1.23038e-012	0.317007	0.060333	3.25819e-012	0.84011	0.15989
Seg 28	5403	40.33	0.379745	1.23616e-012	0.319055	0.06069	3.25277e-012	0.840182	0.159818
Seg 29	5405.84	40.33	0.382156	1.23318e-012	0.321119	0.0610368	3.22448e-012	0.840283	0.159717
Seg 30	5408.72	40.33	0.384573	1.21822e-012	0.323203	0.0613697	3.16536e-012	0.840421	0.159579
Seg 31	5411.64	40.33	0.386995	1.18685e-012	0.325312	0.0616832	3.06456e-012	0.84061	0.15939
Seg 32	5414.59	40.33	0.389424	1.13321e-012	0.327453	0.0619703	2.90782e-012	0.840867	0.159133
Seg 33	5417.58	40.33	0.391858	1.04922e-012	0.329637	0.0622213	2.67559e-012	0.841215	0.158785
Seg 34	5420.63	40.33	0.394298	6.89615e-013	0.331875	0.0624234	1.7477e-012	0.841685	0.158315


0.11      	4800      	-         	3100.49   	2696.08   	843.655   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4800	40.33	2.26754	0.0738401	1.8485	0.345198	0.032564	0.815201	0.152235
Seg 1	4800.01	40.33	2.87611	0.0936753	2.34584	0.4366	0.0325669	0.815631	0.151803
Seg 2	4881.96	40.33	2.85105	0.0681021	2.34646	0.436492	0.0238843	0.823017	0.153099
Seg 3	4963.22	40.33	2.82703	0.0436098	2.34706	0.436364	0.0154244	0.830221	0.154354
Seg 4	5043.82	40.33	2.80401	0.0201012	2.34767	0.43624	0.007168	0.837255	0.155577
Seg 5	5123.84	40.33	2.78395	0	2.34783	0.436118	0	0.843346	0.156654
Seg 6	5203.76	40.33	2.78051	0	2.34452	0.435998	0	0.843195	0.156805
Seg 7	5284.58	40.33	2.77704	0	2.34116	0.435878	0	0.843042	0.156958
Seg 8	5292.6	40.33	0.879152	0	0.741028	0.138124	0	0.84289	0.15711
Seg 9	5300.63	40.33	0.879042	0	0.740951	0.138091	0	0.842907	0.157093
Seg 10	5308.66	40.33	0.878933	0	0.740872	0.138061	0	0.842922	0.157078
Seg 11	5316.68	40.33	0.878823	0	0.740791	0.138032	0	0.842935	0.157065
Seg 12	5324.7	40.33	0.878714	0	0.740708	0.138006	0	0.842946	0.157054
Seg 13	5332.73	40.33	0.878604	0	0.740622	0.137982	0	0.842953	0.157047
Seg 14	5340.75	40.33	0.878495	0	0.740533	0.137962	0	0.842957	0.157043
Seg 15	5348.91	40.33	0.878384	0	0.740438	0.137946	0	0.842955	0.157045
Seg 16	4949.2	40.33	7.5805	0.127878	6.27801	1.17461	0.0160681	0.828686	0.155245
Seg 17	5096.8	40.33	7.46854	0.0134617	6.28099	1.17409	0.00171526	0.838233	0.160052
Seg 18	5192.7	40.33	5.83336	0	4.91345	0.919915	0	0.838165	0.161835
Seg 19	5294.89	40.33	5.82416	0	4.90453	0.919633	0	0.837921	0.162079
Seg 20	5096.81	40.33	1.61783	0.00291493	1.36101	0.253906	0.00180144	0.841256	0.156943
Seg 21	5146.84	40.33	1.61417	2.55608e-013	1.36031	0.253868	1.58324e-013	0.842726	0.157274
Seg 22	5196.82	40.33	1.61293	0	1.35911	0.253814	0	0.842638	0.157362
Seg 23	5246.77	40.33	1.61168	0	1.35792	0.253761	0	0.842549	0.157451
Seg 24	5296.67	40.33	1.61044	0	1.35673	0.253709	0	0.84246	0.15754
Seg 25	5346.55	40.33	1.6092	0	1.35554	0.253659	0	0.842369	0.157631
Seg 26	5396.75	40.33	1.60795	0	1.35434	0.253611	0	0.842277	0.157723
Seg 27	5399.69	40.33	0.389175	1.59436e-013	0.327664	0.0615109	4.09377e-013	0.841945	0.158055
Seg 28	5402.64	40.33	0.389157	1.35392e-013	0.327672	0.0614845	3.47654e-013	0.842006	0.157994
Seg 29	5405.58	40.33	0.389139	1.10719e-013	0.327681	0.0614582	2.84315e-013	0.842066	0.157934
Seg 30	5408.53	40.33	0.389121	8.56845e-014	0.327689	0.0614325	2.20038e-013	0.842125	0.157875
Seg 31	5411.47	40.33	0.389103	6.07408e-014	0.327696	0.0614079	1.5599e-013	0.842181	0.157819
Seg 32	5414.42	40.33	0.389086	3.6486e-014	0.327701	0.0613852	9.37047e-014	0.842232	0.157768
Seg 33	5417.36	40.33	0.389068	1.369e-014	0.327703	0.0613654	3.51609e-014	0.842276	0.157724
Seg 34	5420.33	40.33	0.38905	0	0.3277	0.0613498	0	0.842309	0.157691


0.398618  	4800      	-         	3093.84   	2690.29   	841.866   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4800	40.33	2.26269	0.0737048	1.84463	0.344348	0.032574	0.815241	0.152185
Seg 1	4800.01	40.33	2.86912	0.0935542	2.3415	0.434074	0.032604	0.816104	0.151292
Seg 2	4881.53	40.33	2.84424	0.0681577	2.34211	0.433967	0.023961	0.823461	0.152578
Seg 3	4962.38	40.33	2.82038	0.0437998	2.34272	0.433859	0.0155282	0.830642	0.15383
Seg 4	5042.56	40.33	2.79751	0.0204288	2.34333	0.433752	0.00730176	0.837649	0.155049
Seg 5	5122.17	40.33	2.77721	0	2.34356	0.433645	0	0.843856	0.156144
Seg 6	5201.68	40.33	2.77379	0	2.34025	0.433539	0	0.843702	0.156298
Seg 7	5282.07	40.33	2.77035	0	2.33691	0.433432	0	0.843546	0.156454
Seg 8	5290.14	40.33	0.88169	0	0.743698	0.137992	0	0.843491	0.156509
Seg 9	5298.21	40.33	0.88158	0	0.743594	0.137986	0	0.843479	0.156521
Seg 10	5306.28	40.33	0.88147	0	0.74349	0.13798	0	0.843466	0.156534
Seg 11	5314.35	40.33	0.881359	0	0.743386	0.137974	0	0.843453	0.156547
Seg 12	5322.41	40.33	0.881249	0	0.743281	0.137968	0	0.84344	0.15656
Seg 13	5330.48	40.33	0.881139	0	0.743177	0.137962	0	0.843427	0.156573
Seg 14	5338.54	40.33	0.881029	0	0.743073	0.137957	0	0.843414	0.156586
Seg 15	5346.75	40.33	0.880917	0	0.742966	0.137951	0	0.843401	0.156599
Seg 16	4948.73	40.33	7.56653	0.12796	6.26359	1.17498	0.0161066	0.828319	0.155575
Seg 17	5095.87	40.33	7.45515	0.0141294	6.26656	1.17446	0.00180341	0.837818	0.160378
Seg 18	5191.47	40.33	5.82146	0	4.90059	0.920869	0	0.837663	0.162337
Seg 19	5293.34	40.33	5.81231	0	4.89173	0.920588	0	0.837416	0.162584
Seg 20	5095.88	40.33	1.61596	0.00306342	1.35957	0.253328	0.00189539	0.841338	0.156767
Seg 21	5145.78	40.33	1.61219	0	1.3589	0.25329	0	0.84289	0.15711
Seg 22	5195.63	40.33	1.61095	0	1.3577	0.253252	0	0.842793	0.157207
Seg 23	5245.45	40.33	1.60971	0	1.35649	0.253213	0	0.842696	0.157304
Seg 24	5295.23	40.33	1.60847	0	1.35529	0.253174	0	0.842599	0.157401
Seg 25	5344.98	40.33	1.60723	0	1.3541	0.253136	0	0.842502	0.157498
Seg 26	5395.05	40.33	1.60599	0	1.35289	0.253097	0	0.842404	0.157596
Seg 27	5398.07	40.33	0.394001	0	0.331893	0.0621078	0	0.842366	0.157634
Seg 28	5401.08	40.33	0.393982	0	0.331877	0.0621052	0	0.842365	0.157635
Seg 29	5404.1	40.33	0.393964	0	0.331861	0.0621029	0	0.842364	0.157636
Seg 30	5407.12	40.33	0.393945	0	0.331844	0.0621009	0	0.842362	0.157638
Seg 31	5410.14	40.33	0.393927	0	0.331827	0.0620991	0	0.842359	0.157641
Seg 32	5413.15	40.33	0.393908	0	0.33181	0.0620977	0	0.842355	0.157645
Seg 33	5416.17	40.33	0.39389	0	0.331793	0.0620965	0	0.84235	0.15765
Seg 34	5419.21	40.33	0.393871	0	0.331775	0.0620956	0	0.842345	0.157655


1.23799   	4800      	-         	3083.48   	2681.28   	839.361   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4800	40.33	2.25524	0.0734585	1.83846	0.343319	0.0325724	0.815196	0.152232
Seg 1	4800.01	40.33	2.8622	0.0934598	2.33911	0.429625	0.0326499	0.817246	0.150104
Seg 2	4881.07	40.33	2.83747	0.0682298	2.33972	0.42952	0.0240436	0.824582	0.151375
Seg 3	4961.46	40.33	2.81377	0.0440261	2.34033	0.429414	0.0156451	0.831743	0.152612
Seg 4	5041.2	40.33	2.79104	0.0207979	2.34093	0.429309	0.00745089	0.838732	0.153817
Seg 5	5120.35	40.33	2.77045	0	2.34125	0.429205	0	0.845078	0.154922
Seg 6	5199.41	40.33	2.76706	0	2.33796	0.429101	0	0.844925	0.155075
Seg 7	5279.35	40.33	2.76364	0	2.33464	0.428996	0	0.844771	0.155229
Seg 8	5287.45	40.33	0.88387	0	0.746615	0.137255	0	0.844711	0.155289
Seg 9	5295.55	40.33	0.883759	0	0.746509	0.13725	0	0.844698	0.155302
Seg 10	5303.66	40.33	0.883648	0	0.746404	0.137245	0	0.844684	0.155316
Seg 11	5311.76	40.33	0.883538	0	0.746298	0.137239	0	0.844671	0.155329
Seg 12	5319.86	40.33	0.883427	0	0.746193	0.137234	0	0.844657	0.155343
Seg 13	5327.95	40.33	0.883316	0	0.746087	0.137228	0	0.844644	0.155356
Seg 14	5336.05	40.33	0.883205	0	0.745982	0.137223	0	0.844631	0.155369
Seg 15	5344.3	40.33	0.883092	0	0.745875	0.137218	0	0.844617	0.155383
