Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	4800      	-         	3125.76   	2718.05   	850.65    	
0.11      	4800      	-         	3100.49   	2696.08   	843.655   	
0.398618  	4800      	-         	3093.84   	2690.29   	841.866   	
1.23799   	4800      	-         	3083.48   	2681.28   	839.361   	
3.65548   	4800      	-         	3058.76   	2659.79   	833.722   	
10.2537   	4800      	-         	2994.79   	2604.16   	819.808   	
20.2537   	4800      	-         	2899.78   	2521.55   	800.323   	
30.2537   	4800      	-         	2805.25   	2439.35   	781.868   	
40.2537   	4800      	-         	2710.92   	2357.33   	764.148   	
50.2537   	4800      	-         	2616.65   	2275.35   	746.905   	
60.2537   	4800      	-         	2522.66   	2193.62   	730       	
70.2537   	4800      	-         	2429.12   	2112.28   	713.292   	
80.2537   	4800      	-         	2335.98   	2031.29   	696.668   	
90.2537   	4800      	-         	2242.25   	1949.78   	682.625   	
100       	4800      	-         	2151.63   	1870.99   	669.176   	
