Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	305	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 1	315.383	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 2	325.765	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 3	336.148	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 4	346.53	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 5	356.913	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 6	367.296	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 7	377.678	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 8	388.061	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 9	398.443	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 10	408.826	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 11	419.209	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 12	429.591	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 13	439.974	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 14	450.356	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 15	460.739	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 16	471.122	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 17	481.504	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 18	491.887	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 19	502.269	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 20	512.652	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 21	523.035	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 22	533.417	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 23	543.8	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 24	554.183	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 25	564.565	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 26	574.948	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 27	585.33	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 28	595.713	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 29	606.096	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 30	616.478	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 31	626.861	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 32	637.243	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 33	647.626	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 34	658.009	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 35	668.391	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 36	678.774	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 37	689.156	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 38	699.539	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 39	709.922	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 40	720.304	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 41	730.687	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 42	741.069	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 43	751.452	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 44	761.835	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 45	772.217	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 46	782.6	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 47	792.982	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 48	803.365	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 49	813.748	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 50	824.13	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 51	834.513	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 52	844.895	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 53	855.278	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 54	865.661	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 55	876.043	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 56	886.426	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 57	896.808	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 58	907.191	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 59	917.574	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 60	927.956	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 61	938.339	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 62	948.721	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 63	959.104	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 64	969.487	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 65	979.869	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 66	990.252	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 67	1000.63	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 68	1011.02	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 69	1021.4	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 70	1031.78	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
