Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.5       	305       	-         	744.62    	7761.38   	9492.91   	
0.536508  	305       	-         	824.532   	7706.3    	9219.89   	
0.565787  	305       	-         	901.758   	7707.9    	9068.37   	
0.594103  	305       	-         	980.565   	7713.96   	8936.59   	
0.622877  	305       	-         	1061.58   	7719.33   	8810.58   	
0.652573  	305       	-         	1144.26   	7723      	8687.08   	
0.683385  	305       	-         	1227.77   	7724.57   	8565.11   	
0.715417  	305       	-         	1311.26   	7723.8    	8444.3    	
0.748749  	305       	-         	1393.86   	7720.53   	8324.57   	
0.783457  	305       	-         	1474.77   	7714.64   	8205.89   	
0.819615  	305       	-         	1553.15   	7706.06   	8088.29   	
0.857301  	305       	-         	1628.15   	7694.74   	7971.82   	
0.896596  	305       	-         	1698.89   	7680.7    	7856.6    	
0.937584  	305       	-         	1764.5    	7663.96   	7742.71   	
0.980352  	305       	-         	1824.12   	7644.52   	7630.2    	
1.02499   	305       	-         	1876.92   	7622.39   	7519.12   	
1.0716    	305       	-         	1922.18   	7597.58   	7409.48   	
1.12026   	305       	-         	1959.27   	7570.02   	7301.24   	
1.1711    	305       	-         	1987.74   	7539.72   	7194.37   	
1.22421   	305       	-         	2007.32   	7506.66   	7088.85   	
1.27971   	305       	-         	2017.97   	7470.84   	6984.62   	
1.33773   	305       	-         	2019.87   	7432.22   	6881.58   	
1.3984    	305       	-         	2013.42   	7390.73   	6779.61   	
1.46187   	305       	-         	1999.25   	7346.31   	6678.57   	
1.52829   	305       	-         	1978.19   	7298.91   	6578.34   	
1.59785   	305       	-         	1951.21   	7248.47   	6478.78   	
1.67074   	305       	-         	1919.39   	7194.99   	6379.77   	
1.74718   	305       	-         	1883.84   	7138.49   	6281.22   	
1.82741   	305       	-         	1845.65   	7079.01   	6183.05   	
1.91168   	305       	-         	1805.84   	7016.64   	6085.22   	
2.0003    	305       	-         	1765.28   	6951.51   	5987.67   	
2.09355   	305       	-         	1724.68   	6883.74   	5890.36   	
2.19169   	305       	-         	1684.58   	6813.56   	5793.34   	
2.29373   	305       	-         	1645.75   	6741.99   	5697.73   	
2.39938   	305       	-         	1608.43   	6669.52   	5603.79   	
2.50829   	305       	-         	1572.69   	6596.62   	5511.79   	
2.62041   	305       	-         	1538.44   	6523.49   	5421.65   	
2.73582   	305       	-         	1505.49   	6450.23   	5333.21   	
2.8546    	305       	-         	1473.68   	6376.9    	5246.3    	
2.97688   	305       	-         	1442.88   	6303.53   	5160.73   	
3.10277   	305       	-         	1413      	6230.18   	5076.37   	
3.23239   	305       	-         	1383.97   	6156.89   	4993.11   	
3.36586   	305       	-         	1355.78   	6083.72   	4910.83   	
3.50329   	305       	-         	1328.41   	6010.71   	4829.45   	
3.64479   	305       	-         	1301.87   	5937.93   	4748.92   	
3.79047   	305       	-         	1276.13   	5865.41   	4669.17   	
3.94046   	305       	-         	1251.18   	5793.19   	4590.13   	
4.09485   	305       	-         	1227      	5721.29   	4511.76   	
4.25343   	305       	-         	1203.58   	5649.85   	4434.15   	
4.41456   	305       	-         	1181.11   	5579.61   	4358.04   	
4.5777    	305       	-         	1159.58   	5510.72   	4283.57   	
4.74275   	305       	-         	1138.93   	5443.17   	4210.7    	
4.90972   	305       	-         	1119.08   	5376.87   	4139.31   	
5.07868   	305       	-         	1099.98   	5311.75   	4069.3    	
5.24923   	305       	-         	1081.62   	5247.89   	4000.77   	
5.42077   	305       	-         	1064      	5185.44   	3933.85   	
5.59323   	305       	-         	1047.1    	5124.35   	3868.51   	
5.76667   	305       	-         	1030.85   	5064.52   	3804.64   	
5.94123   	305       	-         	1015.21   	5005.84   	3742.13   	
6.11702   	305       	-         	1000.14   	4948.23   	3680.88   	
6.29418   	305       	-         	985.584   	4891.58   	3620.79   	
6.47284   	305       	-         	971.512   	4835.8    	3561.8    	
6.65312   	305       	-         	957.888   	4780.83   	3503.81   	
6.83515   	305       	-         	944.679   	4726.58   	3446.78   	
7.01904   	305       	-         	931.857   	4672.99   	3390.62   	
7.20492   	305       	-         	919.395   	4620.01   	3335.31   	
7.3929    	305       	-         	907.269   	4567.57   	3280.79   	
7.5831    	305       	-         	895.459   	4515.62   	3227.01   	
7.77564   	305       	-         	883.945   	4464.12   	3173.94   	
7.97065   	305       	-         	872.709   	4413.02   	3121.55   	
8.16825   	305       	-         	861.779   	4361.42   	3069.4    	
8.36856   	305       	-         	854.454   	4241.11   	2986.49   	
8.57162   	305       	-         	844.621   	4158.84   	2929.35   	
8.77743   	305       	-         	833.231   	4088.55   	2879.54   	
8.98603   	305       	-         	822.092   	4024.08   	2832.82   	
9.19753   	305       	-         	811.579   	3963.12   	2787.64   	
9.41204   	305       	-         	801.579   	3904.51   	2743.32   	
9.62975   	305       	-         	791.939   	3847.62   	2699.51   	
9.85083   	305       	-         	782.558   	3792.11   	2656.07   	
10.0755   	305       	-         	773.376   	3737.75   	2612.92   	
10.304    	305       	-         	764.363   	3684.38   	2570.02   	
10.5365   	305       	-         	755.5     	3631.88   	2527.35   	
10.7734   	305       	-         	746.771   	3580.12   	2484.87   	
11.0148   	305       	-         	738.168   	3529.02   	2442.6    	
11.261    	305       	-         	729.68    	3478.49   	2400.5    	
11.5124   	305       	-         	721.297   	3428.44   	2358.57   	
11.7691   	305       	-         	713.013   	3378.82   	2316.8    	
12.0316   	305       	-         	704.817   	3329.55   	2275.18   	
12.3001   	305       	-         	696.704   	3280.58   	2233.72   	
12.5749   	305       	-         	688.667   	3231.85   	2192.41   	
12.8566   	305       	-         	680.699   	3183.31   	2151.24   	
13.1453   	305       	-         	672.793   	3134.92   	2110.21   	
13.4417   	305       	-         	664.944   	3086.63   	2069.33   	
13.746    	305       	-         	657.144   	3038.4    	2028.59   	
14.0589   	305       	-         	649.389   	2990.19   	1987.98   	
14.3808   	305       	-         	641.671   	2941.97   	1947.52   	
14.7123   	305       	-         	633.986   	2893.69   	1907.19   	
15        	305       	-         	627.498   	2852.75   	1873.16   	
