Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	128	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 1	128	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 2	149.444	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 3	170.889	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 4	192.333	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 5	213.778	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 6	235.222	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 7	256.666	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 8	278.111	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 9	299.555	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 10	321	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 11	342.444	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 12	363.888	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 13	385.333	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 14	406.777	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 15	428.222	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 16	449.666	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 17	471.111	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 18	492.555	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 19	513.999	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 20	535.444	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 21	556.888	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 22	578.333	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 23	599.777	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 24	621.221	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 25	642.666	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 26	664.11	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 27	685.555	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 28	706.999	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 29	728.443	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 30	749.888	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 31	771.332	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 32	792.777	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 33	814.221	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 34	835.665	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 35	857.11	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 36	878.554	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 37	899.999	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 38	921.443	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 39	942.888	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 40	964.332	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 41	985.776	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 42	1007.22	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 43	1028.67	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 44	1050.11	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 45	1071.55	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 46	1093	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 47	1114.44	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
Seg 48	1135.89	76.33	2.44122	0.311435	0.0515715	2.07822	0.127573	0.0211252	0.851301
