Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.002     	128       	-         	533.953   	104.377   	3855.43   	
0.00714767	128       	-         	544.938   	107.163   	3957.53   	
0.018115  	128       	-         	543.542   	108.092   	3990.31   	
0.0367328 	128       	-         	529.751   	106.976   	3946.99   	
0.0638687 	128       	-         	512.9     	105.352   	3884.7    	
0.100891  	128       	-         	495.806   	103.611   	3818.06   	
0.150205  	128       	-         	478.954   	101.802   	3748.95   	
0.214882  	128       	-         	462.165   	99.9045   	3676.52   	
0.297863  	128       	-         	445.074   	97.8789   	3599.34   	
0.401059  	128       	-         	427.381   	95.697    	3516.34   	
0.521118  	128       	-         	409.5     	93.4187   	3429.86   	
0.653166  	128       	-         	391.907   	91.1132   	3342.54   	
0.793781  	128       	-         	374.868   	88.8205   	3255.89   	
0.943302  	128       	-         	358.272   	86.5274   	3169.39   	
1.10321   	128       	-         	341.991   	84.2144   	3082.34   	
1.2753    	128       	-         	325.945   	81.8666   	2994.15   	
1.46157   	128       	-         	310.099   	79.4738   	2904.45   	
1.66422   	128       	-         	294.445   	77.0293   	2813      	
1.88577   	128       	-         	278.991   	74.5284   	2719.62   	
2.12913   	128       	-         	263.86    	71.9447   	2623.37   	
2.39714   	128       	-         	249.118   	69.2998   	2525.07   	
2.69328   	128       	-         	234.554   	66.5945   	2424.71   	
3.02024   	128       	-         	220.147   	63.8075   	2321.52   	
3.3785    	128       	-         	206.262   	61.0039   	2217.9    	
3.77784   	128       	-         	192.854   	58.1814   	2113.77   	
4.23411   	128       	-         	179.65    	55.289    	2007.26   	
4.76162   	128       	-         	166.654   	52.3296   	1898.48   	
5.36615   	128       	-         	154.053   	49.353    	1789.26   	
6.05108   	128       	-         	142.011   	46.4124   	1681.55   	
6.6       	128       	-         	133.54    	44.287    	1603.82   	
