Results for well: MSWell_2_Seg.out in the reservoir: MSWell_2_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d

0         	0         	-         	0         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4981.06	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 1	4981.06	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 2	4987.31	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 3	4993.57	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 4	4999.82	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 5	5006.07	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 6	5012.33	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 7	5018.58	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 8	5024.84	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 9	5031.09	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 10	5037.34	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 11	5043.6	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 12	5049.85	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 13	5056.11	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 14	5062.36	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758
Seg 15	5068.62	40.33	7.06011	0	5.93926	1.12085	0	0.841242	0.158758



0.1       	5092.7    	-         	7.6987e-009	-3.53366e-009	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5092.7	40.33	1.15111	3.49165e-013	-1.89526e-013	1.15111	3.03329e-013	-1.64646e-013	1
Seg 1	5092.7	40.33	1.15111	3.59604e-013	-1.72273e-013	1.15111	3.12398e-013	-1.49658e-013	1
Seg 2	5117.29	40.33	1.15111	4.37616e-013	-2.95088e-013	1.15111	3.80168e-013	-2.5635e-013	1
Seg 3	5141.87	40.33	1.15111	2.77207e-013	-1.80835e-013	1.15111	2.40818e-013	-1.57097e-013	1
