Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t		BHP		q(Gas)		q(Oil)		 q(Water)
days		psi		Mscf/d		stb/d		stb/d

0         	4500      	0         	0         	0         	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 1	4507.31   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 2	4514.61   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 3	4521.92   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 4	4529.22   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 5	4536.53   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 6	4543.84   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 7	4551.14   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 8	4558.45   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 9	4565.76   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 10	4573.06   	15.4736	0	2.46481	0	0.840709	0.159291
 -------Seg 11	4580.37   	15.4736	0	2.46481	0	0.840709	0.159291



0.01      	4500      	2657.5    	2310.87   	730.655   	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	5.5852	0.350539	0.832056	0.0627621	0.788263	0.148975
 -------Seg 1	4566.25   	5.5419	0.306691	0.831854	0.0553403	0.794557	0.150103
 -------Seg 2	4632.2    	5.50019	0.265594	0.83146	0.0482882	0.800542	0.151169
 -------Seg 3	4697.86   	5.45998	0.225832	0.831094	0.0413612	0.806423	0.152216
 -------Seg 4	4763.23   	5.4212	0.187327	0.830756	0.0345546	0.812203	0.153242
 -------Seg 5	4828.34   	5.38377	0.150012	0.830445	0.0278638	0.817886	0.15425
 -------Seg 6	4893.19   	5.34762	0.113822	0.83016	0.0212847	0.823476	0.155239
 -------Seg 7	4957.8    	5.31271	0.0786979	0.829902	0.0148131	0.828976	0.156211
 -------Seg 8	5022.17   	5.27896	0.0445929	0.829668	0.00844728	0.834388	0.157165
 -------Seg 9	5086.33   	5.24634	0.0114499	0.82946	0.00218246	0.839715	0.158103
 -------Seg 10	5150.37   	5.22995	0	0.829276	0	0.841437	0.158563
 -------Seg 11	5219.54   	5.22554	0	0.829092	0	0.841339	0.158661



0.11      	4500      	2649.04   	2303.52   	728.036   	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	5.57632	0.365251	0.82791	0.0655004	0.786031	0.148469
 -------Seg 1	4565.97   	5.53316	0.32133	0.827745	0.0580735	0.792329	0.149597
 -------Seg 2	4631.64   	5.49144	0.278857	0.82758	0.0507804	0.798516	0.150704
 -------Seg 3	4697.03   	5.45109	0.237751	0.827416	0.0436153	0.804595	0.151789
 -------Seg 4	4762.14   	5.41203	0.197941	0.827253	0.0365742	0.810571	0.152855
 -------Seg 5	4826.98   	5.37419	0.159361	0.82709	0.029653	0.816447	0.1539
 -------Seg 6	4891.57   	5.33753	0.121951	0.826929	0.0228479	0.822225	0.154927
 -------Seg 7	4955.92   	5.30198	0.0856553	0.826768	0.0161554	0.827909	0.155936
 -------Seg 8	5020.02   	5.26749	0.0504276	0.826608	0.00957336	0.8335	0.156926
 -------Seg 9	5083.9    	5.23403	0.0162277	0.826448	0.00310043	0.839001	0.157899
 -------Seg 10	5147.65   	5.21551	0	0.82629	0	0.841571	0.158429
 -------Seg 11	5216.48   	5.20997	0	0.826118	0	0.841435	0.158565



0.397858  	4500      	2643.65   	2298.82   	726.339   	
 ------Seg No.	BHP		Vm(m/s)		Vsg		Vsw		alpha G		alpha O		alpha W
 -------Seg 0	4500      	5.56471	0.364546	0.825972	0.0655103	0.786059	0.14843
 -------Seg 1	4565.75   	5.52178	0.320858	0.825809	0.0581076	0.792338	0.149555
 -------Seg 2	4631.2    	5.48028	0.278599	0.825646	0.0508366	0.798506	0.150658
 -------Seg 3	4696.37   	5.44013	0.237696	0.825484	0.043693	0.804567	0.15174
 -------Seg 4	4761.27   	5.40127	0.198078	0.825323	0.0366725	0.810526	0.152802
