Results for well: RES1_MSWell_1.out in the reservoir: RES1_MSWell_1.out

time		BHP		q(Gas)		q(Oil)		 q(Water)
days		psi		Mscf/d		stb/d		stb/d

0         	4500      	0         	0         	0         	0	0	0	
0.01      	4500      	2657.5    	2310.87   	730.655   	160912	637700	262549	
0.11      	4500      	2649.04   	2303.52   	728.036   	160400	635671	261607	
0.397858  	4500      	2643.65   	2298.82   	726.339   	160073	634376	260998	
1.23563   	4500      	2636.7    	2292.79   	724.161   	159652	632710	260215	
3.61688   	4500      	2618.58   	2277.03   	718.487   	158555	628361	258176	
10.0133   	4500      	2568.96   	2233.88   	703.025   	155551	616454	252620	
20.0133   	4500      	2491.67   	2166.67   	679.157   	150871	597908	244044	
30.0133   	4500      	2414.78   	2099.81   	655.657   	146215	579458	235600	
40.0133   	4500      	2338.24   	2033.26   	632.503   	141581	561090	227279	
50        	4500      	2262.3    	1967.21   	609.752   	136982	542866	219104	
