Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
1         	600       	140       	-371.429  	0         	
3.32817   	600       	140       	-451.769  	0         	
7.57738   	600       	140       	-554.794  	0         	
14.4635   	600       	140       	-723.836  	0         	
24.9413   	600       	140       	-865.813  	0         	
41.3188   	600       	140       	-967.799  	0         	
64.9112   	600       	140       	-1049.54  	0         	
94.9112   	600       	140       	-1144.81  	0         	
124.911   	600       	140       	-1240.33  	0         	
154.911   	600       	140       	-1314.5   	0         	
184.911   	600       	140       	-1374.99  	0         	
214.911   	600       	140       	-1424.6   	0         	
244.911   	600       	140       	-1462.97  	0         	
274.911   	600       	140       	-1490.16  	0         	
304.911   	600       	140       	-1508.54  	0         	
334.911   	600       	140       	-1519.87  	0         	
364.911   	600       	140       	-1522.4   	0         	
394.911   	600       	140       	-1516.93  	0         	
424.911   	600       	140       	-1504.89  	0         	
454.911   	600       	140       	-1488.67  	0         	
484.911   	600       	140       	-1469.22  	0         	
514.911   	600       	140       	-1447.16  	0         	
544.911   	600       	140       	-1425.08  	0         	
574.911   	600       	140       	-1403.15  	0         	
604.911   	600       	140       	-1380.37  	0         	
634.911   	600       	140       	-1357.97  	0         	
664.911   	600       	140       	-1336.31  	0         	
694.911   	600       	140       	-1315.38  	0         	
724.911   	600       	140       	-1295.22  	0         	
754.911   	600       	140       	-1276.21  	0         	
784.911   	600       	140       	-1258.52  	0         	
814.911   	600       	140       	-1242.19  	0         	
844.911   	600       	140       	-1227.52  	0         	
874.911   	600       	140       	-1214.65  	0         	
904.911   	600       	140       	-1203.12  	0         	
934.911   	600       	140       	-1192.12  	0         	
964.911   	600       	140       	-1181.07  	0         	
994.911   	600       	140       	-1171.43  	0         	
1000      	600       	140       	-1169.84  	0         	
