Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
1         	300       	70        	847.296   	321.18    	
3.32817   	300       	70        	1007.45   	248.116   	
7.57738   	300       	70        	1198.78   	158.267   	
14.4635   	300       	70        	1496.48   	70.623    	
24.9413   	300       	70        	1747.52   	1.4607    	
41.3188   	300       	70        	1867.35   	0         	
64.9112   	300       	70        	1950.29   	0         	
94.9112   	300       	70.0001   	2000.59   	0         	
124.911   	300       	70.0003   	2075.15   	0         	
154.911   	300       	70.0009   	2106.49   	0         	
184.911   	300       	70.002    	2119.39   	0         	
214.911   	300       	70.0042   	2116.91   	0         	
244.911   	300       	70.0077   	2099.07   	0         	
274.911   	300       	70.0129   	1931.56   	0         	
304.911   	300       	70.0203   	1738.06   	0         	
334.911   	300       	70.0303   	1610.86   	0         	
364.911   	300       	70.0433   	1522.59   	0         	
394.911   	300       	70.0599   	1439.3    	16.6105   	
424.911   	300       	70.0804   	1368.55   	35.3676   	
454.911   	300       	70.1053   	1312.71   	51.3838   	
484.911   	300       	70.135    	1269.43   	65.0106   	
514.911   	300       	70.1699   	1238.66   	76.1322   	
544.911   	300       	70.2103   	1221.61   	84.3821   	
574.911   	300       	70.2565   	1209.64   	91.3586   	
604.911   	300       	70.3087   	1200.25   	97.5725   	
634.911   	300       	70.367    	1192.22   	103.273   	
664.911   	300       	70.4315   	1184.65   	108.656   	
694.911   	300       	70.5021   	1176.72   	113.977   	
724.911   	300       	70.5788   	1170.33   	119.158   	
754.911   	300       	70.6616   	1171.28   	124.426   	
784.911   	300       	70.7503   	1172.27   	129.156   	
814.911   	300       	70.8448   	1173.69   	133.289   	
844.911   	300       	70.945    	1175.49   	136.866   	
874.911   	300       	71.0506   	1177.54   	139.947   	
904.911   	300       	71.1614   	1179.73   	142.593   	
934.911   	300       	71.2771   	1182.03   	144.88    	
964.911   	300       	71.3975   	1184.48   	146.885   	
994.911   	300       	71.5223   	1186.95   	148.645   	
1000      	300       	71.5436   	1187.37   	148.937   	
