Results for well: FIELD_I1_INJ.out in the reservoir: FIELD_I1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	4000      	440       	-666.094  	0         	0         	
0.11      	4000      	440       	-1251.43  	0         	0         	
0.222975  	4000      	440       	-1590.42  	0         	0         	
0.403843  	4000      	440       	-1921.03  	0         	0         	
0.69615   	4000      	440       	-2255.48  	0         	0         	
1.17039   	4000      	440       	-2601.95  	0         	0         	
1.93032   	4000      	440       	-2925.96  	0         	0         	
3.05825   	4000      	440       	-3440.74  	0         	0         	
4.4797    	4000      	440       	-3554.94  	0         	0         	
6.17153   	4000      	440       	-3279.79  	0         	0         	
8.39654   	4000      	440       	-2880.49  	0         	0         	
11.4767   	4000      	440       	-2495.35  	0         	0         	
15.9849   	4000      	440       	-2091.5   	0         	0         	
22.6211   	4000      	440       	-1783.19  	0         	0         	
32.7449   	4000      	440       	-1604.69  	0         	0         	
49.2781   	4000      	440       	-1575.31  	0         	0         	
82.2742   	4000      	440       	-1810.46  	0         	0         	
132.274   	4000      	440       	-2267.48  	0         	0         	
182.274   	4000      	440       	-2757.19  	0         	0         	
232.274   	4000      	440       	-3276.21  	0         	0         	
282.274   	4000      	440       	-3823.87  	0         	0         	
332.274   	4000      	440       	-4408.18  	0         	0         	
382.274   	4000      	440       	-5038.64  	0         	0         	
432.274   	4000      	440       	-5750.09  	0         	0         	
482.274   	4000      	440       	-6577.81  	0         	0         	
532.274   	4000      	440       	-7490.46  	0         	0         	
582.274   	4000      	440       	-8480.69  	0         	0         	
632.274   	4000      	440       	-9497.3   	0         	0         	
682.274   	4000      	440       	-10517    	0         	0         	
732.274   	4000      	440       	-11554.9  	0         	0         	
782.274   	4000      	440       	-12609.6  	0         	0         	
832.274   	4000      	440       	-13632.1  	0         	0         	
882.274   	4000      	440       	-14624.9  	0         	0         	
932.274   	4000      	440       	-15605.7  	0         	0         	
982.274   	4000      	440       	-16559.5  	0         	0         	
1032.27   	4000      	440       	-17508.3  	0         	0         	
1082.27   	4000      	440       	-18503.4  	0         	0         	
1132.27   	4000      	440       	-19593.4  	0         	0         	
1182.27   	4000      	440       	-20839.4  	0         	0         	
1232.27   	4000      	440       	-22354.5  	0         	0         	
1282.27   	4000      	440       	-24234.3  	0         	0         	
1332.27   	4000      	440       	-27059.6  	0         	0         	
1382.27   	4000      	440       	-30552.5  	0         	0         	
1432.27   	4000      	440       	-33983.3  	0         	0         	
1482.27   	4000      	440       	-36856.1  	0         	0         	
1532.27   	4000      	440       	-39918.2  	0         	0         	
1582.27   	4000      	440       	-43007.8  	0         	0         	
1632.27   	4000      	440       	-46040.6  	0         	0         	
1682.27   	4000      	440       	-48934.8  	0         	0         	
1732.27   	4000      	440       	-51695.2  	0         	0         	
1782.27   	4000      	440       	-54299.7  	0         	0         	
1832.27   	4000      	440       	-56578.2  	0         	0         	
1882.27   	4000      	440       	-58755.4  	0         	0         	
1932.27   	4000      	440       	-61238.7  	0         	0         	
1982.27   	4000      	440       	-63900.8  	0         	0         	
2032.27   	4000      	440       	-66563.7  	0         	0         	
2082.27   	4000      	440       	-69189.1  	0         	0         	
2132.27   	4000      	440       	-71763.5  	0         	0         	
2182.27   	4000      	440       	-74312.5  	0         	0         	
2232.27   	4000      	440       	-76828.6  	0         	0         	
2282.27   	4000      	440       	-79299.6  	0         	0         	
2332.27   	4000      	440       	-81702.4  	0         	0         	
2382.27   	4000      	440       	-84071.6  	0         	0         	
2432.27   	4000      	440       	-86393.3  	0         	0         	
2482.27   	4000      	440       	-88649.1  	0         	0         	
2532.27   	4000      	440       	-90864.6  	0         	0         	
2582.27   	4000      	440       	-93020.9  	0         	0         	
2632.27   	4000      	440       	-95138.1  	0         	0         	
2682.27   	4000      	440       	-97205.9  	0         	0         	
2732.27   	4000      	440       	-99225    	0         	0         	
2782.27   	4000      	440       	-101176   	0         	0         	
2832.27   	4000      	440       	-103088   	0         	0         	
2882.27   	4000      	440       	-104950   	0         	0         	
2932.27   	4000      	440       	-106752   	0         	0         	
2982.27   	4000      	440       	-108486   	0         	0         	
3032.27   	4000      	440       	-110236   	0         	0         	
3082.27   	4000      	440       	-111957   	0         	0         	
3132.27   	4000      	440       	-113648   	0         	0         	
3182.27   	4000      	440       	-115332   	0         	0         	
3232.27   	4000      	440       	-117010   	0         	0         	
3282.27   	4000      	440       	-118693   	0         	0         	
3332.27   	4000      	440       	-120334   	0         	0         	
3382.27   	4000      	440       	-121967   	0         	0         	
3432.27   	4000      	440       	-123567   	0         	0         	
3482.27   	4000      	440       	-125127   	0         	0         	
3532.27   	4000      	440       	-126666   	0         	0         	
3582.27   	4000      	440       	-128178   	0         	0         	
3632.27   	4000      	440       	-129656   	0         	0         	
3682.27   	4000      	440       	-131103   	0         	0         	
3732.27   	4000      	440       	-132510   	0         	0         	
3782.27   	4000      	440       	-133850   	0         	0         	
3832.27   	4000      	440       	-135159   	0         	0         	
3882.27   	4000      	440       	-136430   	0         	0         	
3932.27   	4000      	440       	-137673   	0         	0         	
3982.27   	4000      	440       	-138903   	0         	0         	
4032.27   	4000      	440       	-140103   	0         	0         	
4082.27   	4000      	440       	-141258   	0         	0         	
4132.27   	4000      	440       	-142377   	0         	0         	
4182.27   	4000      	440       	-143457   	0         	0         	
4232.27   	4000      	440       	-144544   	0         	0         	
4282.27   	4000      	440       	-146029   	0         	0         	
4332.27   	4000      	440       	-147538   	0         	0         	
4382.27   	4000      	440       	-149036   	0         	0         	
4432.27   	4000      	440       	-150549   	0         	0         	
4482.27   	4000      	440       	-152045   	0         	0         	
4532.27   	4000      	440       	-153481   	0         	0         	
4582.27   	4000      	440       	-154876   	0         	0         	
4632.27   	4000      	440       	-156244   	0         	0         	
4682.27   	4000      	440       	-157573   	0         	0         	
4732.27   	4000      	440       	-158860   	0         	0         	
4782.27   	4000      	440       	-160101   	0         	0         	
4832.27   	4000      	440       	-161290   	0         	0         	
4882.27   	4000      	440       	-162437   	0         	0         	
4932.27   	4000      	440       	-163553   	0         	0         	
4982.27   	4000      	440       	-164636   	0         	0         	
5000      	4000      	440       	-165016   	0         	0         	
