Results for well: FIELD_P1_PROD.out in the reservoir: FIELD_P1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	2000      	139.995   	7.82926e-029	569.614   	0.00146466	
0.11      	2000      	139.979   	0         	505.89    	0.00615223	
0.222975  	2000      	139.973   	0         	474.941   	0.00801253	
0.403843  	2000      	139.97    	5.12053e-019	452.351   	0.00919388	
0.69615   	2000      	139.97    	5.10218e-013	434.504   	0.0100185 	
1.17039   	2000      	139.973   	8.13367e-009	419.576   	0.0106312 	
1.93032   	2000      	139.98    	1.03658e-005	406.455   	0.0111079 	
3.05825   	2000      	139.992   	0.00215122	394.417   	0.0114921 	
4.4797    	2000      	140.007   	0.0705122 	383.825   	0.0117875 	
6.17153   	2000      	140.025   	0.836667  	375.269   	0.0119926 	
8.39654   	2000      	140.049   	6.68946   	370.963   	0.0120577 	
11.4767   	2000      	140.086   	35.6511   	378.03    	0.0117855 	
15.9849   	2000      	140.149   	127.95    	403.118   	0.0108019 	
22.6211   	2000      	140.247   	311.516   	437.776   	0.00898061	
32.7449   	2000      	140.387   	569.402   	467.439   	0.00676996	
49.2781   	2000      	140.562   	858.616   	482.62    	0.00488981	
82.2742   	2000      	140.766   	1240.69   	483.755   	0.00337565	
132.274   	2000      	140.91    	1738.7    	478.013   	0.00215598	
182.274   	2000      	140.973   	2239.51   	472.229   	0.00127863	
232.274   	2000      	140.993   	2764.73   	466.714   	0.000611226	
282.274   	2000      	140.99    	3319.69   	460.799   	0.000125035	
332.274   	2000      	140.972   	3912.79   	454.045   	0         	
382.274   	2000      	140.943   	4557.55   	445.188   	0         	
432.274   	2000      	140.901   	5291.15   	432.204   	0         	
482.274   	2000      	140.846   	6150.37   	413.217   	0         	
532.274   	2000      	140.785   	7088.46   	391.387   	0         	
582.274   	2000      	140.727   	8097.45   	372.827   	0         	
632.274   	2000      	140.678   	9126      	357.794   	0         	
682.274   	2000      	140.637   	10156.8   	344.23    	0         	
732.274   	2000      	140.608   	11206.3   	331.107   	0         	
782.274   	2000      	140.601   	12270.3   	318.925   	0         	
832.274   	2000      	140.649   	13303.2   	307.676   	0         	
882.274   	2000      	140.821   	14304.9   	297.563   	0         	
932.274   	2000      	141.256   	15293.5   	288.811   	0         	
982.274   	2000      	142.191   	16254.6   	281.534   	0         	
1032.27   	2000      	144.003   	17211.1   	275.845   	0         	
1082.27   	2000      	147.228   	18213.4   	272.022   	0         	
1132.27   	2000      	152.562   	19312.4   	270.098   	0         	
1182.27   	2000      	160.802   	20569.2   	270.35    	0         	
1232.27   	2000      	172.666   	22097.6   	272.872   	0         	
1282.27   	2000      	188.337   	23991.8   	276.982   	0         	
1332.27   	2000      	207.428   	26854.8   	290.3     	0.000169737	
1382.27   	2000      	228.422   	30362.2   	304.437   	0.00173574	
1432.27   	2000      	249.295   	33771.1   	309.904   	0.00284633	
1482.27   	2000      	268.65    	36608.7   	304.273   	0.00313159	
1532.27   	2000      	285.829   	39679     	301.516   	0.00359223	
1582.27   	2000      	300.526   	42768.7   	298.183   	0.00402855	
1632.27   	2000      	313.171   	45798.9   	292.878   	0.00433497	
1682.27   	2000      	323.916   	48689     	286.684   	0.00450747	
1732.27   	2000      	333.233   	51449     	279.843   	0.0045833 	
1782.27   	2000      	341.427   	54052.4   	272.738   	0.0045229 	
1832.27   	2000      	348.603   	56325.3   	263.169   	0.00424812	
1882.27   	2000      	354.905   	58508.3   	254.252   	0.00394342	
1932.27   	2000      	360.533   	61013.1   	248.203   	0.00387942	
1982.27   	2000      	365.644   	63688.6   	243.271   	0.00396253	
2032.27   	2000      	370.309   	66355.8   	238.36    	0.00402357	
2082.27   	2000      	374.608   	68984.8   	233.435   	0.00407355	
2132.27   	2000      	378.607   	71563     	228.644   	0.00410976	
2182.27   	2000      	382.317   	74116.6   	223.795   	0.004138  	
2232.27   	2000      	385.751   	76636.6   	218.95    	0.00415646	
2282.27   	2000      	388.907   	79111.4   	214.146   	0.004164  	
2332.27   	2000      	391.835   	81517.4   	209.541   	0.00415924	
2382.27   	2000      	394.568   	83891.5   	204.776   	0.0041565 	
2432.27   	2000      	397.073   	86217.2   	200.105   	0.00414299	
2482.27   	2000      	399.412   	88475.5   	195.731   	0.00411563	
2532.27   	2000      	401.652   	90695.4   	191.349   	0.00408959	
2582.27   	2000      	403.772   	92855.6   	187.046   	0.00406211	
2632.27   	2000      	405.779   	94977     	182.747   	0.00403403	
2682.27   	2000      	407.651   	97048.2   	178.584   	0.0039991 	
2732.27   	2000      	409.399   	99070.8   	174.462   	0.00396214	
2782.27   	2000      	411.004   	101025    	170.499   	0.00391899	
2832.27   	2000      	412.461   	102940    	166.57    	0.00387054	
2882.27   	2000      	413.792   	104806    	162.736   	0.00381694	
2932.27   	2000      	415.025   	106609    	159.232   	0.00375122	
2982.27   	2000      	416.184   	108346    	156.092   	0.00367391	
3032.27   	2000      	417.337   	110100    	152.587   	0.00361067	
3082.27   	2000      	418.479   	111825    	149.338   	0.00354049	
3132.27   	2000      	419.657   	113519    	146.266   	0.00347004	
3182.27   	2000      	420.889   	115207    	143.177   	0.00340609	
3232.27   	2000      	422.137   	116889    	140.051   	0.00334707	
3282.27   	2000      	423.406   	118576    	136.7     	0.00329998	
3332.27   	2000      	424.664   	120221    	133.482   	0.00325367	
3382.27   	2000      	425.879   	121858    	130.116   	0.00321298	
3432.27   	2000      	427.003   	123460    	126.832   	0.00316817	
3482.27   	2000      	428.06    	125024    	123.549   	0.0031247 	
3532.27   	2000      	429.046   	126567    	120.157   	0.00308485	
3582.27   	2000      	429.965   	128082    	116.566   	0.0030533 	
3632.27   	2000      	430.805   	129564    	112.907   	0.00302475	
3682.27   	2000      	431.553   	131014    	109.222   	0.00299585	
3732.27   	2000      	432.26    	132424    	105.576   	0.00296879	
3782.27   	2000      	432.933   	133767    	102.431   	0.00292806	
3832.27   	2000      	433.537   	135078    	99.3206   	0.00288564	
3882.27   	2000      	434.078   	136352    	96.394    	0.00283647	
3932.27   	2000      	434.58    	137597    	93.5047   	0.00278707	
3982.27   	2000      	435.048   	138830    	90.4518   	0.00274437	
4032.27   	2000      	435.484   	140033    	87.346    	0.00270611	
4082.27   	2000      	435.9     	141191    	84.3235   	0.00266957	
4132.27   	2000      	436.283   	142312    	81.314    	0.0026358 	
4182.27   	2000      	436.625   	143394    	78.4708   	0.00259873	
4232.27   	2000      	436.933   	144484    	76.1601   	0.00254219	
4282.27   	2000      	437.213   	145985    	74.5069   	0.00263302	
4332.27   	2000      	437.467   	147496    	72.8632   	0.00273721	
4382.27   	2000      	437.701   	148995    	71.204    	0.00284348	
4432.27   	2000      	437.92    	150511    	69.4404   	0.00296156	
4482.27   	2000      	438.125   	152009    	67.6496   	0.00308319	
4532.27   	2000      	438.313   	153445    	65.972    	0.00319248	
4582.27   	2000      	438.479   	154841    	64.3747   	0.00329191	
4632.27   	2000      	438.631   	156210    	62.7924   	0.00338944	
4682.27   	2000      	438.769   	157540    	61.249    	0.00348304	
4732.27   	2000      	438.892   	158827    	59.7564   	0.0035714 	
4782.27   	2000      	439.001   	160068    	58.3277   	0.00365324	
4832.27   	2000      	439.096   	161258    	56.9702   	0.00372816	
4882.27   	2000      	439.179   	162404    	55.6688   	0.00379767	
4932.27   	2000      	439.25    	163521    	54.3967   	0.00386433	
4982.27   	2000      	439.315   	164605    	53.1634   	0.00392755	
5000      	2000      	439.338   	164985    	52.7317   	0.00394941	
