Results for well: FIELD_I1_INJ.out in the reservoir: FIELD_I1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.1       	4273.49   	200       	0         	-2000.17  	
0.2       	4737.13   	200       	0         	-2000.19  	
0.3       	4971.32   	200       	0         	-2000.15  	
0.413818  	5126.72   	200       	0         	-2000.15  	
0.558908  	5288.1    	200       	0         	-2000.16  	
0.740844  	5451.79   	200       	0         	-2000.16  	
0.966483  	5508.46   	200       	0         	-2000.15  	
1.25173   	5768.61   	200       	0         	-2000.14  	
1.45455   	5824.05   	200       	0         	-2000.15  	
1.73099   	5776.09   	200       	0         	-2000.14  	
2.22263   	5792.95   	200       	0         	-2000.13  	
2.82481   	5885.93   	200       	0         	-2000.15  	
3.41605   	6008.86   	200       	0         	-2000.15  	
3.96431   	6240.88   	200       	0         	-2000.14  	
4.39244   	6317.88   	200       	0         	-2000.15  	
4.88463   	6337.53   	200       	0         	-2000.14  	
5.60934   	6361.79   	200       	0         	-2000.14  	
6.67008   	6419.87   	200       	0         	-2000.14  	
8.0549    	6381.84   	200       	0         	-2000.15  	
10.4112   	6135.52   	200       	0         	-2000.1   	
12.7647   	5873.58   	200       	0         	-2000.14  	
14.9319   	5650.12   	200       	0         	-2000.15  	
15        	5643.23   	200       	0         	-2000.14  	
