Results for well: FIELD_P1_PROD.out in the reservoir: FIELD_P1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.1       	2000      	79.9222   	2575.01   	2.81691   	
0.2       	2000      	79.9133   	2187.33   	2.80184   	
0.3       	2000      	79.9189   	2153.49   	2.73917   	
0.413818  	2000      	79.9305   	2225.87   	2.66543   	
0.558908  	2000      	79.9471   	2336.02   	2.54219   	
0.740844  	2000      	79.9683   	2447.96   	2.35266   	
0.966483  	2000      	79.9944   	2544.22   	2.09826   	
1.25173   	2000      	80.033    	2711.54   	1.76201   	
1.45455   	2000      	80.0599   	2786.94   	1.64343   	
1.73099   	2000      	80.0923   	2784.98   	2.19428   	
2.22263   	2000      	80.1475   	2709.92   	10.9256   	
2.82481   	2000      	80.225    	2575.98   	55.3399   	
3.41605   	2000      	80.3253   	2362.6    	168.592   	
3.96431   	2000      	80.4546   	2096.09   	370.647   	
4.39244   	2000      	80.5622   	1840.7    	561.176   	
4.88463   	2000      	80.6765   	1647.32   	753.531   	
5.60934   	2000      	80.8501   	1352.5    	1012.06   	
6.67008   	2000      	81.1312   	1036.47   	1313.79   	
8.0549    	2000      	81.5355   	818.254   	1529.3    	
10.4112   	2000      	82.4509   	699.593   	1639.95   	
12.7647   	2000      	83.8388   	639.147   	1684.96   	
14.9319   	2000      	85.7159   	588.667   	1710.34   	
15        	2000      	85.7755   	587.545   	1712.45   	
