Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	600       	150       	0         	0         	-7691.08  	
2.32033   	600       	150       	0         	0         	-3756.97  	
4.50268   	600       	150       	0         	0         	-1992.91  	
8.4668    	600       	150       	0         	0         	-1512.51  	
15.2047   	600       	150       	0         	0         	-1664.22  	
24.3254   	600       	150       	0         	0         	-2082.95  	
36.5231   	600       	150       	0         	0         	-2607.61  	
50.7426   	600       	150       	0         	0         	-3092.2   	
69.2999   	600       	150       	0         	0         	-3565.37  	
88.1994   	600       	150       	0         	0         	-3926.78  	
107.23    	600       	150       	0         	0         	-4146.45  	
126.332   	600       	150       	0         	0         	-4311.3   	
146.322   	600       	150       	0         	0         	-4445.82  	
166.322   	600       	150       	0         	0         	-4609.43  	
186.322   	600       	150       	0         	0         	-4762.11  	
206.322   	600       	150       	0         	0         	-4898.52  	
226.322   	600       	150       	0         	0         	-5023.31  	
246.322   	600       	150       	0         	0         	-5142.95  	
266.322   	600       	150       	0         	0         	-5249.2   	
286.322   	600       	150       	0         	0         	-5349.43  	
306.322   	600       	150       	0         	0         	-5448.21  	
326.322   	600       	150       	0         	0         	-5518.59  	
346.322   	600       	150       	0         	0         	-5516.65  	
366.322   	600       	150       	0         	0         	-5516.49  	
386.322   	600       	150       	0         	0         	-5503.12  	
405.82    	600       	150       	0         	0         	-5374.86  	
425.82    	600       	150       	0         	0         	-5105.22  	
445.82    	600       	150       	0         	0         	-4781.73  	
465.82    	600       	150       	0         	0         	-4485.09  	
485.82    	600       	150       	0         	0         	-4258.88  	
505.82    	600       	150       	0         	0         	-4072.77  	
525.82    	600       	150       	0         	0         	-3921.66  	
545.82    	600       	150       	0         	0         	-3793.07  	
565.82    	600       	150       	0         	0         	-3683.32  	
585.82    	600       	150       	0         	0         	-3601.9   	
605.82    	600       	150       	0         	0         	-3540.38  	
625.82    	600       	150       	0         	0         	-3491.03  	
645.82    	600       	150       	0         	0         	-3453.48  	
665.82    	600       	150       	0         	0         	-3428.27  	
685.82    	600       	150       	0         	0         	-3411.16  	
705.82    	600       	150       	0         	0         	-3399.61  	
725.82    	600       	150       	0         	0         	-3389.04  	
745.82    	600       	150       	0         	0         	-3374.44  	
765.82    	600       	150       	0         	0         	-3357.14  	
785.82    	600       	150       	0         	0         	-3275     	
805.82    	600       	150       	0         	0         	-3077.48  	
825.82    	600       	150       	0         	0         	-2795.01  	
845.82    	600       	150       	0         	0         	-2361.58  	
865.82    	600       	150       	0         	0         	-2146.75  	
885.82    	600       	150       	0         	0         	-2056.76  	
905.82    	600       	150       	0         	0         	-1991.96  	
925.82    	600       	150       	0         	0         	-1938.64  	
945.82    	600       	150       	0         	0         	-1892.29  	
965.82    	600       	150       	0         	0         	-1849.55  	
985.82    	600       	150       	0         	0         	-1810.07  	
1005.82   	600       	150       	0         	0         	-1781.89  	
1025.82   	600       	150       	0         	0         	-1762.33  	
1045.82   	600       	150       	0         	0         	-1743.29  	
1065.82   	600       	150       	0         	0         	-1723.63  	
1085.82   	600       	150       	0         	0         	-1703.59  	
1105.82   	600       	150       	0         	0         	-1683.33  	
1125.82   	600       	150       	0         	0         	-1672.5   	
1135.82   	600       	150       	0         	0         	-1667.47  	
1135.98   	600       	150       	0         	0         	-1667.04  	
1136.98   	600       	150       	0         	0         	-1664.76  	
1139.94   	600       	150       	0         	0         	-1660.12  	
1148.54   	600       	150       	0         	0         	-1651.92  	
1168.54   	600       	150       	0         	0         	-1640.89  	
1188.54   	600       	150       	0         	0         	-1633.79  	
1208.54   	600       	150       	0         	0         	-1628.19  	
1228.54   	600       	150       	0         	0         	-1627.15  	
1248.54   	600       	150       	0         	0         	-1626.38  	
1268.54   	600       	150       	0         	0         	-1625.53  	
1288.54   	600       	150       	0         	0         	-1623.93  	
