Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	400       	70        	302.937   	14.7193   	3.72093e-005	
2.32033   	400       	69.9999   	309.254   	10.3313   	9.14357e-005	
4.50268   	400       	69.9999   	318.227   	5.77026   	0.000152991	
8.4668    	400       	69.9998   	321.345   	0.176886  	0.000237392	
15.2047   	400       	69.9997   	301.771   	0         	0.000321483	
24.3254   	400       	69.9995   	262.143   	0         	0.000353818	
36.5231   	400       	69.9994   	208.86    	0         	0.000321343	
50.7426   	400       	69.9993   	158.562   	0         	0.000252375	
69.2999   	400       	69.9992   	114.596   	0         	0.000171849	
88.1994   	400       	69.9991   	84.0581   	0         	0.000113583	
107.23    	400       	69.9991   	64.669    	0         	7.61775e-005	
126.332   	400       	69.999    	54.8799   	0         	5.47738e-005	
146.322   	400       	69.999    	49.4504   	0         	4.10219e-005	
166.322   	400       	69.999    	46.9135   	0         	3.20865e-005	
186.322   	400       	69.999    	46.0927   	0         	2.58418e-005	
206.322   	400       	69.999    	46.3079   	0         	2.11787e-005	
226.322   	400       	69.999    	47.0238   	0         	1.74836e-005	
246.322   	400       	69.999    	47.4778   	0         	1.4391e-005	
266.322   	400       	69.999    	47.6366   	0         	1.18277e-005	
286.322   	400       	69.999    	49.3958   	0         	9.79778e-006	
306.322   	400       	69.999    	50.6461   	0         	8.08521e-006	
326.322   	400       	69.999    	51.4602   	0         	6.68715e-006	
346.322   	400       	69.999    	51.5623   	0         	5.60868e-006	
366.322   	400       	69.999    	51.5702   	0         	4.77019e-006	
386.322   	400       	69.999    	51.279    	0         	4.17771e-006	
405.82    	400       	69.999    	44.5815   	0         	0         	
425.82    	400       	69.9991   	39.9609   	5.9163    	0         	
445.82    	400       	69.9992   	38.1432   	19.9654   	0         	
465.82    	400       	69.9993   	37.6089   	34.5824   	0         	
485.82    	400       	69.9993   	38.9052   	47.7368   	0         	
505.82    	400       	69.9994   	39.0869   	59.929    	0         	
525.82    	400       	69.9994   	38.985    	72.45     	0         	
545.82    	400       	69.9995   	38.3904   	84.067    	0         	
565.82    	400       	69.9995   	37.7506   	95.2278   	0         	
585.82    	400       	69.9995   	37.6841   	106.938   	0         	
605.82    	400       	69.9995   	37.4598   	116.359   	0         	
625.82    	400       	69.9995   	37.1025   	124.721   	0         	
645.82    	400       	69.9995   	36.8735   	132.259   	0         	
665.82    	400       	69.9995   	36.9165   	138.57    	0         	
685.82    	400       	69.9995   	36.8329   	143.758   	0         	
705.82    	400       	69.9995   	36.719    	147.68    	0         	
725.82    	400       	69.9995   	36.5363   	151.012   	0         	
745.82    	400       	69.9996   	36.245    	153.172   	0         	
765.82    	400       	69.9996   	35.9663   	154.13    	0         	
785.82    	400       	70.0212   	33.3363   	144.319   	0.236138  	
805.82    	400       	70.0677   	28.3842   	124.92    	1.83016   	
825.82    	400       	70.1051   	25.6906   	113.553   	4.37011   	
845.82    	400       	70.1423   	24.0731   	106.606   	8.21265   	
865.82    	400       	70.1714   	22.0015   	97.5425   	11.7284   	
885.82    	400       	70.1943   	20.4866   	90.9015   	14.7825   	
905.82    	400       	70.2127   	19.2698   	85.5687   	17.1553   	
925.82    	400       	70.2286   	18.253    	81.108    	19.1313   	
945.82    	400       	70.243    	17.3619   	77.196    	20.8626   	
965.82    	400       	70.2567   	16.5378   	73.5803   	22.4489   	
985.82    	400       	70.2699   	15.7715   	70.2155   	23.9374   	
1005.82   	400       	70.2828   	15.1143   	67.3311   	25.5867   	
1025.82   	400       	70.2957   	14.5317   	64.781    	27.3331   	
1045.82   	400       	70.3089   	13.9438   	62.2054   	29.0847   	
1065.82   	400       	70.3226   	13.3374   	59.5414   	30.8915   	
1085.82   	400       	70.3366   	12.7234   	56.8377   	32.7217   	
1105.82   	400       	70.3513   	12.085    	54.0185   	34.6653   	
1125.82   	400       	70.3667   	11.4985   	51.4259   	36.9399   	
1135.82   	400       	70.3744   	11.2097   	50.1483   	38.056    	
1135.98   	400       	70.3746   	11.1602   	49.927    	37.9959   	
1136.98   	400       	70.3763   	11.0747   	49.5462   	38.3442   	
1139.94   	400       	70.3805   	10.86     	48.5908   	39.2113   	
1148.54   	400       	70.3901   	10.421    	46.6386   	40.9541   	
1168.54   	400       	70.4069   	9.80173   	43.8893   	43.3829   	
1188.54   	400       	70.4208   	9.40075   	42.1102   	44.9479   	
1208.54   	400       	70.4347   	9.02609   	40.4439   	46.4599   	
1228.54   	400       	70.4487   	8.70337   	39.0063   	47.994    	
1248.54   	400       	70.4628   	8.38654   	37.5916   	49.4922   	
1268.54   	400       	70.4767   	8.08784   	36.2552   	50.9016   	
1288.54   	400       	70.4919   	7.72184   	34.6151   	52.5892   	
1308.54   	400       	70.5067   	7.3826    	33.0933   	54.1991   	
1328.54   	400       	70.5211   	7.07611   	31.7168   	55.6549   	
1348.54   	400       	70.5347   	6.81778   	30.5551   	56.8876   	
1368.54   	400       	70.548    	6.59614   	29.557    	58.0355   	
1388.54   	400       	70.5612   	6.41451   	28.7376   	59.2326   	
1408.54   	400       	70.5743   	6.23758   	27.9388   	60.3912   	
1428.54   	400       	70.5873   	6.06585   	27.1631   	61.515    	
1448.54   	400       	70.6002   	5.90281   	26.4263   	62.5819   	
1468.54   	400       	70.6126   	5.75503   	25.7578   	63.5511   	
1488.54   	400       	70.625    	5.61151   	25.1085   	64.4904   	
1508.54   	400       	70.6372   	5.46924   	24.465    	65.4219   	
1528.54   	400       	70.6495   	5.32694   	23.8217   	66.3529   	
1548.54   	400       	70.6617   	5.18389   	23.1754   	67.2877   	
1568.54   	400       	70.6738   	5.03982   	22.5249   	68.2279   	
1588.54   	400       	70.6856   	4.90955   	21.9364   	69.0824   	
1608.54   	400       	70.6971   	4.78765   	21.3858   	69.8829   	
1628.54   	400       	70.7086   	4.67384   	20.8716   	70.7491   	
1648.54   	400       	70.7199   	4.56092   	20.3617   	71.6204   	
1668.54   	400       	70.7312   	4.44763   	19.8506   	72.493    	
1688.54   	400       	70.7424   	4.33406   	19.3386   	73.3669   	
1708.54   	400       	70.7534   	4.22137   	18.8308   	74.2343   	
1728.54   	400       	70.7644   	4.10961   	18.3276   	75.0938   	
1748.54   	400       	70.7753   	3.99875   	17.8287   	75.9458   	
1768.54   	400       	70.7861   	3.88987   	17.3391   	76.7829   	
1788.54   	400       	70.7967   	3.78386   	16.8625   	77.5984   	
1808.54   	400       	70.8071   	3.6806    	16.3985   	78.3923   	
1828.54   	400       	70.8174   	3.57985   	15.946    	79.1664   	
1848.54   	400       	70.8275   	3.48261   	15.5094   	79.9144   	
1868.54   	400       	70.8373   	3.39502   	15.116    	80.5935   	
1888.54   	400       	70.8468   	3.31134   	14.7403   	81.2419   	
1908.54   	400       	70.8562   	3.22965   	14.3737   	81.8749   	
1928.54   	400       	70.8654   	3.15036   	14.018    	82.4902   	
1948.54   	400       	70.8745   	3.0772    	13.6898   	83.1377   	
1968.54   	400       	70.8835   	3.01085   	13.3921   	83.8431   	
1988.54   	400       	70.8924   	2.94513   	13.0974   	84.5385   	
2000      	400       	70.8975   	2.90781   	12.9301   	84.9331   	
