Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
1         	2895.32   	40        	25400     	20000     	1.51014e-008	
2         	2773.86   	40        	25400     	20000     	2.42423e-008	
3.27703   	2674.4    	40        	25400     	20000     	3.1613e-008	
5.098     	2582.92   	40        	25400     	20000     	3.83033e-008	
7.80959   	2494.71   	40        	25400     	20000     	4.4674e-008	
11.9227   	2407.83   	40        	25400     	20000     	5.08726e-008	
18.2105   	2343.04   	40        	25160.6   	20000     	5.50078e-008	
29.0626   	2257.35   	40        	24664.2   	20000     	6.01766e-008	
47.2185   	2134.7    	40        	24973.3   	20000     	6.76165e-008	
74.3068   	2005.84   	40        	24865.9   	20000     	7.57024e-008	
113.006   	1887.42   	40        	24221.4   	20000     	8.33432e-008	
168.105   	1715.95   	40        	24927.4   	20000     	9.44748e-008	
228.105   	1258.75   	40        	30655.6   	20000     	0.000129879	
284.601   	1000      	40        	33149.6   	19310.8   	0.000246692	
344.601   	1000      	40        	32401.1   	17762     	0.000289557	
404.601   	1000      	40        	32140.5   	16605.2   	0.000316243	
464.601   	1000      	40        	32021.6   	15715.6   	0.000334894	
524.601   	1000      	40        	31972.9   	14996.9   	0.00034887	
584.601   	1000      	40        	32017.7   	14378     	0.000359985	
644.601   	1000      	40        	32591.5   	13843.1   	0.000371264	
704.601   	1000      	40        	33197.4   	13341.3   	0.000381026	
764.601   	1000      	40        	33952.4   	12829.3   	0.000389816	
824.601   	1000      	40        	34902.4   	12299.9   	0.000397611	
884.601   	1000      	40        	36185.5   	11746.5   	0.000403897	
944.601   	1000      	40        	37709.8   	11190.2   	0.000408784	
1004.6    	1000      	40        	39262.3   	10662.2   	0.00041275	
1064.6    	1000      	40        	40843.5   	10137.6   	0.000416399	
1124.6    	1000      	40        	42606.7   	9600.36   	0.00041934	
1184.6    	1000      	40        	44383.5   	9107.83   	0.000421211	
1244.6    	1000      	40        	46151.7   	8602.92   	0.000423349	
1304.6    	1000      	40        	47823.4   	8094.62   	0.000425965	
1364.6    	1000      	40        	50060.7   	7541.29   	0.000426839	
1424.6    	1000      	40        	52343.1   	7002.96   	0.000427196	
1484.6    	1000      	40        	54281.3   	6499.86   	0.000428413	
1544.6    	1000      	40        	56699.6   	6092.38   	0.000432226	
1604.6    	1000      	40        	59120.1   	5716.72   	0.000437552	
1664.6    	1000      	40        	61064.1   	5358.81   	0.000443361	
1724.6    	1000      	40        	62716.3   	5011.27   	0.000449272	
1784.6    	1000      	40        	64842     	4646.11   	0.000454126	
1844.6    	1000      	40        	66472.4   	4287.43   	0.000459612	
1904.6    	1000      	40        	67326.2   	3956.84   	0.000465524	
1964.6    	1000      	40        	67004.1   	3694.67   	0.000471543	
2024.6    	1000      	40        	65917.6   	3484.83   	0.000477063	
2084.6    	1000      	40        	64519.6   	3305.46   	0.000481681	
2144.6    	1000      	40        	62948.6   	3146.16   	0.000485378	
2204.6    	1000      	40        	61269.3   	3003.46   	0.000488156	
2264.6    	1000      	40        	59514.5   	2874.43   	0.000490054	
2324.6    	1000      	40        	57699.9   	2755.45   	0.000491115	
2384.6    	1000      	40        	55820     	2641.13   	0.000491355	
2444.6    	1000      	40        	53927.8   	2534.83   	0.000490768	
2504.6    	1000      	40        	52083.3   	2437.14   	0.000489425	
2564.6    	1000      	40        	50317.4   	2349.55   	0.000487425	
2624.6    	1000      	40        	48634.5   	2267.13   	0.000484859	
2684.6    	1000      	40        	47033     	2189.23   	0.000481808	
2744.6    	1000      	40        	45508.7   	2115.45   	0.000478339	
2804.6    	1000      	40        	44164     	2040.77   	0.000474402	
2864.6    	1000      	40        	42843.9   	1972.72   	0.000470158	
2924.6    	1000      	40        	41567.3   	1909.12   	0.000465656	
2984.6    	1000      	40        	40348.7   	1847.68   	0.000460898	
3000      	1000      	40        	40040     	1832.18   	0.000459626	
