Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
1         	5764.77   	40        	0         	-6000.45  	
2         	5879.74   	40        	0         	-6000.45  	
3.59794   	6019.4    	40        	0         	-6000.45  	
6.36781   	6218.56   	40        	0         	-6000.45  	
11.0357   	6508.25   	40        	0         	-6000.45  	
18.256    	6652.54   	40        	0         	-6000.45  	
29.8017   	6580.46   	40        	0         	-6000.45  	
46.1893   	6434.49   	40        	0         	-6000.45  	
69.5331   	6329.87   	40        	0         	-6000.45  	
100.006   	6270.08   	40        	0         	-6000.45  	
141.656   	6190.28   	40        	0         	-6000.45  	
191.656   	6146.52   	40        	0         	-6000.45  	
241.656   	6122.26   	40        	0         	-6000.45  	
291.656   	6109.65   	40        	0         	-6000.45  	
341.656   	6105.48   	40        	0         	-6000.45  	
391.656   	6106.59   	40        	0         	-6000.45  	
441.656   	6111.92   	40        	0         	-6000.45  	
491.656   	6119.27   	40        	0         	-6000.45  	
541.656   	6128.49   	40        	0         	-6000.45  	
591.656   	6139.62   	40        	0         	-6000.45  	
641.656   	6151.88   	40        	0         	-6000.45  	
691.656   	6164.94   	40        	0         	-6000.45  	
741.656   	6178.61   	40        	0         	-6000.45  	
791.656   	6192.8    	40        	0         	-6000.45  	
841.656   	6207.81   	40        	0         	-6000.45  	
891.656   	6222.96   	40        	0         	-6000.45  	
941.656   	6238.57   	40        	0         	-6000.45  	
991.656   	6254.39   	40        	0         	-6000.45  	
1041.66   	6270.65   	40        	0         	-6000.45  	
1091.66   	6287.06   	40        	0         	-6000.45  	
1141.66   	6303.78   	40        	0         	-6000.45  	
1191.66   	6320.27   	40        	0         	-6000.45  	
1241.66   	6336.85   	40        	0         	-6000.45  	
1291.66   	6353.78   	40        	0         	-6000.45  	
1341.66   	6370.88   	40        	0         	-6000.45  	
1391.66   	6388.11   	40        	0         	-6000.45  	
1441.66   	6405.38   	40        	0         	-6000.45  	
1491.66   	6422.93   	40        	0         	-6000.45  	
1541.66   	6440.66   	40        	0         	-6000.45  	
1591.66   	6458.39   	40        	0         	-6000.45  	
1641.66   	6476.41   	40        	0         	-6000.45  	
1691.66   	6494.58   	40        	0         	-6000.45  	
1741.66   	6512.92   	40        	0         	-6000.45  	
1791.66   	6531.32   	40        	0         	-6000.45  	
1841.66   	6549.85   	40        	0         	-6000.45  	
1891.66   	6568.63   	40        	0         	-6000.45  	
1941.66   	6587.61   	40        	0         	-6000.45  	
1991.66   	6606.64   	40        	0         	-6000.45  	
2041.66   	6625.81   	40        	0         	-6000.45  	
2091.66   	6645.12   	40        	0         	-6000.45  	
2141.66   	6664.62   	40        	0         	-6000.45  	
2191.66   	6684.27   	40        	0         	-6000.45  	
2241.66   	6704.02   	40        	0         	-6000.45  	
2291.66   	6723.92   	40        	0         	-6000.45  	
2341.66   	6744.02   	40        	0         	-6000.45  	
2391.66   	6764.32   	40        	0         	-6000.45  	
2441.66   	6784.75   	40        	0         	-6000.45  	
2491.66   	6805.27   	40        	0         	-6000.45  	
2541.66   	6825.97   	40        	0         	-6000.45  	
2591.66   	6846.83   	40        	0         	-6000.45  	
2641.66   	6867.9    	40        	0         	-6000.45  	
2691.66   	6889.09   	40        	0         	-6000.45  	
2741.66   	6910.41   	40        	0         	-6000.45  	
2791.66   	6931.88   	40        	0         	-6000.45  	
2841.66   	6953.6    	40        	0         	-6000.45  	
2891.66   	6975.45   	40        	0         	-6000.45  	
2941.66   	6997.43   	40        	0         	-6000.45  	
2991.66   	7019.54   	40        	0         	-6000.45  	
3041.66   	7041.85   	40        	0         	-6000.45  	
3091.66   	7064.29   	40        	0         	-6000.45  	
3141.66   	7086.91   	40        	0         	-6000.45  	
3191.66   	7109.64   	40        	0         	-6000.45  	
3241.66   	7132.49   	40        	0         	-6000.45  	
3291.66   	7155.5    	40        	0         	-6000.45  	
3341.66   	7178.72   	40        	0         	-6000.45  	
3391.66   	7202.09   	40        	0         	-6000.45  	
3441.66   	7225.62   	40        	0         	-6000.45  	
3491.66   	7249.28   	40        	0         	-6000.45  	
3541.66   	7273.17   	40        	0         	-6000.45  	
3591.66   	7297.24   	40        	0         	-6000.45  	
3641.66   	7321.47   	40        	0         	-6000.45  	
3691.66   	7345.88   	40        	0         	-6000.45  	
3741.66   	7370.51   	40        	0         	-6000.45  	
3791.66   	7395.29   	40        	0         	-6000.45  	
3841.66   	7420.31   	40        	0         	-6000.45  	
3891.66   	7445.51   	40        	0         	-6000.45  	
3941.66   	7470.9    	40        	0         	-6000.45  	
3991.66   	7496.47   	40        	0         	-6000.45  	
4041.66   	7522.28   	40        	0         	-6000.45  	
4091.66   	7548.32   	40        	0         	-6000.45  	
4141.66   	7575.12   	40        	0         	-6000.45  	
4191.66   	7602.09   	40        	0         	-6000.45  	
