Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.025     	6000      	70        	0         	-78.0018  	
0.0256791 	6000      	70        	0         	-78.0167  	
0.027637  	6000      	70        	0         	-78.059   	
0.0329012 	6000      	70        	0         	-78.1677  	
0.0450261 	6000      	70        	0         	-78.3945  	
0.0669902 	6000      	70        	0         	-78.7445  	
0.0986697 	6000      	70        	0         	-79.1587  	
0.138524  	6000      	70        	0         	-79.5838  	
0.185659  	6000      	70        	0         	-79.9986  	
0.240005  	6000      	70        	0         	-80.3995  	
0.301992  	6000      	70        	0         	-80.7886  	
0.372342  	6000      	70        	0         	-81.1693  	
0.451985  	6000      	70        	0         	-81.5455  	
0.542052  	6000      	70        	0         	-81.9205  	
0.643902  	6000      	70        	0         	-82.2977  	
0.759175  	6000      	70        	0         	-82.6803  	
0.889866  	6000      	70        	0         	-83.0723  	
1.03844   	6000      	70        	0         	-83.4772  	
1.20797   	6000      	70        	0         	-83.8974  	
1.40237   	6000      	70        	0         	-84.3367  	
1.62673   	6000      	70        	0         	-84.8001  	
1.88778   	6000      	70        	0         	-85.2941  	
2.19364   	6000      	70        	0         	-85.8234  	
2.54212   	6000      	70        	0         	-86.3759  	
2.93626   	6000      	70        	0         	-86.9504  	
3.38246   	6000      	70        	0         	-87.5496  	
3.88577   	6000      	70        	0         	-88.1732  	
4.44856   	6000      	70        	0         	-88.8202  	
5.07811   	6000      	70        	0         	-89.4928  	
5.78558   	6000      	70        	0         	-90.1954  	
6.58655   	6000      	70        	0         	-90.9337  	
7.4949    	6000      	70        	0         	-91.7109  	
8.51366   	6000      	70        	0         	-92.5188  	
9.64592   	6000      	70        	0         	-93.343   	
10        	6000      	70        	0         	-93.5894  	
