Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Oil)	q(Water)
days	psi	F	stb/d	stb/d
0         	0         	-         	0         	0         	
0.025     	2000      	70        	78.0017   	0         	
0.0256791 	2000      	70        	78.0167   	0         	
0.027637  	2000      	70        	78.059    	0         	
0.0329012 	2000      	70        	78.1677   	0         	
0.0450261 	2000      	70        	78.3945   	0         	
0.0669902 	2000      	70        	78.7445   	0         	
0.0986697 	2000      	70        	79.1587   	0         	
0.138524  	2000      	70        	79.5838   	0         	
0.185659  	2000      	70        	79.9986   	0         	
0.240005  	2000      	70        	80.3995   	0         	
0.301992  	2000      	70        	80.7886   	0         	
0.372342  	2000      	70        	81.1693   	0         	
0.451985  	2000      	70        	81.5455   	0         	
0.542052  	2000      	70        	81.9205   	0         	
0.643902  	2000      	70        	82.2977   	0         	
0.759175  	2000      	70        	82.6803   	0         	
0.889866  	2000      	70        	83.0723   	0         	
1.03844   	2000      	70        	83.4772   	0         	
1.20797   	2000      	70        	83.8974   	0         	
1.40237   	2000      	70        	84.3367   	0         	
1.62673   	2000      	70        	84.8001   	0         	
1.88778   	2000      	70        	85.2941   	0         	
2.19364   	2000      	70        	85.8234   	0         	
2.54212   	2000      	70        	86.3759   	0         	
2.93626   	2000      	70        	86.9504   	0         	
3.38246   	2000      	70        	87.5496   	0         	
3.88577   	2000      	70        	88.1732   	0         	
4.44856   	2000      	70        	88.8202   	0         	
5.07811   	2000      	70        	89.4928   	0         	
5.78558   	2000      	70        	90.1954   	0         	
6.58655   	2000      	70        	90.9337   	0         	
7.4949    	2000      	70        	91.7109   	0         	
8.51366   	2000      	70        	92.5188   	0         	
9.64592   	2000      	70        	93.343    	0         	
10        	2000      	70        	93.5894   	0         	
